day_iso	type	open	close	padded_close	expected_slots
2025-11-03	open	09:30:00	16:00:00	16:15:00	406
2025-11-04	open	09:30:00	16:00:00	16:15:00	406
2025-11-05	open	09:30:00	16:00:00	16:15:00	406
2025-11-06	open	09:30:00	16:00:00	16:15:00	406
2025-11-07	open	09:30:00	16:00:00	16:15:00	406
2025-11-10	open	09:30:00	16:00:00	16:15:00	406
2025-11-11	open	09:30:00	16:00:00	16:15:00	406
2025-11-12	open	09:30:00	16:00:00	16:15:00	406
2025-11-13	open	09:30:00	16:00:00	16:15:00	406
2025-11-14	open	09:30:00	16:00:00	16:15:00	406
2025-11-17	open	09:30:00	16:00:00	16:15:00	406
2025-11-18	open	09:30:00	16:00:00	16:15:00	406
2025-11-19	open	09:30:00	16:00:00	16:15:00	406
2025-11-20	open	09:30:00	16:00:00	16:15:00	406
2025-11-21	open	09:30:00	16:00:00	16:15:00	406
2025-11-24	open	09:30:00	16:00:00	16:15:00	406
2025-11-25	open	09:30:00	16:00:00	16:15:00	406
2025-11-26	open	09:30:00	16:00:00	16:15:00	406
2025-11-28	early_close	09:30:00	13:00:00	13:15:00	226
2025-12-01	open	09:30:00	16:00:00	16:15:00	406
2025-12-02	open	09:30:00	16:00:00	16:15:00	406
2025-12-03	open	09:30:00	16:00:00	16:15:00	406
2025-12-04	open	09:30:00	16:00:00	16:15:00	406
2025-12-05	open	09:30:00	16:00:00	16:15:00	406
2025-12-08	open	09:30:00	16:00:00	16:15:00	406
2025-12-09	open	09:30:00	16:00:00	16:15:00	406
2025-12-10	open	09:30:00	16:00:00	16:15:00	406
2025-12-11	open	09:30:00	16:00:00	16:15:00	406
2025-12-12	open	09:30:00	16:00:00	16:15:00	406
2025-12-15	open	09:30:00	16:00:00	16:15:00	406
2025-12-16	open	09:30:00	16:00:00	16:15:00	406
2025-12-17	open	09:30:00	16:00:00	16:15:00	406
2025-12-18	open	09:30:00	16:00:00	16:15:00	406
2025-12-19	open	09:30:00	16:00:00	16:15:00	406
2025-12-22	open	09:30:00	16:00:00	16:15:00	406
2025-12-23	open	09:30:00	16:00:00	16:15:00	406
2025-12-24	early_close	09:30:00	13:00:00	13:15:00	226
2025-12-26	open	09:30:00	16:00:00	16:15:00	406
2025-12-29	open	09:30:00	16:00:00	16:15:00	406
2025-12-30	open	09:30:00	16:00:00	16:15:00	406
2025-12-31	open	09:30:00	16:00:00	16:15:00	406
2026-01-02	open	09:30:00	16:00:00	16:15:00	406
2026-01-05	open	09:30:00	16:00:00	16:15:00	406
2026-01-06	open	09:30:00	16:00:00	16:15:00	406
2026-01-07	open	09:30:00	16:00:00	16:15:00	406
2026-01-08	open	09:30:00	16:00:00	16:15:00	406
2026-01-09	open	09:30:00	16:00:00	16:15:00	406
2026-01-12	open	09:30:00	16:00:00	16:15:00	406
2026-01-13	open	09:30:00	16:00:00	16:15:00	406
2026-01-14	open	09:30:00	16:00:00	16:15:00	406
2026-01-15	open	09:30:00	16:00:00	16:15:00	406
2026-01-16	open	09:30:00	16:00:00	16:15:00	406
2026-01-20	open	09:30:00	16:00:00	16:15:00	406
2026-01-21	open	09:30:00	16:00:00	16:15:00	406
2026-01-22	open	09:30:00	16:00:00	16:15:00	406
2026-01-23	open	09:30:00	16:00:00	16:15:00	406
2026-01-26	open	09:30:00	16:00:00	16:15:00	406
2026-01-27	open	09:30:00	16:00:00	16:15:00	406
2026-01-28	open	09:30:00	16:00:00	16:15:00	406
2026-01-29	open	09:30:00	16:00:00	16:15:00	406
2026-01-30	open	09:30:00	16:00:00	16:15:00	406
2026-02-02	open	09:30:00	16:00:00	16:15:00	406
2026-02-03	open	09:30:00	16:00:00	16:15:00	406
2026-02-04	open	09:30:00	16:00:00	16:15:00	406
2026-02-05	open	09:30:00	16:00:00	16:15:00	406
2026-02-06	open	09:30:00	16:00:00	16:15:00	406
2026-02-09	open	09:30:00	16:00:00	16:15:00	406
2026-02-10	open	09:30:00	16:00:00	16:15:00	406
2026-02-11	open	09:30:00	16:00:00	16:15:00	406
2026-02-12	open	09:30:00	16:00:00	16:15:00	406
2026-02-13	open	09:30:00	16:00:00	16:15:00	406
2026-02-17	open	09:30:00	16:00:00	16:15:00	406
2026-02-18	open	09:30:00	16:00:00	16:15:00	406
2026-02-19	open	09:30:00	16:00:00	16:15:00	406
2026-02-20	open	09:30:00	16:00:00	16:15:00	406
2026-02-23	open	09:30:00	16:00:00	16:15:00	406
2026-02-24	open	09:30:00	16:00:00	16:15:00	406
2026-02-25	open	09:30:00	16:00:00	16:15:00	406
2026-02-26	open	09:30:00	16:00:00	16:15:00	406
2026-02-27	open	09:30:00	16:00:00	16:15:00	406
2026-03-02	open	09:30:00	16:00:00	16:15:00	406
2026-03-03	open	09:30:00	16:00:00	16:15:00	406
2026-03-04	open	09:30:00	16:00:00	16:15:00	406
2026-03-05	open	09:30:00	16:00:00	16:15:00	406
2026-03-06	open	09:30:00	16:00:00	16:15:00	406
2026-03-09	open	09:30:00	16:00:00	16:15:00	406
2026-03-10	open	09:30:00	16:00:00	16:15:00	406
