day_iso	type	open	close	padded_close	open_sec	padded_close_sec	expected_slots
2025-10-01	open	09:30:00	16:00:00	16:15:00	34200	58500	406
2025-10-02	open	09:30:00	16:00:00	16:15:00	34200	58500	406
2025-10-03	open	09:30:00	16:00:00	16:15:00	34200	58500	406
2025-10-06	open	09:30:00	16:00:00	16:15:00	34200	58500	406
2025-10-07	open	09:30:00	16:00:00	16:15:00	34200	58500	406
2025-10-08	open	09:30:00	16:00:00	16:15:00	34200	58500	406
2025-10-09	open	09:30:00	16:00:00	16:15:00	34200	58500	406
2025-10-10	open	09:30:00	16:00:00	16:15:00	34200	58500	406
2025-10-13	open	09:30:00	16:00:00	16:15:00	34200	58500	406
2025-10-14	open	09:30:00	16:00:00	16:15:00	34200	58500	406
2025-10-15	open	09:30:00	16:00:00	16:15:00	34200	58500	406
2025-10-16	open	09:30:00	16:00:00	16:15:00	34200	58500	406
2025-10-17	open	09:30:00	16:00:00	16:15:00	34200	58500	406
2025-10-20	open	09:30:00	16:00:00	16:15:00	34200	58500	406
2025-10-21	open	09:30:00	16:00:00	16:15:00	34200	58500	406
2025-10-22	open	09:30:00	16:00:00	16:15:00	34200	58500	406
2025-10-23	open	09:30:00	16:00:00	16:15:00	34200	58500	406
2025-10-24	open	09:30:00	16:00:00	16:15:00	34200	58500	406
2025-10-27	open	09:30:00	16:00:00	16:15:00	34200	58500	406
2025-10-28	open	09:30:00	16:00:00	16:15:00	34200	58500	406
2025-10-29	open	09:30:00	16:00:00	16:15:00	34200	58500	406
2025-10-30	open	09:30:00	16:00:00	16:15:00	34200	58500	406
2025-10-31	open	09:30:00	16:00:00	16:15:00	34200	58500	406
