symbol	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	tradeNoDataSlots	tradeIncompleteSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	tradeNoDataDays	enrichDaysMissing	stockAttemptedDays	quoteAttemptedDays	tradeAttemptedDays	enrichAttemptedDays	openSymbolDays	earlyCloseSymbolDays
AAPL	133	53638	51510	52826	51119	50740	34750	812	780	787	7	780	15991	2	2	2	2	41	131	130	131	90	131	2
ABBV	133	53638	51510	52826	51984	48481	33749	812	780	3029	2249	780	14732	2	2	2	126	40	131	131	131	91	131	2
ABNB	133	53638	51510	52826	51911	47069	31653	812	780	4442	3662	780	15416	2	2	2	128	41	131	131	131	90	131	2
ADBE	133	53638	51510	52420	50848	50700	34723	1218	1170	812	32	780	15977	3	3	2	17	41	130	130	131	90	131	2
AFRM	133	53638	51510	52826	51830	50103	34558	812	780	1409	629	780	15545	2	2	2	92	40	131	131	131	91	131	2
ALLY	133	53638	51510	52826	51896	24438	15350	812	780	27072	26292	780	9088	2	2	2	131	39	131	131	131	92	131	2
AMD	133	53638	51510	52826	51125	50743	35529	812	780	786	6	780	15214	2	2	2	1	39	131	131	131	92	131	2
AMGN	133	53638	51510	52826	51956	44628	31485	812	780	6882	6102	780	13143	2	2	2	130	41	131	131	131	90	131	2
AMZN	133	53638	51510	52826	51144	50741	35143	812	780	786	6	780	15598	2	2	2	1	40	131	131	131	91	131	2
AVGO	133	53638	51510	52826	51140	50730	34746	812	780	786	6	780	15984	2	2	2	1	41	131	131	131	90	131	2
AXP	133	53638	51510	52826	51953	48130	33644	812	780	3381	2601	780	14486	2	2	2	127	39	131	131	131	92	131	2
BA	133	53638	51510	52826	51138	50721	34737	812	780	790	10	780	15984	2	2	2	5	41	131	131	131	90	131	2
BAC	133	53638	51510	52826	51202	50706	35124	812	780	806	26	780	15582	2	2	2	15	40	131	131	131	91	131	2
BLK	133	53638	51510	52826	52001	31737	21549	812	780	19773	18993	780	10188	2	2	2	131	41	131	131	131	90	131	2
BMY	133	53638	51510	52826	51907	49262	34335	812	780	2248	1468	780	14927	2	2	2	115	39	131	131	131	92	131	2
C	133	53638	51510	52826	51826	50339	34837	812	780	1172	392	780	15502	2	2	2	106	40	131	131	131	91	131	2
CAT	133	53638	51510	52826	51552	50153	35288	812	780	1357	577	780	14865	2	2	2	84	39	131	131	131	92	131	2
CL	133	53638	51510	52826	51956	33411	22038	812	780	18099	17319	780	11373	2	2	2	131	41	131	131	131	90	131	2
CME	133	53638	51510	52826	51986	22746	15535	812	780	28764	27984	780	7211	2	2	2	131	41	131	131	131	90	131	2
CMG	133	53638	51510	52826	51847	50322	34785	812	780	1188	408	780	15537	2	2	2	104	40	131	131	131	91	131	2
COIN	133	53638	51510	52826	51093	50735	35526	812	780	786	6	780	15209	2	2	2	1	39	131	131	131	92	131	2
COP	133	53638	51510	52826	51910	46333	31633	812	780	5177	4397	780	14700	2	2	2	130	41	131	131	131	90	131	2
COST	133	53638	51510	52826	51173	50717	34345	812	780	800	20	780	16372	2	2	2	12	42	131	131	131	89	131	2
CRM	133	53638	51510	52826	51377	50693	35489	812	780	822	42	780	15204	2	2	2	20	39	131	131	131	92	131	2
CSCO	133	53638	51510	52826	51809	50258	34054	812	780	1252	472	780	16204	2	2	2	95	42	131	131	131	89	131	2
CVS	133	53638	51510	52826	51954	47691	32720	812	780	3819	3039	780	14971	2	2	2	128	40	131	131	131	91	131	2
CVX	133	53638	51510	52826	51609	50382	34913	812	780	1129	349	780	15469	2	2	2	98	40	131	131	131	91	131	2
DE	133	53638	51510	52826	51940	41859	29549	812	780	9651	8871	780	12310	2	2	2	130	40	131	131	131	91	131	2
DIS	133	53638	51510	52826	51763	50498	34961	812	780	1015	235	780	15537	2	2	2	77	40	131	131	131	91	131	2
EOG	133	53638	51510	52826	51956	32634	22591	812	780	18876	18096	780	10043	2	2	2	131	41	131	131	131	90	131	2
ETN	133	53638	51510	52826	52001	34599	24763	812	780	16911	16131	780	9836	2	2	2	131	41	131	131	131	90	131	2
GE	133	53638	51510	52826	51843	49169	33561	812	780	2341	1561	780	15608	2	2	2	113	41	131	131	131	90	131	2
GILD	133	53638	51510	52826	51956	43168	28620	812	780	8342	7562	780	14548	2	2	2	131	42	131	130	131	89	131	2
GIS	133	53638	51510	52826	52001	37144	24644	812	780	14366	13586	780	12500	2	2	2	131	41	131	131	131	90	131	2
GOOGL	133	53638	51510	52826	51123	50738	34748	812	780	786	6	780	15990	2	2	2	1	41	131	131	131	90	131	2
GS	133	53638	51510	52826	51251	50601	34695	812	780	912	132	780	15906	2	2	2	42	41	131	131	131	90	131	2
HAL	133	53638	51510	52826	51954	45549	31249	812	780	5961	5181	780	14300	2	2	2	127	40	131	131	131	91	131	2
HD	133	53638	51510	52826	51814	50121	34716	812	780	1389	609	780	15405	2	2	2	112	40	131	131	131	91	131	2
HON	133	53638	51510	52420	51581	39073	25867	1218	1170	12437	11267	1170	13206	3	3	3	129	40	130	130	130	90	131	2
HOOD	133	53638	51510	52826	51106	50730	34743	812	780	786	6	780	15987	2	2	2	1	41	131	131	131	90	131	2
ICE	133	53638	51510	52826	52046	14640	9623	812	780	36870	36090	780	5017	2	2	2	131	40	131	131	131	91	131	2
INTC	133	53638	51510	52826	51108	50723	35524	812	780	796	16	780	15199	2	2	2	1	39	131	131	131	92	131	2
JNJ	133	53638	51510	52826	51890	49804	34527	812	780	1706	926	780	15277	2	2	2	115	40	131	131	131	91	131	2
JPM	133	53638	51510	52826	51188	50712	34341	812	780	801	21	780	16371	2	2	2	12	42	131	131	131	89	131	2
