symbol	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	tradeNoDataSlots	tradeIncompleteSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	tradeNoDataDays	enrichDaysMissing	stockAttemptedDays	quoteAttemptedDays	tradeAttemptedDays	enrichAttemptedDays	openSymbolDays	earlyCloseSymbolDays
AAPL	23	9338	8970	9338	8970	8967	1170	0	0	6	6	0	0	0	0	0	1	0	23	23	23	3	23	0
ABBV	23	9338	8970	9338	8970	8525	1545	0	0	445	445	0	0	0	0	0	22	0	23	23	23	4	23	0
ABNB	23	9338	8970	9338	8970	8620	1124	0	0	350	350	0	0	0	0	0	22	0	23	23	23	3	23	0
ADBE	23	9338	8970	8932	8580	8959	1170	0	0	11	11	0	0	0	0	0	3	0	22	22	23	3	23	0
AFRM	23	9338	8970	9338	8970	8916	1557	0	0	54	54	0	0	0	0	0	15	0	23	23	23	4	23	0
ALLY	23	9338	8970	9338	8970	6005	989	0	0	2965	2965	0	0	0	0	0	23	0	23	23	23	5	23	0
AMD	23	9338	8970	9338	8970	8971	1951	0	0	6	6	0	0	0	0	0	1	0	23	23	23	5	23	0
AMGN	23	9338	8970	9338	8970	7183	1038	0	0	1787	1787	0	0	0	0	0	23	0	23	23	23	3	23	0
AMZN	23	9338	8970	9338	8970	8969	1562	0	0	6	6	0	0	0	0	0	1	0	23	23	23	4	23	0
AVGO	23	9338	8970	9338	8970	8964	1170	0	0	6	6	0	0	0	0	0	1	0	23	23	23	3	23	0
AXP	23	9338	8970	9338	8970	8530	1840	0	0	441	441	0	0	0	0	0	22	0	23	23	23	5	23	0
BA	23	9338	8970	9338	8970	8964	1170	0	0	6	6	0	0	0	0	0	1	0	23	23	23	3	23	0
BAC	23	9338	8970	9338	8970	8961	1560	0	0	9	9	0	0	0	0	0	4	0	23	23	23	4	23	0
BLK	23	9338	8970	9338	8970	6145	727	0	0	2825	2825	0	0	0	0	0	23	0	23	23	23	3	23	0
BMY	23	9338	8970	9338	8970	8920	1944	0	0	50	50	0	0	0	0	0	17	0	23	23	23	5	23	0
C	23	9338	8970	9338	8970	8898	1551	0	0	72	72	0	0	0	0	0	21	0	23	23	23	4	23	0
CAT	23	9338	8970	9338	8970	8814	1920	0	0	156	156	0	0	0	0	0	22	0	23	23	23	5	23	0
CL	23	9338	8970	9338	8970	6920	880	0	0	2050	2050	0	0	0	0	0	23	0	23	23	23	3	23	0
CME	23	9338	8970	9338	8970	3836	485	0	0	5134	5134	0	0	0	0	0	23	0	23	23	23	3	23	0
CMG	23	9338	8970	9338	8970	8935	1553	0	0	35	35	0	0	0	0	0	13	0	23	23	23	4	23	0
COIN	23	9338	8970	9338	8970	8966	1950	0	0	6	6	0	0	0	0	0	1	0	23	23	23	5	23	0
COP	23	9338	8970	9338	8970	8320	1067	0	0	650	650	0	0	0	0	0	23	0	23	23	23	3	23	0
COST	23	9338	8970	9338	8970	8961	780	0	0	10	10	0	0	0	0	0	3	0	23	23	23	2	23	0
CRM	23	9338	8970	9338	8970	8962	1950	0	0	9	9	0	0	0	0	0	3	0	23	23	23	5	23	0
CSCO	23	9338	8970	9338	8970	8925	777	0	0	45	45	0	0	0	0	0	16	0	23	23	23	2	23	0
CVS	23	9338	8970	9338	8970	8621	1522	0	0	349	349	0	0	0	0	0	22	0	23	23	23	4	23	0
CVX	23	9338	8970	9338	8970	8887	1550	0	0	83	83	0	0	0	0	0	20	0	23	23	23	4	23	0
DE	23	9338	8970	9338	8970	7180	1277	0	0	1790	1790	0	0	0	0	0	23	0	23	23	23	4	23	0
DIS	23	9338	8970	9338	8970	8937	1559	0	0	33	33	0	0	0	0	0	11	0	23	23	23	4	23	0
EOG	23	9338	8970	9338	8970	5905	832	0	0	3065	3065	0	0	0	0	0	23	0	23	23	23	3	23	0
ETN	23	9338	8970	9338	8970	5179	584	0	0	3791	3791	0	0	0	0	0	23	0	23	23	23	3	23	0
GE	23	9338	8970	9338	8970	8735	1141	0	0	235	235	0	0	0	0	0	19	0	23	23	23	3	23	0
GILD	23	9338	8970	9338	8970	8075	717	0	0	895	895	0	0	0	0	0	23	0	23	23	23	2	23	0
GIS	23	9338	8970	9338	8970	6966	760	0	0	2004	2004	0	0	0	0	0	23	0	23	23	23	3	23	0
GOOGL	23	9338	8970	9338	8970	8966	1170	0	0	6	6	0	0	0	0	0	1	0	23	23	23	3	23	0
GS	23	9338	8970	9338	8970	8930	1166	0	0	40	40	0	0	0	0	0	10	0	23	23	23	3	23	0
HAL	23	9338	8970	9338	8970	8411	1436	0	0	559	559	0	0	0	0	0	22	0	23	23	23	4	23	0
HD	23	9338	8970	9338	8970	8865	1542	0	0	105	105	0	0	0	0	0	19	0	23	23	23	4	23	0
HON	23	9338	8970	8932	8580	7481	1023	0	0	1099	1099	0	0	0	0	0	21	0	22	22	22	3	23	0
HOOD	23	9338	8970	9338	8970	8965	1170	0	0	6	6	0	0	0	0	0	1	0	23	23	23	3	23	0
ICE	23	9338	8970	9338	8970	3649	549	0	0	5321	5321	0	0	0	0	0	23	0	23	23	23	4	23	0
INTC	23	9338	8970	9338	8970	8956	1951	0	0	16	16	0	0	0	0	0	1	0	23	23	23	5	23	0
JNJ	23	9338	8970	9338	8970	8814	1535	0	0	156	156	0	0	0	0	0	21	0	23	23	23	4	23	0
JPM	23	9338	8970	9338	8970	8960	780	0	0	10	10	0	0	0	0	0	3	0	23	23	23	2	23	0
KEY	23	9338	8970	9338	8970	5305	522	0	0	3665	3665	0	0	0	0	0	23	0	23	23	23	3	23	0
KHC	23	9338	8970	9338	8970	8269	1430	0	0	701	701	0	0	0	0	0	22	0	23	23	23	4	23	0
KO	23	9338	8970	9338	8970	8948	780	0	0	22	22	0	0	0	0	0	11	0	23	23	23	2	23	0
LLY	23	9338	8970	9338	8970	8964	1951	0	0	8	8	0	0	0	0	0	2	0	23	23	23	5	23	0
LMT	23	9338	8970	9338	8970	8194	1831	0	0	776	776	0	0	0	0	0	23	0	23	23	23	5	23	0
LOW	23	9338	8970	9338	8970	7527	888	0	0	1443	1443	0	0	0	0	0	23	0	23	23	23	3	23	0
MA	23	9338	8970	9338	8970	8119	1068	0	0	851	851	0	0	0	0	0	23	0	23	23	23	3	23	0
MCD	23	9338	8970	9338	8970	8711	776	0	0	259	259	0	0	0	0	0	22	0	23	23	23	2	23	0
META	23	9338	8970	9338	8970	8969	1952	0	0	6	6	0	0	0	0	0	1	0	23	23	23	5	23	0
MMM	23	9338	8970	9338	8970	7630	930	0	0	1340	1340	0	0	0	0	0	22	0	23	23	23	3	23	0
MO	23	9338	8970	9338	8970	8380	705	0	0	590	590	0	0	0	0	0	22	0	23	23	23	2	23	0
MPC	23	9338	8970	9338	8970	3605	359	0	0	5365	5365	0	0	0	0	0	23	0	23	23	23	3	23	0
MRK	23	9338	8970	9338	8970	8893	1168	0	0	77	77	0	0	0	0	0	21	0	23	23	23	3	23	0
MS	23	9338	8970	9338	8970	8318	1063	0	0	652	652	0	0	0	0	0	23	0	23	23	23	3	23	0
MSFT	23	9338	8970	9338	8970	8967	1171	0	0	6	6	0	0	0	0	0	1	0	23	23	23	3	23	0
MU	23	9338	8970	9338	8970	8965	1560	0	0	6	6	0	0	0	0	0	1	0	23	23	23	4	23	0
NFLX	23	9338	8970	9338	8970	8967	1561	0	0	5	5	0	0	0	0	0	1	0	23	23	23	4	23	0
NKE	23	9338	8970	9338	8970	8966	1172	0	0	7	7	0	0	0	0	0	2	0	23	23	23	3	23	0
NOC	23	9338	8970	9338	8970	3562	395	0	0	5408	5408	0	0	0	0	0	23	0	23	23	23	4	23	0
NOW	23	9338	8970	9338	8970	8410	1890	0	0	561	561	0	0	0	0	0	21	0	23	23	23	5	23	0
NVDA	23	9338	8970	9338	8970	8979	1561	0	0	5	5	0	0	0	0	0	1	0	23	22	23	4	23	0
ORCL	23	9338	8970	9338	8970	8936	1554	0	0	35	35	0	0	0	0	0	17	0	23	23	23	4	23	0
OXY	23	9338	8970	9338	8970	8934	1558	0	0	36	36	0	0	0	0	0	13	0	23	23	23	4	23	0
PEP	23	9338	8970	9338	8970	8875	1946	0	0	95	95	0	0	0	0	0	15	0	23	23	23	5	23	0
PFE	23	9338	8970	9338	8970	8938	1168	0	0	32	32	0	0	0	0	0	11	0	23	23	23	3	23	0
PG	23	9338	8970	9338	8970	8756	1509	0	0	214	214	0	0	0	0	0	21	0	23	23	23	4	23	0
PLTR	23	9338	8970	9338	8970	8966	1560	0	0	5	5	0	0	0	0	0	1	0	23	23	23	4	23	0
PM	23	9338	8970	9338	8970	8117	1774	0	0	853	853	0	0	0	0	0	22	0	23	23	23	5	23	0
PNC	23	9338	8970	9338	8970	5008	787	0	0	3962	3962	0	0	0	0	0	23	0	23	23	23	5	23	0
PSX	23	9338	8970	9338	8970	5360	1233	0	0	3610	3610	0	0	0	0	0	23	0	23	23	23	5	23	0
PYPL	23	9338	8970	9338	8970	8966	1170	0	0	6	6	0	0	0	0	0	1	0	23	23	23	3	23	0
QCOM	23	9338	8970	9338	8970	8954	1558	0	0	16	16	0	0	0	0	0	6	0	23	23	23	4	23	0
QQQ	23	9338	8970	9338	8970	9309	1620	0	0	0	0	0	0	0	0	0	0	0	23	23	23	4	23	0
RBLX	23	9338	8970	9338	8970	8896	1164	0	0	74	74	0	0	0	0	0	21	0	23	23	23	3	23	0
RF	23	9338	8970	9338	8970	3292	290	0	0	5678	5678	0	0	0	0	0	23	0	23	23	23	3	23	0
RTX	23	9338	8970	9338	8970	8276	1047	0	0	694	694	0	0	0	0	0	21	0	23	23	23	3	23	0
SBUX	23	9338	8970	9338	8970	8948	1948	0	0	23	23	0	0	0	0	0	4	0	23	23	23	5	23	0
