dayIso	month	symbol	type	expectedSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots
2025-11-03	2025-11	AAPL	open	406	406	406	390	390	0	0	16	0
2025-11-03	2025-11	ABBV	open	406	406	406	388	388	0	0	18	0
2025-11-03	2025-11	ABNB	open	406	406	406	363	363	0	0	43	0
2025-11-03	2025-11	ADBE	open	406	406	406	389	389	0	0	17	0
2025-11-03	2025-11	AFRM	open	406	406	406	386	386	0	0	20	0
2025-11-03	2025-11	ALLY	open	406	406	406	144	144	0	0	262	0
2025-11-03	2025-11	AMD	open	406	406	406	390	390	0	0	16	0
2025-11-03	2025-11	AMGN	open	406	406	406	324	324	0	0	82	0
2025-11-03	2025-11	AMZN	open	406	406	406	391	391	0	0	15	0
2025-11-03	2025-11	AVGO	open	406	406	406	390	390	0	0	16	0
2025-11-03	2025-11	AXP	open	406	406	406	353	353	0	0	53	0
2025-11-03	2025-11	BA	open	406	406	406	390	390	0	0	16	0
2025-11-03	2025-11	BAC	open	406	406	406	390	390	0	0	16	0
2025-11-03	2025-11	BLK	open	406	406	406	237	237	0	0	169	0
2025-11-03	2025-11	BMY	open	406	406	406	386	386	0	0	20	0
2025-11-03	2025-11	C	open	406	406	406	388	388	0	0	18	0
2025-11-03	2025-11	CAT	open	406	406	406	388	388	0	0	18	0
2025-11-03	2025-11	CL	open	406	406	406	328	328	0	0	78	0
2025-11-03	2025-11	CME	open	406	406	406	112	112	0	0	294	0
2025-11-03	2025-11	CMG	open	406	406	406	388	388	0	0	18	0
2025-11-03	2025-11	COIN	open	406	406	406	390	390	0	0	16	0
2025-11-03	2025-11	COP	open	406	406	406	326	326	0	0	80	0
2025-11-03	2025-11	COST	open	406	406	406	390	390	0	0	16	0
2025-11-03	2025-11	CRM	open	406	406	406	390	390	0	0	16	0
2025-11-03	2025-11	CSCO	open	406	406	406	390	390	0	0	16	0
2025-11-03	2025-11	CVS	open	406	406	406	365	365	0	0	41	0
2025-11-03	2025-11	CVX	open	406	406	406	390	390	0	0	16	0
2025-11-03	2025-11	DE	open	406	406	406	238	238	0	0	168	0
2025-11-03	2025-11	DIS	open	406	406	406	389	389	0	0	17	0
2025-11-03	2025-11	EOG	open	406	406	406	229	229	0	0	177	0
2025-11-03	2025-11	ETN	open	406	406	406	359	359	0	0	47	0
2025-11-03	2025-11	GE	open	406	406	406	357	357	0	0	49	0
