symbol	expectedSymbolDays	expectedSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	enrichDaysMissing	openSymbolDays	earlyCloseSymbolDays
AAPL	86	34556	34556	33569	33190	32800	0	987	1366	390	0	63	86	1	84	2
ABBV	86	34556	34556	32677	31825	31825	0	1879	2731	0	0	61	86	0	84	2
ABNB	86	34556	34556	31530	30214	30214	0	3026	4342	0	0	62	86	0	84	2
ADBE	86	34556	34556	33583	33163	33163	0	973	1393	0	0	61	86	0	84	2
AFRM	86	34556	34556	33245	32637	32637	0	1311	1919	0	0	62	86	0	84	2
ALLY	86	34556	34556	23120	14235	14235	0	11436	20321	0	0	63	86	0	84	2
AMD	86	34556	34556	33575	33188	32828	0	981	1368	360	0	62	86	1	84	2
AMGN	86	34556	34556	31694	30121	30121	0	2862	4435	0	0	61	86	0	84	2
AMZN	86	34556	34556	33594	33190	32822	0	962	1366	368	0	61	86	1	84	2
AVGO	86	34556	34556	33590	33186	32922	0	966	1370	264	0	61	86	1	84	2
AXP	86	34556	34556	32479	31420	31420	0	2077	3136	0	0	63	86	0	84	2
BA	86	34556	34556	33554	33177	33177	0	1002	1379	0	0	63	86	0	84	2
BAC	86	34556	34556	33582	33174	33174	0	974	1382	0	0	61	86	0	84	2
BLK	86	34556	34556	25537	20538	20538	0	9019	14018	0	0	61	86	0	84	2
BMY	86	34556	34556	32786	32086	32086	0	1770	2470	0	0	62	86	0	84	2
C	86	34556	34556	33438	32896	32896	0	1118	1660	0	0	61	86	0	84	2
CAT	86	34556	34556	33461	32978	32978	0	1095	1578	0	0	62	86	0	84	2
CL	86	34556	34556	26058	20924	20924	0	8498	13632	0	0	62	86	0	84	2
CME	86	34556	34556	21895	14755	14755	0	12661	19801	0	0	61	86	0	84	2
CMG	86	34556	34556	33361	32849	32849	0	1195	1707	0	0	62	86	0	84	2
COIN	86	34556	34556	33543	33186	33186	0	1013	1370	0	0	64	86	0	84	2
COP	86	34556	34556	31820	30213	30213	0	2736	4343	0	0	63	86	0	84	2
COST	86	34556	34556	33572	33175	33175	0	984	1381	0	0	62	86	0	84	2
CRM	86	34556	34556	33540	33149	33149	0	1016	1407	0	0	62	86	0	84	2
CSCO	86	34556	34556	33325	32888	32888	0	1231	1668	0	0	63	86	0	84	2
CVS	86	34556	34556	32147	30864	30864	0	2409	3692	0	0	63	86	0	84	2
CVX	86	34556	34556	33449	32974	32974	0	1107	1582	0	0	63	86	0	84	2
DE	86	34556	34556	30472	27928	27928	0	4084	6628	0	0	63	86	0	84	2
DIS	86	34556	34556	33397	33014	33014	0	1159	1542	0	0	64	86	0	84	2
EOG	86	34556	34556	26361	21514	21514	0	8195	13042	0	0	62	86	0	84	2
ETN	86	34556	34556	27456	23871	23871	0	7100	10685	0	0	63	86	0	84	2
GE	86	34556	34556	32938	32036	32036	0	1618	2520	0	0	63	86	0	84	2
GILD	86	34556	34556	30054	27574	27574	0	4502	6982	0	0	63	86	0	84	2
GIS	86	34556	34556	27655	23564	23564	0	6901	10992	0	0	64	86	0	84	2
GOOGL	86	34556	34556	33573	33188	33188	0	983	1368	0	0	62	86	0	84	2
GS	86	34556	34556	33538	33139	33139	0	1018	1417	0	0	63	86	0	84	2
HAL	86	34556	34556	31244	29454	29454	0	3312	5102	0	0	63	86	0	84	2
HD	86	34556	34556	33315	32787	32787	0	1241	1769	0	0	62	86	0	84	2
HON	86	34556	34556	28212	24530	24530	0	6344	10026	0	0	63	86	0	84	2
HOOD	86	34556	34556	33556	33183	33183	0	1000	1373	0	0	63	86	0	84	2
ICE	86	34556	34556	17180	8977	8977	0	17376	25579	0	0	61	86	0	84	2
INTC	86	34556	34556	33558	33183	33183	0	998	1373	0	0	63	86	0	84	2
JNJ	86	34556	34556	33189	32609	32609	0	1367	1947	0	0	63	86	0	84	2
JPM	86	34556	34556	33568	33171	33171	0	988	1385	0	0	62	86	0	84	2
KEY	86	34556	34556	20738	14832	14832	0	13818	19724	0	0	63	86	0	84	2
KHC	86	34556	34556	31248	29454	29454	0	3308	5102	0	0	62	86	0	84	2
KO	86	34556	34556	33469	33029	33029	0	1087	1527	0	0	63	86	0	84	2
LLY	86	34556	34556	33535	33163	33163	0	1021	1393	0	0	64	86	0	84	2
LMT	86	34556	34556	32000	30582	30582	0	2556	3974	0	0	63	86	0	84	2
LOW	86	34556	34556	28892	26262	26262	0	5664	8294	0	0	63	86	0	84	2
MA	86	34556	34556	32513	31351	31351	0	2043	3205	0	0	63	86	0	84	2
MCD	86	34556	34556	32860	32062	32062	0	1696	2494	0	0	65	86	0	84	2
META	86	34556	34556	33578	33187	33187	0	978	1369	0	0	62	86	0	84	2
MMM	86	34556	34556	29076	26425	26425	0	5480	8131	0	0	62	86	0	84	2
MO	86	34556	34556	32494	31244	31244	0	2062	3312	0	0	63	86	0	84	2
MPC	86	34556	34556	22765	15905	15905	0	11791	18651	0	0	62	86	0	84	2
MRK	86	34556	34556	33314	32834	32834	0	1242	1722	0	0	62	86	0	84	2
MS	86	34556	34556	32408	31043	31043	0	2148	3513	0	0	65	86	0	84	2
MSFT	86	34556	34556	33575	33188	33188	0	981	1368	0	0	62	86	0	84	2
MU	86	34556	34556	33521	33186	33186	0	1035	1370	0	0	65	86	0	84	2
NFLX	86	34556	34556	33600	33191	33191	0	956	1365	0	0	61	86	0	84	2
NKE	86	34556	34556	33543	33168	33168	0	1013	1388	0	0	64	86	0	84	2
NOC	86	34556	34556	21892	13818	13818	0	12664	20738	0	0	64	86	0	84	2
NOW	86	34556	34556	32977	32123	32123	0	1579	2433	0	0	63	86	0	84	2
NVDA	86	34556	34556	33580	33208	33208	0	976	1348	0	0	63	86	0	84	2
ORCL	86	34556	34556	33492	33061	33061	0	1064	1495	0	0	63	86	0	84	2
OXY	86	34556	34556	33383	32853	32853	0	1173	1703	0	0	62	86	0	84	2
PEP	86	34556	34556	33114	32428	32428	0	1442	2128	0	0	64	86	0	84	2
PFE	86	34556	34556	33480	33085	33085	0	1076	1471	0	0	64	86	0	84	2
PG	86	34556	34556	33242	32496	32496	0	1314	2060	0	0	63	86	0	84	2
PLTR	86	34556	34556	33577	33187	33187	0	979	1369	0	0	62	86	0	84	2
PM	86	34556	34556	29989	27233	27233	0	4567	7323	0	0	63	86	0	84	2
PNC	86	34556	34556	25181	20135	20135	0	9375	14421	0	0	64	86	0	84	2
PSX	86	34556	34556	25430	20304	20304	0	9126	14252	0	0	64	86	0	84	2
PYPL	86	34556	34556	33557	33176	33176	0	999	1380	0	0	63	86	0	84	2
QCOM	86	34556	34556	33496	33062	33062	0	1060	1494	0	0	62	86	0	84	2
QQQ	86	34556	34782	36055	33914	33914	0	43	645	0	0	43	77	0	84	2
RBLX	86	34556	34556	33119	32478	32478	0	1437	2078	0	0	64	86	0	84	2
RF	86	34556	34556	18531	9220	9220	0	16025	25336	0	0	62	86	0	84	2
RTX	86	34556	34556	31901	30243	30243	0	2655	4313	0	0	63	86	0	84	2
SBUX	86	34556	34556	33393	32885	32885	0	1163	1671	0	0	62	86	0	84	2
SCHW	86	34556	34556	31328	29669	29669	0	3228	4887	0	0	65	86	0	84	2
SHOP	86	34556	34556	33416	32992	32992	0	1140	1564	0	0	64	86	0	84	2
SLB	86	34556	34556	32499	31281	31281	0	2057	3275	0	0	62	86	0	84	2
SNOW	86	34556	34556	33457	33015	33015	0	1099	1541	0	0	64	86	0	84	2
SOFI	86	34556	34556	33556	33183	33183	0	1000	1373	0	0	63	86	0	84	2
SPGI	86	34556	34556	21232	13974	13974	0	13324	20582	0	0	63	86	0	84	2
SPY	86	34556	34694	35732	34355	34355	0	38	202	0	0	38	67	0	84	2
TFC	86	34556	34556	21471	14251	14251	0	13085	20305	0	0	62	86	0	84	2
TGT	86	34556	34556	33466	33032	33032	0	1090	1524	0	0	63	86	0	84	2
TSLA	86	34556	34556	33569	33215	33215	0	987	1341	0	0	64	86	0	84	2
UBER	86	34556	34556	33534	33170	33170	0	1022	1386	0	0	64	86	0	84	2
UNH	86	34556	34556	33562	33185	33185	0	994	1371	0	0	63	86	0	84	2
UPST	86	34556	34556	33084	32396	32396	0	1472	2160	0	0	62	86	0	84	2
USB	86	34556	34556	28037	23036	23036	0	6519	11520	0	0	63	86	0	84	2
V	86	34556	34556	33354	32918	32918	0	1202	1638	0	0	65	86	0	84	2
VLO	86	34556	34556	29818	26751	26751	0	4738	7805	0	0	63	86	0	84	2
WFC	86	34556	34556	33187	32576	32576	0	1369	1980	0	0	64	86	0	84	2
WMT	86	34556	34556	33543	33184	33184	0	1013	1372	0	0	64	86	0	84	2
