symbol	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	enrichDaysMissing	openSymbolDays	earlyCloseSymbolDays
AAPL	86	34556	33180	34556	33569	33190	32800	0	0	0	390	0	0	0	1	84	2
ABBV	86	34556	33180	34556	32677	31825	31825	0	909	1355	0	0	53	82	0	84	2
ABNB	86	34556	33180	34556	31530	30214	30214	0	2047	2967	0	0	49	84	0	84	2
ADBE	86	34556	33180	34556	33583	33163	33163	0	9	18	0	0	6	12	0	84	2
AFRM	86	34556	33180	34556	33245	32637	32637	0	331	543	0	0	44	72	0	84	2
ALLY	86	34556	33180	34556	23120	14235	14235	0	10442	18945	0	0	49	86	0	84	2
AMD	86	34556	33180	34556	33575	33188	32828	0	0	0	360	0	0	0	1	84	2
AMGN	86	34556	33180	34556	31694	30121	30121	0	1896	3059	0	0	51	85	0	84	2
AMZN	86	34556	33180	34556	33594	33190	32822	0	0	0	368	0	0	0	1	84	2
AVGO	86	34556	33180	34556	33590	33186	32922	0	0	0	264	0	0	0	1	84	2
AXP	86	34556	33180	34556	32479	31420	31420	0	1076	1760	0	0	53	83	0	84	2
BA	86	34556	33180	34556	33554	33177	33177	0	2	4	0	0	2	4	0	84	2
BAC	86	34556	33180	34556	33582	33174	33174	0	6	8	0	0	4	6	0	84	2
BLK	86	34556	33180	34556	25537	20538	20538	0	8050	12642	0	0	54	86	0	84	2
BMY	86	34556	33180	34556	32786	32086	32086	0	787	1094	0	0	49	78	0	84	2
C	86	34556	33180	34556	33438	32896	32896	0	150	285	0	0	43	71	0	84	2
CAT	86	34556	33180	34556	33461	32978	32978	0	109	202	0	0	27	44	0	84	2
CL	86	34556	33180	34556	26058	20924	20924	0	7516	12256	0	0	52	86	0	84	2
CME	86	34556	33180	34556	21895	14755	14755	0	11693	18425	0	0	53	86	0	84	2
CMG	86	34556	33180	34556	33361	32849	32849	0	216	331	0	0	45	76	0	84	2
COIN	86	34556	33180	34556	33543	33186	33186	0	0	0	0	0	0	0	0	84	2
COP	86	34556	33180	34556	31820	30213	30213	0	1740	2967	0	0	50	85	0	84	2
COST	86	34556	33180	34556	33572	33175	33175	0	3	8	0	0	3	7	0	84	2
CRM	86	34556	33180	34556	33540	33149	33149	0	31	33	0	0	16	17	0	84	2
CSCO	86	34556	33180	34556	33345	32888	32888	0	226	292	0	0	43	63	0	84	2
CVS	86	34556	33180	34556	32201	30864	30864	0	1371	2316	0	0	52	84	0	84	2
CVX	86	34556	33180	34556	33449	32974	32974	0	114	207	0	0	31	59	0	84	2
DE	86	34556	33180	34556	30536	27928	27928	0	3038	5252	0	0	51	85	0	84	2
DIS	86	34556	33180	34556	33414	33014	33014	0	143	169	0	0	41	54	0	84	2
EOG	86	34556	33180	34556	26498	21514	21514	0	7092	11666	0	0	51	86	0	84	2
ETN	86	34556	33180	34556	27456	23871	23871	0	6099	9309	0	0	56	86	0	84	2
GE	86	34556	33180	34556	32971	32036	32036	0	602	1144	0	0	45	73	0	84	2
GILD	86	34556	33180	34556	30142	27574	27574	0	3432	5606	0	0	52	86	0	84	2
GIS	86	34556	33180	34556	27822	23564	23564	0	5733	9616	0	0	56	86	0	84	2
GOOGL	86	34556	33180	34556	33573	33188	33188	0	0	0	0	0	0	0	0	84	2
GS	86	34556	33180	34556	33538	33139	33139	0	19	44	0	0	9	16	0	84	2
HAL	86	34556	33180	34556	31290	29454	29454	0	2282	3726	0	0	52	84	0	84	2
HD	86	34556	33180	34556	33315	32787	32787	0	261	393	0	0	43	71	0	84	2
