dayIso	month	symbol	type	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots
2025-12-01	2025-12	SPGI	open	406	390	406	127	127	127	0	263	263	0
2025-12-01	2025-12	TFC	open	406	390	406	147	147	147	0	243	243	0
2025-12-01	2025-12	UPST	open	406	390	406	387	387	387	0	3	3	0
2025-12-01	2025-12	USB	open	406	390	406	254	254	254	0	136	136	0
2025-12-01	2025-12	V	open	406	390	406	386	386	386	0	4	4	0
2025-12-01	2025-12	VLO	open	406	390	406	354	354	354	0	36	36	0
2025-12-01	2025-12	WFC	open	406	390	406	372	372	372	0	18	18	0
2025-12-01	2025-12	XOM	open	406	390	406	389	389	389	0	1	1	0
2025-12-02	2025-12	ABBV	open	406	390	406	374	374	374	0	16	16	0
2025-12-02	2025-12	ABNB	open	406	390	406	371	371	371	0	19	19	0
2025-12-02	2025-12	ALLY	open	406	390	406	209	209	209	0	181	181	0
2025-12-02	2025-12	AMGN	open	406	390	406	333	333	333	0	57	57	0
2025-12-02	2025-12	AXP	open	406	390	406	336	336	336	0	54	54	0
2025-12-02	2025-12	BLK	open	406	390	406	169	169	169	0	221	221	0
2025-12-02	2025-12	BMY	open	406	390	406	384	384	384	0	6	6	0
2025-12-02	2025-12	C	open	406	390	406	377	377	377	0	13	13	0
2025-12-02	2025-12	CL	open	406	390	406	261	261	261	0	129	129	0
2025-12-02	2025-12	CME	open	406	390	406	111	111	111	0	279	279	0
2025-12-02	2025-12	CMG	open	406	390	406	388	388	388	0	2	2	0
2025-12-02	2025-12	COP	open	406	390	406	307	307	307	0	83	83	0
2025-12-02	2025-12	CSCO	open	406	390	406	385	385	385	0	5	5	0
2025-12-02	2025-12	CVS	open	406	390	406	365	365	365	0	25	25	0
2025-12-02	2025-12	CVX	open	406	390	406	386	386	386	0	4	4	0
2025-12-02	2025-12	DE	open	406	390	406	322	322	322	0	68	68	0
2025-12-02	2025-12	DIS	open	406	390	406	388	388	388	0	2	2	0
2025-12-02	2025-12	EOG	open	406	390	406	208	208	208	0	182	182	0
2025-12-02	2025-12	ETN	open	406	390	406	251	251	251	0	139	139	0
2025-12-02	2025-12	GE	open	406	390	406	350	350	350	0	40	40	0
2025-12-02	2025-12	GILD	open	406	390	406	280	280	280	0	110	110	0
2025-12-02	2025-12	GIS	open	406	390	406	376	376	376	0	14	14	0
2025-12-02	2025-12	GS	open	406	390	406	389	389	389	0	1	1	0
2025-12-02	2025-12	HAL	open	406	390	406	354	354	354	0	36	36	0
2025-12-02	2025-12	HD	open	406	390	406	388	388	388	0	2	2	0
2025-12-02	2025-12	HON	open	406	390	406	260	260	260	0	130	130	0
2025-12-02	2025-12	ICE	open	406	390	406	72	72	72	0	318	318	0
2025-12-02	2025-12	JNJ	open	406	390	406	382	382	382	0	8	8	0
2025-12-02	2025-12	JPM	open	406	390	406	389	389	389	0	1	1	0
2025-12-02	2025-12	KEY	open	406	390	406	184	184	184	0	206	206	0
