symbol	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	enrichDaysMissing	stockAttemptedDays	quoteAttemptedDays	tradeAttemptedDays	enrichAttemptedDays	openSymbolDays	earlyCloseSymbolDays
AAPL	86	34556	33180	33608	33134	33190	33190	948	0	0	0	63	0	0	0	86	85	86	86	84	2
ABBV	86	34556	33180	33532	32607	31825	31825	1024	909	1355	0	64	53	82	0	86	86	86	86	84	2
ABNB	86	34556	33180	33532	31453	30214	30214	1024	2063	2967	0	64	49	84	0	86	86	86	86	84	2
ADBE	86	34556	33180	33532	33507	33163	33163	1024	9	18	0	64	6	12	0	86	86	86	86	84	2
AFRM	86	34556	33180	33548	33185	32637	32637	1008	331	543	0	63	44	72	0	86	86	86	86	84	2
ALLY	86	34556	33180	32582	22644	14235	14235	1974	10872	18945	0	64	63	86	0	86	86	86	86	84	2
AMD	86	34556	33180	33582	33521	33188	33188	974	0	0	0	64	0	0	0	86	86	86	86	84	2
AMGN	86	34556	33180	33532	31620	30121	30121	1024	1896	3059	0	64	51	85	0	86	86	86	86	84	2
AMZN	86	34556	33180	33588	34091	33190	33190	968	0	0	0	63	0	0	0	86	86	86	86	84	2
AVGO	86	34556	33180	33598	33521	33186	33186	958	0	0	0	63	0	0	0	86	86	86	86	84	2
AXP	86	34556	33180	33548	32440	31420	31420	1008	1076	1760	0	63	53	83	0	86	86	86	86	84	2
BA	86	34556	33180	33548	33514	33177	33177	1008	2	4	0	63	2	4	0	86	86	86	86	84	2
BAC	86	34556	33180	33542	33511	33174	33174	1014	6	8	0	64	4	6	0	86	86	86	86	84	2
BLK	86	34556	33180	33382	25456	20538	20538	1174	8060	12642	0	64	55	86	0	86	86	86	86	84	2
BMY	86	34556	33180	33532	32729	32086	32086	1024	787	1094	0	64	49	78	0	86	86	86	86	84	2
C	86	34556	33180	33532	33366	32896	32896	1024	150	285	0	64	43	71	0	86	86	86	86	84	2
CAT	86	34556	33180	33548	33402	32978	32978	1008	114	202	0	63	28	44	0	86	86	86	86	84	2
CL	86	34556	33180	33452	25980	20924	20924	1104	7536	12256	0	64	54	86	0	86	86	86	86	84	2
CME	86	34556	33180	32858	21809	14755	14755	1698	11723	18425	0	63	55	86	0	86	86	86	86	84	2
CMG	86	34556	33180	33532	33300	32849	32849	1024	216	331	0	64	45	76	0	86	86	86	86	84	2
COIN	86	34556	33180	33558	33527	33186	33186	998	0	0	0	63	0	0	0	86	86	86	86	84	2
COP	86	34556	33180	33558	31776	30213	30213	998	1740	2967	0	63	50	85	0	86	86	86	86	84	2
COST	86	34556	33180	33532	33514	33175	33175	1024	3	8	0	64	3	7	0	86	86	86	86	84	2
CRM	86	34556	33180	33542	33486	33149	33149	1014	31	33	0	64	16	17	0	86	86	86	86	84	2
CSCO	86	34556	33180	33532	33306	32888	32888	1024	226	292	0	64	43	63	0	86	86	86	86	84	2
CVS	86	34556	33180	33558	32161	30864	30864	998	1371	2316	0	63	52	84	0	86	86	86	86	84	2
CVX	86	34556	33180	33548	33418	32974	32974	1008	114	207	0	63	31	59	0	86	86	86	86	84	2
DE	86	34556	33180	33542	30494	27928	27928	1014	3038	5252	0	64	51	85	0	86	86	86	86	84	2
DIS	86	34556	33180	33554	33401	33014	33014	1002	143	169	0	63	41	54	0	86	86	86	86	84	2
EOG	86	34556	33180	33482	26420	21514	21514	1074	7112	11666	0	64	53	86	0	86	86	86	86	84	2
ETN	86	34556	33180	33564	27269	23871	23871	992	6247	9309	0	62	57	86	0	86	86	86	86	84	2
GE	86	34556	33180	33532	32930	32036	32036	1024	602	1144	0	64	45	73	0	86	86	86	86	84	2
GILD	86	34556	33180	33548	29606	27574	27574	1008	3504	5606	0	63	53	86	0	86	85	86	86	84	2
GIS	86	34556	33180	33528	27799	23564	23564	1028	5733	9616	0	63	56	86	0	86	86	86	86	84	2
GOOGL	86	34556	33180	33598	33522	33188	33188	958	0	0	0	63	0	0	0	86	86	86	86	84	2
GS	86	34556	33180	33542	33498	33139	33139	1014	19	44	0	64	9	16	0	86	86	86	86	84	2
HAL	86	34556	33180	33542	31204	29454	29454	1014	2312	3726	0	64	53	84	0	86	86	86	86	84	2
HD	86	34556	33180	33532	33255	32787	32787	1024	261	393	0	64	43	71	0	86	86	86	86	84	2
HON	86	34556	33180	33532	28330	24530	24530	1024	5202	8650	0	64	53	86	0	86	86	86	86	84	2
HOOD	86	34556	33180	33542	33517	33183	33183	1014	0	0	0	64	0	0	0	86	86	86	86	84	2
ICE	86	34556	33180	30308	17569	8977	8977	4248	15995	24203	0	63	61	86	0	86	86	86	86	84	2
INTC	86	34556	33180	33558	33517	33183	33183	998	0	0	0	63	0	0	0	86	86	86	86	84	2
JNJ	86	34556	33180	33542	33149	32609	32609	1014	367	571	0	64	49	76	0	86	86	86	86	84	2
JPM	86	34556	33180	33532	33510	33171	33171	1024	6	10	0	64	4	8	0	86	86	86	86	84	2
KEY	86	34556	33180	32752	20638	14832	14832	1804	12894	18348	0	64	64	86	0	86	86	86	86	84	2
KHC	86	34556	33180	33516	31255	29454	29454	1040	2277	3726	0	65	53	86	0	86	86	86	86	84	2
KO	86	34556	33180	33532	33448	33029	33029	1024	84	151	0	64	29	50	0	86	86	86	86	84	2
LLY	86	34556	33180	33542	33507	33163	33163	1014	10	19	0	64	5	12	0	86	86	86	86	84	2
LMT	86	34556	33180	33532	31981	30582	30582	1024	1551	2598	0	64	53	84	0	86	86	86	86	84	2
LOW	86	34556	33180	33502	28901	26262	26262	1054	4631	6918	0	64	51	86	0	86	86	86	86	84	2
MA	86	34556	33180	33548	32520	31351	31351	1008	1012	1829	0	63	52	86	0	86	86	86	86	84	2
MCD	86	34556	33180	33548	32863	32062	32062	1008	669	1118	0	63	48	85	0	86	86	86	86	84	2
META	86	34556	33180	33582	33530	33187	33187	974	0	0	0	64	0	0	0	86	86	86	86	84	2
MMM	86	34556	33180	33522	29108	26425	26425	1034	4424	6755	0	64	55	86	0	86	86	86	86	84	2
MO	86	34556	33180	33532	32508	31244	31244	1024	1024	1936	0	64	50	85	0	86	86	86	86	84	2
MPC	86	34556	33180	33026	22944	15905	15905	1530	10588	17275	0	65	53	86	0	86	86	86	86	84	2
MRK	86	34556	33180	33532	33257	32834	32834	1024	259	347	0	64	50	69	0	86	86	86	86	84	2
MS	86	34556	33180	33548	32456	31043	31043	1008	1076	2137	0	63	48	85	0	86	86	86	86	84	2
MSFT	86	34556	33180	33598	33537	33188	33188	958	0	0	0	63	0	0	0	86	86	86	86	84	2
MU	86	34556	33180	33566	33521	33186	33186	990	0	0	0	65	0	0	0	86	86	86	86	84	2
NFLX	86	34556	33180	33588	33526	33191	33191	968	0	0	0	64	0	0	0	86	86	86	86	84	2
NKE	86	34556	33180	33542	33514	33168	33168	1014	3	13	0	64	3	9	0	86	86	86	86	84	2
NOC	86	34556	33180	32632	22053	13818	13818	1924	11479	19362	0	64	57	86	0	86	86	86	86	84	2
NOW	86	34556	33180	33516	32971	32123	32123	1040	561	1057	0	65	23	43	0	86	86	86	86	84	2
NVDA	86	34556	33180	33686	34104	33208	33208	870	0	0	0	65	0	0	0	86	86	86	86	84	2
ORCL	86	34556	33180	33526	33452	33061	33061	1030	64	120	0	65	37	58	0	86	86	86	86	84	2
OXY	86	34556	33180	33516	33346	32853	32853	1040	186	327	0	65	40	63	0	86	86	86	86	84	2
PEP	86	34556	33180	33548	33108	32428	32428	1008	424	752	0	63	48	80	0	86	86	86	86	84	2
PFE	86	34556	33180	33558	33451	33085	33085	998	66	97	0	63	27	40	0	86	86	86	86	84	2
PG	86	34556	33180	33522	33221	32496	32496	1034	311	684	0	65	47	81	0	86	86	86	86	84	2
PLTR	86	34556	33180	33572	33529	33187	33187	984	0	0	0	64	0	0	0	86	86	86	86	84	2
PM	86	34556	33180	33532	30054	27233	27233	1024	3478	5947	0	64	51	86	0	86	86	86	86	84	2
PNC	86	34556	33180	33352	25264	20135	20135	1204	8268	13045	0	64	53	86	0	86	86	86	86	84	2
PSX	86	34556	33180	33442	25469	20304	20304	1114	8063	12876	0	64	52	86	0	86	86	86	86	84	2
PYPL	86	34556	33180	33532	33516	33176	33176	1024	0	5	0	64	0	2	0	86	86	86	86	84	2
QCOM	86	34556	33180	33532	33437	33062	33062	1024	79	118	0	64	25	41	0	86	86	86	86	84	2
QQQ	86	34556	33180	34129	34086	33914	33914	498	380	434	0	8	1	2	0	86	86	86	86	84	2
RBLX	86	34556	33180	33532	33120	32478	32478	1024	412	702	0	64	46	77	0	86	86	86	86	84	2
RF	86	34556	33180	30742	18641	9220	9220	3814	14907	23960	0	64	60	86	0	86	86	86	86	84	2
RTX	86	34556	33180	33516	31912	30243	30243	1040	1620	2937	0	65	53	81	0	86	86	86	86	84	2
SBUX	86	34556	33180	33532	33352	32885	32885	1024	180	295	0	64	35	60	0	86	86	86	86	84	2
SCHW	86	34556	33180	33548	31316	29669	29669	1008	2200	3511	0	63	51	83	0	86	86	86	86	84	2
SHOP	86	34556	33180	33532	33386	32992	32992	1024	130	189	0	64	30	46	0	86	86	86	86	84	2
SLB	86	34556	33180	33516	32439	31281	31281	1040	1077	1899	0	65	47	83	0	86	86	86	86	84	2
SNOW	86	34556	33180	33532	33429	33015	33015	1024	87	165	0	64	31	50	0	86	86	86	86	84	2
SOFI	86	34556	33180	33552	33518	33183	33183	1004	0	0	0	64	0	0	0	86	86	86	86	84	2
SPGI	86	34556	33180	32306	21160	13974	13974	2250	12356	19206	0	65	55	86	0	86	86	86	86	84	2
SPY	86	34556	33180	34457	34419	34355	34355	144	0	0	0	9	0	0	0	86	86	86	86	84	2
TFC	86	34556	33180	32926	21296	14251	14251	1630	12220	18929	0	65	61	86	0	86	86	86	86	84	2
TGT	86	34556	33180	33516	33423	33032	33032	1040	93	149	0	65	30	49	0	86	86	86	86	84	2
TSLA	86	34556	33180	33732	33539	33215	33215	824	0	0	0	64	0	0	0	86	86	86	86	84	2
UBER	86	34556	33180	33558	33508	33170	33170	998	9	12	0	63	9	12	0	86	86	86	86	84	2
UNH	86	34556	33180	33572	33519	33185	33185	984	2	2	0	64	1	1	0	86	86	86	86	84	2
UPST	86	34556	33180	33516	33022	32396	32396	1040	494	784	0	65	44	72	0	86	86	86	86	84	2
USB	86	34556	33180	33512	27993	23036	23036	1044	5523	10144	0	64	51	86	0	86	86	86	86	84	2
V	86	34556	33180	33558	33336	32918	32918	998	181	263	0	63	34	58	0	86	86	86	86	84	2
VLO	86	34556	33180	33532	29772	26751	26751	1024	3744	6429	0	64	49	86	0	86	86	86	86	84	2
WFC	86	34556	33180	33516	33157	32576	32576	1040	359	604	0	65	48	83	0	86	86	86	86	84	2
WMT	86	34556	33180	33562	33519	33184	33184	994	0	0	0	64	0	0	0	86	86	86	86	84	2
XOM	86	34556	33180	33532	33441	33006	33006	1024	75	174	0	64	33	68	0	86	86	86	86	84	2
