dayIso	month	symbol	type	stockAttempted	quoteAttempted	tradeAttempted	enrichAttempted	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots
2025-12-03	2025-12	CMG	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-03	2025-12	CVX	open	true	true	true	true	406	390	390	406	385	385	16	0	5	0
2025-12-03	2025-12	ETN	open	true	true	true	true	406	390	390	406	268	268	16	0	122	0
2025-12-03	2025-12	GIS	open	true	true	true	true	406	390	390	406	306	306	16	0	84	0
2025-12-03	2025-12	HAL	open	true	true	true	true	406	390	390	406	341	341	16	0	49	0
2025-12-03	2025-12	HD	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-03	2025-12	HON	open	true	true	true	true	406	390	390	406	236	236	16	0	154	0
2025-12-03	2025-12	ICE	open	true	true	true	true	406	390	320	406	92	92	86	0	298	0
2025-12-03	2025-12	JNJ	open	true	true	true	true	406	390	390	406	371	371	16	0	19	0
2025-12-03	2025-12	KEY	open	true	true	true	true	406	390	380	406	185	185	26	0	205	0
2025-12-03	2025-12	KHC	open	true	true	true	true	406	390	390	406	320	320	16	0	70	0
2025-12-03	2025-12	KO	open	true	true	true	true	406	390	390	406	387	387	16	0	3	0
2025-12-03	2025-12	LLY	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-03	2025-12	LMT	open	true	true	true	true	406	390	390	406	363	363	16	0	27	0
2025-12-03	2025-12	LOW	open	true	true	true	true	406	390	390	406	286	286	16	0	104	0
2025-12-03	2025-12	MA	open	true	true	true	true	406	390	390	406	360	360	16	0	30	0
2025-12-03	2025-12	MCD	open	true	true	true	true	406	390	390	406	382	382	16	0	8	0
2025-12-03	2025-12	MMM	open	true	true	true	true	406	390	390	406	336	336	16	0	54	0
2025-12-03	2025-12	MO	open	true	true	true	true	406	390	390	406	345	345	16	0	45	0
2025-12-03	2025-12	MPC	open	true	true	true	true	406	390	350	406	113	113	56	0	277	0
2025-12-03	2025-12	MRK	open	true	true	true	true	406	390	390	406	388	388	16	0	2	0
2025-12-03	2025-12	MS	open	true	true	true	true	406	390	390	406	379	379	16	0	11	0
2025-12-03	2025-12	NOC	open	true	true	true	true	406	390	370	406	113	113	36	0	277	0
2025-12-03	2025-12	NOW	open	true	true	true	true	406	390	390	406	353	353	16	0	37	0
2025-12-03	2025-12	OXY	open	true	true	true	true	406	390	390	406	388	388	16	0	2	0
2025-12-03	2025-12	PEP	open	true	true	true	true	406	390	390	406	379	379	16	0	11	0
2025-12-03	2025-12	PFE	open	true	true	true	true	406	390	390	406	388	388	16	0	2	0
2025-12-03	2025-12	PG	open	true	true	true	true	406	390	390	406	380	380	16	0	10	0
2025-12-03	2025-12	PM	open	true	true	true	true	406	390	390	406	313	313	16	0	77	0
2025-12-03	2025-12	PNC	open	true	true	true	true	406	390	390	406	259	259	16	0	131	0
2025-12-03	2025-12	PSX	open	true	true	true	true	406	390	390	406	225	225	16	0	165	0
2025-12-03	2025-12	QCOM	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-03	2025-12	RBLX	open	true	true	true	true	406	390	390	406	367	367	16	0	23	0
2025-12-03	2025-12	RF	open	true	true	true	true	406	390	390	406	133	133	16	0	257	0
2025-12-03	2025-12	RTX	open	true	true	true	true	406	390	390	406	342	342	16	0	48	0
2025-12-03	2025-12	SBUX	open	true	true	true	true	406	390	390	406	387	387	16	0	3	0
2025-12-03	2025-12	SCHW	open	true	true	true	true	406	390	390	406	323	323	16	0	67	0
2025-12-03	2025-12	SHOP	open	true	true	true	true	406	390	390	406	388	388	16	0	2	0
2025-12-03	2025-12	SLB	open	true	true	true	true	406	390	390	406	379	379	16	0	11	0
2025-12-03	2025-12	SPGI	open	true	true	true	true	406	390	380	406	127	127	26	0	263	0
2025-12-03	2025-12	TFC	open	true	true	true	true	406	390	390	406	163	163	16	0	227	0
2025-12-03	2025-12	TGT	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-03	2025-12	UPST	open	true	true	true	true	406	390	390	406	385	385	16	0	5	0
2025-12-03	2025-12	USB	open	true	true	true	true	406	390	390	406	287	287	16	0	103	0
2025-12-03	2025-12	V	open	true	true	true	true	406	390	390	406	380	380	16	0	10	0
2025-12-03	2025-12	VLO	open	true	true	true	true	406	390	390	406	293	293	16	0	97	0
2025-12-03	2025-12	WFC	open	true	true	true	true	406	390	390	406	386	386	16	0	4	0
2025-12-03	2025-12	XOM	open	true	true	true	true	406	390	390	406	387	387	16	0	3	0
2025-12-04	2025-12	ABBV	open	true	true	true	true	406	390	390	406	371	371	16	0	19	0
2025-12-04	2025-12	ABNB	open	true	true	true	true	406	390	390	406	355	355	16	0	35	0
2025-12-04	2025-12	AFRM	open	true	true	true	true	406	390	390	406	388	388	16	0	2	0
2025-12-04	2025-12	ALLY	open	true	true	true	true	406	390	390	406	302	302	16	0	88	0
2025-12-04	2025-12	AMGN	open	true	true	true	true	406	390	390	406	384	384	16	0	6	0
2025-12-04	2025-12	AXP	open	true	true	true	true	406	390	390	406	379	379	16	0	11	0
2025-12-04	2025-12	BLK	open	true	true	true	true	406	390	390	406	222	222	16	0	168	0
2025-12-04	2025-12	C	open	true	true	true	true	406	390	390	406	388	388	16	0	2	0
2025-12-04	2025-12	CAT	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-04	2025-12	CL	open	true	true	true	true	406	390	380	406	211	211	26	0	179	0
2025-12-04	2025-12	CME	open	true	true	true	true	406	390	370	406	142	142	36	0	248	0
2025-12-04	2025-12	CMG	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-04	2025-12	COP	open	true	true	true	true	406	390	390	406	370	370	16	0	20	0
2025-12-04	2025-12	CSCO	open	true	true	true	true	406	390	390	406	377	377	16	0	13	0
2025-12-04	2025-12	CVS	open	true	true	true	true	406	390	390	406	365	365	16	0	25	0
2025-12-04	2025-12	CVX	open	true	true	true	true	406	390	390	406	387	387	16	0	3	0
2025-12-04	2025-12	DE	open	true	true	true	true	406	390	390	406	313	313	16	0	77	0
2025-12-04	2025-12	DIS	open	true	true	true	true	406	390	390	406	386	386	16	0	4	0
2025-12-04	2025-12	EOG	open	true	true	true	true	406	390	390	406	246	246	16	0	144	0
2025-12-04	2025-12	ETN	open	true	true	true	true	406	390	390	406	242	242	16	0	148	0
2025-12-04	2025-12	GE	open	true	true	true	true	406	390	390	406	364	364	16	0	26	0
2025-12-04	2025-12	GILD	open	true	true	true	true	406	390	390	406	322	322	16	0	68	0
2025-12-04	2025-12	GIS	open	true	true	true	true	406	390	390	406	250	250	16	0	140	0
2025-12-04	2025-12	GS	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-04	2025-12	HAL	open	true	true	true	true	406	390	390	406	343	343	16	0	47	0
2025-12-04	2025-12	HD	open	true	true	true	true	406	390	390	406	385	385	16	0	5	0
2025-12-04	2025-12	HON	open	true	true	true	true	406	390	390	406	213	213	16	0	177	0
2025-12-04	2025-12	ICE	open	true	true	true	true	406	390	340	406	85	85	66	0	305	0
2025-12-04	2025-12	JNJ	open	true	true	true	true	406	390	390	406	385	385	16	0	5	0
2025-12-04	2025-12	KEY	open	true	true	true	true	406	390	390	406	234	234	16	0	156	0
2025-12-04	2025-12	KHC	open	true	true	true	true	406	390	390	406	315	315	16	0	75	0
2025-12-04	2025-12	LMT	open	true	true	true	true	406	390	390	406	340	340	16	0	50	0
2025-12-04	2025-12	LOW	open	true	true	true	true	406	390	390	406	262	262	16	0	128	0
2025-12-04	2025-12	MA	open	true	true	true	true	406	390	390	406	377	377	16	0	13	0
2025-12-04	2025-12	MCD	open	true	true	true	true	406	390	390	406	373	373	16	0	17	0
2025-12-04	2025-12	MMM	open	true	true	true	true	406	390	390	406	339	339	16	0	51	0
2025-12-04	2025-12	MO	open	true	true	true	true	406	390	390	406	354	354	16	0	36	0
2025-12-04	2025-12	MPC	open	true	true	true	true	406	390	380	406	120	120	26	0	270	0
2025-12-04	2025-12	MRK	open	true	true	true	true	406	390	390	406	387	387	16	0	3	0
2025-12-04	2025-12	MS	open	true	true	true	true	406	390	390	406	381	381	16	0	9	0
2025-12-04	2025-12	NOC	open	true	true	true	true	406	390	370	406	100	100	36	0	290	0
2025-12-04	2025-12	NOW	open	true	true	true	true	406	390	390	406	361	361	16	0	29	0
2025-12-04	2025-12	ORCL	open	true	true	true	true	406	390	390	406	389	389	16	0	1	0
2025-12-04	2025-12	OXY	open	true	true	true	true	406	390	390	406	374	374	16	0	16	0
2025-12-04	2025-12	PEP	open	true	true	true	true	406	390	390	406	382	382	16	0	8	0
2025-12-04	2025-12	PG	open	true	true	true	true	406	390	390	406	381	381	16	0	9	0
2025-12-04	2025-12	PM	open	true	true	true	true	406	390	390	406	379	379	16	0	11	0
2025-12-04	2025-12	PNC	open	true	true	true	true	406	390	380	406	256	256	26	0	134	0
2025-12-04	2025-12	PSX	open	true	true	true	true	406	390	390	406	210	210	16	0	180	0
