symbol	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	tradeNoDataSlots	tradeIncompleteSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	tradeNoDataDays	enrichDaysMissing	stockAttemptedDays	quoteAttemptedDays	tradeAttemptedDays	enrichAttemptedDays	openSymbolDays	earlyCloseSymbolDays
AAPL	86	34556	33180	34006	33150	33190	33190	550	0	0	0	0	0	35	0	0	0	0	86	85	86	86	84	2
ABBV	86	34556	33180	33580	33372	31825	31825	976	480	1355	875	480	0	61	33	33	49	0	86	86	86	86	84	2
ABNB	86	34556	33180	33580	32590	30214	30214	976	1278	2967	1689	1278	0	61	28	28	56	0	86	86	86	86	84	2
ADBE	86	34556	33180	33900	33608	33163	33163	656	4	18	14	4	0	41	1	1	11	0	86	86	86	86	84	2
AFRM	86	34556	33180	33628	33606	32637	32637	928	198	543	345	198	0	58	27	27	45	0	86	86	86	86	84	2
ALLY	86	34556	33180	32640	26544	14235	14235	1916	7276	18945	11669	7276	0	61	44	44	55	0	86	86	86	86	84	2
AMD	86	34556	33180	34026	33537	33188	33188	530	0	0	0	0	0	35	0	0	0	0	86	86	86	86	84	2
AMGN	86	34556	33180	33580	33259	30121	30121	976	641	3059	2418	641	0	61	28	28	57	0	86	86	86	86	84	2
AMZN	86	34556	33180	34016	34107	33190	33190	540	0	0	0	0	0	35	0	0	0	0	86	86	86	86	84	2
AVGO	86	34556	33180	34016	33537	33186	33186	540	0	0	0	0	0	35	0	0	0	0	86	86	86	86	84	2
AXP	86	34556	33180	33596	33307	31420	31420	960	561	1760	1199	561	0	60	32	32	51	0	86	86	86	86	84	2
BA	86	34556	33180	33996	33547	33177	33177	560	1	4	3	1	0	35	1	1	3	0	86	86	86	86	84	2
BAC	86	34556	33180	33926	33580	33174	33174	630	1	8	7	1	0	40	1	1	5	0	86	86	86	86	84	2
BLK	86	34556	33180	33440	28878	20538	20538	1116	4958	12642	7684	4958	0	61	36	36	51	0	86	86	86	86	84	2
BMY	86	34556	33180	33612	33261	32086	32086	944	543	1094	551	543	0	59	32	32	46	0	86	86	86	86	84	2
C	86	34556	33180	33660	33730	32896	32896	896	90	285	195	90	0	56	25	25	46	0	86	86	86	86	84	2
CAT	86	34556	33180	33740	33734	32978	32978	816	38	202	164	38	0	51	12	12	32	0	86	86	86	86	84	2
CL	86	34556	33180	33510	29346	20924	20924	1046	4506	12256	7750	4506	0	61	34	34	54	0	86	86	86	86	84	2
CME	86	34556	33180	32940	26674	14755	14755	1616	7146	18425	11279	7146	0	61	37	37	51	0	86	86	86	86	84	2
CMG	86	34556	33180	33628	33671	32849	32849	928	165	331	166	165	0	58	26	26	50	0	86	86	86	86	84	2
COIN	86	34556	33180	34022	33527	33186	33186	534	0	0	0	0	0	34	0	0	0	0	86	86	86	86	84	2
COP	86	34556	33180	33622	33069	30213	30213	934	783	2967	2184	783	0	59	30	30	55	0	86	86	86	86	84	2
COST	86	34556	33180	33948	33531	33175	33175	608	2	8	6	2	0	38	2	2	5	0	86	86	86	86	84	2
CRM	86	34556	33180	33788	33608	33149	33149	768	21	33	12	21	0	48	9	9	8	0	86	86	86	86	84	2
CSCO	86	34556	33180	33580	33732	32888	32888	976	120	292	172	120	0	61	23	23	40	0	86	86	86	86	84	2
