symbol	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	tradeNoDataSlots	tradeIncompleteSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	tradeNoDataDays	enrichDaysMissing	stockAttemptedDays	quoteAttemptedDays	tradeAttemptedDays	enrichAttemptedDays	openSymbolDays	earlyCloseSymbolDays
AAPL	86	34556	33180	34556	33569	33189	33190	0	0	1	1	0	0	0	0	0	1	0	86	85	86	86	84	2
ABBV	86	34556	33180	34556	34088	31825	31825	0	186	1355	1169	186	0	0	10	10	72	0	86	86	86	86	84	2
ABNB	86	34556	33180	34556	33864	30214	30214	0	353	2967	2614	353	0	0	9	9	76	0	86	86	86	86	84	2
ADBE	86	34556	33180	34556	33688	33163	33163	0	0	18	18	0	0	0	0	0	12	0	86	86	86	86	84	2
AFRM	86	34556	33180	34556	33997	32637	32637	0	91	543	452	91	0	0	12	12	60	0	86	86	86	86	84	2
ALLY	86	34556	33180	34556	32206	14235	14235	0	1996	18945	16949	1996	0	0	9	9	77	0	86	86	86	86	84	2
AMD	86	34556	33180	34556	33575	33188	33188	0	0	0	0	0	0	0	0	0	0	0	86	86	86	86	84	2
AMGN	86	34556	33180	34556	34184	30121	30121	0	110	3059	2949	110	0	0	7	7	78	0	86	86	86	86	84	2
AMZN	86	34556	33180	34556	33594	33190	33190	0	0	0	0	0	0	0	0	0	0	0	86	86	86	86	84	2
AVGO	86	34556	33180	34556	33590	33186	33186	0	0	0	0	0	0	0	0	0	0	0	86	86	86	86	84	2
AXP	86	34556	33180	34556	33992	31420	31420	0	251	1760	1509	251	0	0	10	10	73	0	86	86	86	86	84	2
BA	86	34556	33180	34556	33588	33177	33177	0	0	4	4	0	0	0	0	0	4	0	86	86	86	86	84	2
BAC	86	34556	33180	34556	33635	33174	33174	0	1	8	7	1	0	0	1	1	5	0	86	86	86	86	84	2
BLK	86	34556	33180	34556	32579	20538	20538	0	1696	12642	10946	1696	0	0	11	11	75	0	86	86	86	86	84	2
BMY	86	34556	33180	34556	33880	32086	32086	0	253	1094	841	253	0	0	14	14	64	0	86	86	86	86	84	2
C	86	34556	33180	34556	34108	32896	32896	0	40	285	245	40	0	0	8	8	63	0	86	86	86	86	84	2
CAT	86	34556	33180	34556	33966	32978	32978	0	4	202	198	4	0	0	2	2	42	0	86	86	86	86	84	2
CL	86	34556	33180	34556	33124	20924	20924	0	1154	12256	11102	1154	0	0	8	8	78	0	86	86	86	86	84	2
CME	86	34556	33180	34556	31250	14755	14755	0	2962	18425	15463	2962	0	0	14	14	72	0	86	86	86	86	84	2
CMG	86	34556	33180	34556	34123	32849	32849	0	62	331	269	62	0	0	7	7	69	0	86	86	86	86	84	2
COIN	86	34556	33180	34556	33543	33186	33186	0	0	0	0	0	0	0	0	0	0	0	86	86	86	86	84	2
COP	86	34556	33180	34556	34050	30213	30213	0	182	2967	2785	182	0	0	8	8	77	0	86	86	86	86	84	2
COST	86	34556	33180	34556	33589	33175	33175	0	2	8	6	2	0	0	2	2	5	0	86	86	86	86	84	2
CRM	86	34556	33180	34556	33789	33149	33149	0	6	33	27	6	0	0	2	2	15	0	86	86	86	86	84	2
CSCO	86	34556	33180	34556	34142	32888	32888	0	37	292	255	37	0	0	5	5	58	0	86	86	86	86	84	2
CVS	86	34556	33180	34556	34050	30864	30864	0	226	2316	2090	226	0	0	8	8	76	0	86	86	86	86	84	2
CVX	86	34556	33180	34556	33876	32974	32974	0	39	207	168	39	0	0	9	9	50	0	86	86	86	86	84	2
DE	86	34556	33180	34556	33563	27928	27928	0	651	5252	4601	651	0	0	11	11	74	0	86	86	86	86	84	2
DIS	86	34556	33180	34556	34055	33014	33014	0	30	169	139	30	0	0	8	8	46	0	86	86	86	86	84	2
EOG	86	34556	33180	34556	33342	21514	21514	0	952	11666	10714	952	0	0	7	7	79	0	86	86	86	86	84	2
ETN	86	34556	33180	34556	32502	23871	23871	0	1709	9309	7600	1709	0	0	15	15	71	0	86	86	86	86	84	2
GE	86	34556	33180	34556	34107	32036	32036	0	58	1144	1086	58	0	0	8	8	65	0	86	86	86	86	84	2
GILD	86	34556	33180	34556	33575	27574	27574	0	687	5606	4919	687	0	0	9	9	77	0	86	85	86	86	84	2
GIS	86	34556	33180	34556	33350	23564	23564	0	989	9616	8627	989	0	0	7	7	79	0	86	86	86	86	84	2
GOOGL	86	34556	33180	34556	33573	33188	33188	0	0	0	0	0	0	0	0	0	0	0	86	86	86	86	84	2
GS	86	34556	33180	34556	33628	33139	33139	0	9	44	35	9	0	0	4	4	12	0	86	86	86	86	84	2
HAL	86	34556	33180	34556	33518	29454	29454	0	678	3726	3048	678	0	0	13	13	71	0	86	86	86	86	84	2
HD	86	34556	33180	34556	34123	32787	32787	0	29	393	364	29	0	0	7	7	64	0	86	86	86	86	84	2
HON	86	34556	33180	34556	33444	24530	24530	0	833	8650	7817	833	0	0	9	9	77	0	86	86	86	86	84	2
HOOD	86	34556	33180	34556	33556	33183	33183	0	0	0	0	0	0	0	0	0	0	0	86	86	86	86	84	2
ICE	86	34556	33180	34556	31287	8977	8885	0	3049	24203	21154	3049	92	0	10	10	76	1	86	86	86	86	84	2
INTC	86	34556	33180	34556	33558	33183	33183	0	0	0	0	0	0	0	0	0	0	0	86	86	86	86	84	2
JNJ	86	34556	33180	34556	34022	32609	32609	0	110	571	461	110	0	0	13	13	63	0	86	86	86	86	84	2
