symbol	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	enrichDaysMissing	stockAttemptedDays	quoteAttemptedDays	tradeAttemptedDays	enrichAttemptedDays	openSymbolDays	earlyCloseSymbolDays
AAPL	86	34556	33180	34006	33150	33190	33190	550	0	0	0	35	0	0	0	86	85	86	86	84	2
ABBV	86	34556	33180	33580	32845	31825	31825	976	783	1355	0	61	47	82	0	86	86	86	86	84	2
ABNB	86	34556	33180	33580	31802	30214	30214	976	1842	2967	0	61	42	84	0	86	86	86	86	84	2
ADBE	86	34556	33180	33900	33523	33163	33163	656	9	18	0	41	6	12	0	86	86	86	86	84	2
AFRM	86	34556	33180	33628	33342	32637	32637	928	286	543	0	58	38	72	0	86	86	86	86	84	2
ALLY	86	34556	33180	32640	23970	14235	14235	1916	9674	18945	0	61	55	86	0	86	86	86	86	84	2
AMD	86	34556	33180	34026	33537	33188	33188	530	0	0	0	35	0	0	0	86	86	86	86	84	2
AMGN	86	34556	33180	33580	31947	30121	30121	976	1697	3059	0	61	44	85	0	86	86	86	86	84	2
AMZN	86	34556	33180	34016	34107	33190	33190	540	0	0	0	35	0	0	0	86	86	86	86	84	2
AVGO	86	34556	33180	34016	33537	33186	33186	540	0	0	0	35	0	0	0	86	86	86	86	84	2
AXP	86	34556	33180	33596	32725	31420	31420	960	919	1760	0	60	46	83	0	86	86	86	86	84	2
BA	86	34556	33180	33996	33530	33177	33177	560	2	4	0	35	2	4	0	86	86	86	86	84	2
BAC	86	34556	33180	33926	33545	33174	33174	630	4	8	0	40	3	6	0	86	86	86	86	84	2
BLK	86	34556	33180	33440	26823	20538	20538	1116	6821	12642	0	61	48	86	0	86	86	86	86	84	2
BMY	86	34556	33180	33612	32907	32086	32086	944	721	1094	0	59	43	78	0	86	86	86	86	84	2
C	86	34556	33180	33660	33501	32896	32896	896	127	285	0	56	37	71	0	86	86	86	86	84	2
CAT	86	34556	33180	33740	33503	32978	32978	816	93	202	0	51	23	44	0	86	86	86	86	84	2
CL	86	34556	33180	33510	27180	20924	20924	1046	6464	12256	0	61	47	86	0	86	86	86	86	84	2
CME	86	34556	33180	32940	23705	14755	14755	1616	9939	18425	0	61	48	86	0	86	86	86	86	84	2
CMG	86	34556	33180	33628	33438	32849	32849	928	206	331	0	58	38	76	0	86	86	86	86	84	2
COIN	86	34556	33180	34022	33527	33186	33186	534	0	0	0	34	0	0	0	86	86	86	86	84	2
COP	86	34556	33180	33622	32172	30213	30213	934	1456	2967	0	59	44	85	0	86	86	86	86	84	2
COST	86	34556	33180	33948	33514	33175	33175	608	3	8	0	38	3	7	0	86	86	86	86	84	2
CRM	86	34556	33180	33788	33486	33149	33149	768	31	33	0	48	16	17	0	86	86	86	86	84	2
CSCO	86	34556	33180	33580	33412	32888	32888	976	200	292	0	61	38	63	0	86	86	86	86	84	2
CVS	86	34556	33180	33606	32392	30864	30864	950	1252	2316	0	60	45	84	0	86	86	86	86	84	2
CVX	86	34556	33180	33676	33543	32974	32974	880	85	207	0	55	25	59	0	86	86	86	86	84	2
DE	86	34556	33180	33590	31110	27928	27928	966	2534	5252	0	61	44	85	0	86	86	86	86	84	2
DIS	86	34556	33180	33724	33497	33014	33014	832	127	169	0	52	36	54	0	86	86	86	86	84	2
EOG	86	34556	33180	33530	27501	21514	21514	1026	6127	11666	0	61	47	86	0	86	86	86	86	84	2
ETN	86	34556	33180	33580	28404	23871	23871	976	5240	9309	0	61	49	86	0	86	86	86	86	84	2
GE	86	34556	33180	33596	33248	32036	32036	960	396	1144	0	60	38	73	0	86	86	86	86	84	2
GILD	86	34556	33180	33596	30276	27574	27574	960	2946	5606	0	60	46	86	0	86	85	86	86	84	2
