symbol	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	enrichDaysMissing	stockAttemptedDays	quoteAttemptedDays	tradeAttemptedDays	enrichAttemptedDays	openSymbolDays	earlyCloseSymbolDays
AAPL	86	34556	33180	34556	33569	33190	33190	0	0	0	0	0	0	0	0	86	85	86	86	84	2
ABBV	86	34556	33180	34556	32709	31825	31825	0	893	1355	0	0	52	82	0	86	86	86	86	84	2
ABNB	86	34556	33180	34556	31565	30214	30214	0	2028	2967	0	0	48	84	0	86	86	86	86	84	2
ADBE	86	34556	33180	34556	33583	33163	33163	0	9	18	0	0	6	12	0	86	86	86	86	84	2
AFRM	86	34556	33180	34556	33245	32637	32637	0	331	543	0	0	44	72	0	86	86	86	86	84	2
ALLY	86	34556	33180	34556	23317	14235	14235	0	10261	18945	0	0	48	86	0	86	86	86	86	84	2
AMD	86	34556	33180	34556	33575	33188	33188	0	0	0	0	0	0	0	0	86	86	86	86	84	2
AMGN	86	34556	33180	34556	31767	30121	30121	0	1839	3059	0	0	50	85	0	86	86	86	86	84	2
AMZN	86	34556	33180	34556	33594	33190	33190	0	0	0	0	0	0	0	0	86	86	86	86	84	2
AVGO	86	34556	33180	34556	33590	33186	33186	0	0	0	0	0	0	0	0	86	86	86	86	84	2
AXP	86	34556	33180	34556	32549	31420	31420	0	1022	1760	0	0	52	83	0	86	86	86	86	84	2
BA	86	34556	33180	34556	33554	33177	33177	0	2	4	0	0	2	4	0	86	86	86	86	84	2
BAC	86	34556	33180	34556	33582	33174	33174	0	6	8	0	0	4	6	0	86	86	86	86	84	2
BLK	86	34556	33180	34556	25774	20538	20538	0	7829	12642	0	0	53	86	0	86	86	86	86	84	2
BMY	86	34556	33180	34556	32808	32086	32086	0	781	1094	0	0	48	78	0	86	86	86	86	84	2
C	86	34556	33180	34556	33467	32896	32896	0	137	285	0	0	42	71	0	86	86	86	86	84	2
CAT	86	34556	33180	34556	33461	32978	32978	0	109	202	0	0	27	44	0	86	86	86	86	84	2
CL	86	34556	33180	34556	26203	20924	20924	0	7387	12256	0	0	51	86	0	86	86	86	86	84	2
CME	86	34556	33180	34556	22190	14755	14755	0	11414	18425	0	0	52	86	0	86	86	86	86	84	2
CMG	86	34556	33180	34556	33379	32849	32849	0	214	331	0	0	44	76	0	86	86	86	86	84	2
COIN	86	34556	33180	34556	33543	33186	33186	0	0	0	0	0	0	0	0	86	86	86	86	84	2
COP	86	34556	33180	34556	31919	30213	30213	0	1657	2967	0	0	49	85	0	86	86	86	86	84	2
COST	86	34556	33180	34556	33572	33175	33175	0	3	8	0	0	3	7	0	86	86	86	86	84	2
CRM	86	34556	33180	34556	33540	33149	33149	0	31	33	0	0	16	17	0	86	86	86	86	84	2
CSCO	86	34556	33180	34556	33366	32888	32888	0	221	292	0	0	42	63	0	86	86	86	86	84	2
CVS	86	34556	33180	34556	32242	30864	30864	0	1346	2316	0	0	51	84	0	86	86	86	86	84	2
CVX	86	34556	33180	34556	33469	32974	32974	0	110	207	0	0	30	59	0	86	86	86	86	84	2
DE	86	34556	33180	34556	30620	27928	27928	0	2970	5252	0	0	50	85	0	86	86	86	86	84	2
DIS	86	34556	33180	34556	33432	33014	33014	0	141	169	0	0	40	54	0	86	86	86	86	84	2
EOG	86	34556	33180	34556	26696	21514	21514	0	6910	11666	0	0	50	86	0	86	86	86	86	84	2
ETN	86	34556	33180	34556	27611	23871	23871	0	5960	9309	0	0	55	86	0	86	86	86	86	84	2
GE	86	34556	33180	34556	33027	32036	32036	0	562	1144	0	0	44	73	0	86	86	86	86	84	2
GILD	86	34556	33180	34556	30268	27574	27574	0	3322	5606	0	0	51	86	0	86	85	86	86	84	2
GIS	86	34556	33180	34556	27852	23564	23564	0	5719	9616	0	0	55	86	0	86	86	86	86	84	2
GOOGL	86	34556	33180	34556	33573	33188	33188	0	0	0	0	0	0	0	0	86	86	86	86	84	2
GS	86	34556	33180	34556	33555	33139	33139	0	18	44	0	0	8	16	0	86	86	86	86	84	2
HAL	86	34556	33180	34556	31290	29454	29454	0	2282	3726	0	0	52	84	0	86	86	86	86	84	2
HD	86	34556	33180	34556	33315	32787	32787	0	261	393	0	0	43	71	0	86	86	86	86	84	2
HON	86	34556	33180	34556	28371	24530	24530	0	5202	8650	0	0	53	86	0	86	86	86	86	84	2
HOOD	86	34556	33180	34556	33556	33183	33183	0	0	0	0	0	0	0	0	86	86	86	86	84	2
ICE	86	34556	33180	34556	17861	8977	8977	0	15755	24203	0	0	55	86	0	86	86	86	86	84	2
INTC	86	34556	33180	34556	33558	33183	33183	0	0	0	0	0	0	0	0	86	86	86	86	84	2
JNJ	86	34556	33180	34556	33217	32609	32609	0	355	571	0	0	48	76	0	86	86	86	86	84	2
JPM	86	34556	33180	34556	33568	33171	33171	0	6	10	0	0	4	8	0	86	86	86	86	84	2
KEY	86	34556	33180	34556	20874	14832	14832	0	12694	18348	0	0	58	86	0	86	86	86	86	84	2
KHC	86	34556	33180	34556	31311	29454	29454	0	2277	3726	0	0	53	86	0	86	86	86	86	84	2
KO	86	34556	33180	34556	33487	33029	33029	0	84	151	0	0	29	50	0	86	86	86	86	84	2
LLY	86	34556	33180	34556	33535	33163	33163	0	10	19	0	0	5	12	0	86	86	86	86	84	2
LMT	86	34556	33180	34556	32021	30582	30582	0	1551	2598	0	0	53	84	0	86	86	86	86	84	2
LOW	86	34556	33180	34556	28944	26262	26262	0	4631	6918	0	0	51	86	0	86	86	86	86	84	2
MA	86	34556	33180	34556	32562	31351	31351	0	1012	1829	0	0	52	86	0	86	86	86	86	84	2
MCD	86	34556	33180	34556	32878	32062	32062	0	669	1118	0	0	48	85	0	86	86	86	86	84	2
META	86	34556	33180	34556	33578	33187	33187	0	0	0	0	0	0	0	0	86	86	86	86	84	2
MMM	86	34556	33180	34556	29162	26425	26425	0	4424	6755	0	0	55	86	0	86	86	86	86	84	2
MO	86	34556	33180	34556	32551	31244	31244	0	1024	1936	0	0	50	85	0	86	86	86	86	84	2
MPC	86	34556	33180	34556	23032	15905	15905	0	10558	17275	0	0	51	86	0	86	86	86	86	84	2
MRK	86	34556	33180	34556	33314	32834	32834	0	259	347	0	0	50	69	0	86	86	86	86	84	2
MS	86	34556	33180	34556	32471	31043	31043	0	1076	2137	0	0	48	85	0	86	86	86	86	84	2
MSFT	86	34556	33180	34556	33591	33188	33188	0	0	0	0	0	0	0	0	86	86	86	86	84	2
MU	86	34556	33180	34556	33521	33186	33186	0	0	0	0	0	0	0	0	86	86	86	86	84	2
NFLX	86	34556	33180	34556	33600	33191	33191	0	0	0	0	0	0	0	0	86	86	86	86	84	2
NKE	86	34556	33180	34556	33543	33168	33168	0	3	13	0	0	3	9	0	86	86	86	86	84	2
NOC	86	34556	33180	34556	22149	13818	13818	0	11409	19362	0	0	53	86	0	86	86	86	86	84	2
NOW	86	34556	33180	34556	33012	32123	32123	0	561	1057	0	0	23	43	0	86	86	86	86	84	2
NVDA	86	34556	33180	34556	33580	33208	33208	0	0	0	0	0	0	0	0	86	86	86	86	84	2
ORCL	86	34556	33180	34556	33492	33061	33061	0	64	120	0	0	37	58	0	86	86	86	86	84	2
OXY	86	34556	33180	34556	33402	32853	32853	0	186	327	0	0	40	63	0	86	86	86	86	84	2
PEP	86	34556	33180	34556	33136	32428	32428	0	424	752	0	0	48	80	0	86	86	86	86	84	2
PFE	86	34556	33180	34556	33480	33085	33085	0	66	97	0	0	27	40	0	86	86	86	86	84	2
PG	86	34556	33180	34556	33265	32496	32496	0	311	684	0	0	47	81	0	86	86	86	86	84	2
PLTR	86	34556	33180	34556	33577	33187	33187	0	0	0	0	0	0	0	0	86	86	86	86	84	2
PM	86	34556	33180	34556	30097	27233	27233	0	3478	5947	0	0	51	86	0	86	86	86	86	84	2
PNC	86	34556	33180	34556	25312	20135	20135	0	8248	13045	0	0	51	86	0	86	86	86	86	84	2
PSX	86	34556	33180	34556	25507	20304	20304	0	8053	12876	0	0	51	86	0	86	86	86	86	84	2
PYPL	86	34556	33180	34556	33557	33176	33176	0	0	5	0	0	0	2	0	86	86	86	86	84	2
QCOM	86	34556	33180	34556	33496	33062	33062	0	79	118	0	0	25	41	0	86	86	86	86	84	2
QQQ	86	34556	33180	34782	36055	33914	33914	0	0	434	0	0	0	2	0	86	86	86	86	84	2
RBLX	86	34556	33180	34556	33147	32478	32478	0	412	702	0	0	46	77	0	86	86	86	86	84	2
RF	86	34556	33180	34556	19197	9220	9220	0	14407	23960	0	0	52	86	0	86	86	86	86	84	2
RTX	86	34556	33180	34556	31952	30243	30243	0	1620	2937	0	0	53	81	0	86	86	86	86	84	2
SBUX	86	34556	33180	34556	33411	32885	32885	0	180	295	0	0	35	60	0	86	86	86	86	84	2
SCHW	86	34556	33180	34556	31403	29669	29669	0	2141	3511	0	0	50	83	0	86	86	86	86	84	2
SHOP	86	34556	33180	34556	33416	32992	32992	0	130	189	0	0	30	46	0	86	86	86	86	84	2
SLB	86	34556	33180	34556	32536	31281	31281	0	1056	1899	0	0	46	83	0	86	86	86	86	84	2
SNOW	86	34556	33180	34556	33474	33015	33015	0	86	165	0	0	30	50	0	86	86	86	86	84	2
SOFI	86	34556	33180	34556	33556	33183	33183	0	0	0	0	0	0	0	0	86	86	86	86	84	2
