symbol	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	tradeNoDataSlots	tradeIncompleteSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	tradeNoDataDays	enrichDaysMissing	stockAttemptedDays	quoteAttemptedDays	tradeAttemptedDays	enrichAttemptedDays	openSymbolDays	earlyCloseSymbolDays
AAPL	87	34962	33570	34962	33959	33579	33580	0	0	1	1	0	0	0	0	0	1	0	87	86	87	87	85	2
ABBV	87	34962	33570	34962	34478	32204	32204	0	186	1366	1180	186	0	0	10	10	73	0	87	87	87	87	85	2
ABNB	87	34962	33570	34962	34254	30529	30529	0	353	3042	2689	353	0	0	9	9	77	0	87	87	87	87	85	2
ADBE	87	34962	33570	34962	34078	33553	33553	0	0	18	18	0	0	0	0	0	12	0	87	87	87	87	85	2
AFRM	87	34962	33570	34962	34387	33001	33001	0	91	569	478	91	0	0	12	12	61	0	87	87	87	87	85	2
ALLY	87	34962	33570	34962	32596	14361	14361	0	1996	19209	17213	1996	0	0	9	9	78	0	87	87	87	87	85	2
AMD	87	34962	33570	34962	33965	33578	33578	0	0	0	0	0	0	0	0	0	0	0	87	87	87	87	85	2
AMGN	87	34962	33570	34962	34574	30447	30447	0	110	3123	3013	110	0	0	7	7	79	0	87	87	87	87	85	2
AMZN	87	34962	33570	34962	33984	33581	33581	0	0	0	0	0	0	0	0	0	0	0	87	87	87	87	85	2
AVGO	87	34962	33570	34962	33980	33576	33576	0	0	0	0	0	0	0	0	0	0	0	87	87	87	87	85	2
AXP	87	34962	33570	34962	34382	31804	31804	0	251	1766	1515	251	0	0	10	10	74	0	87	87	87	87	85	2
BA	87	34962	33570	34962	33978	33567	33567	0	0	4	4	0	0	0	0	0	4	0	87	87	87	87	85	2
BAC	87	34962	33570	34962	34025	33564	33564	0	1	8	7	1	0	0	1	1	5	0	87	87	87	87	85	2
BLK	87	34962	33570	34962	32969	20822	20822	0	1696	12748	11052	1696	0	0	11	11	76	0	87	87	87	87	85	2
BMY	87	34962	33570	34962	34270	32391	32391	0	253	1179	926	253	0	0	14	14	65	0	87	87	87	87	85	2
C	87	34962	33570	34962	34498	33286	33286	0	40	285	245	40	0	0	8	8	63	0	87	87	87	87	85	2
CAT	87	34962	33570	34962	34356	33368	33368	0	4	202	198	4	0	0	2	2	42	0	87	87	87	87	85	2
CL	87	34962	33570	34962	33514	21158	21158	0	1154	12412	11258	1154	0	0	8	8	79	0	87	87	87	87	85	2
