symbol	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	tradeNoDataSlots	tradeIncompleteSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	tradeNoDataDays	enrichDaysMissing	stockAttemptedDays	quoteAttemptedDays	tradeAttemptedDays	enrichAttemptedDays	openSymbolDays	earlyCloseSymbolDays
AAPL	87	34962	33570	34962	33959	33579	33580	0	0	1	1	0	0	0	0	0	1	0	87	86	87	87	85	2
ABBV	87	34962	33570	34962	34824	32204	32204	0	0	1366	1366	0	0	0	0	0	83	0	87	87	87	87	85	2
ABNB	87	34962	33570	34962	34751	30529	30529	0	0	3042	3042	0	0	0	0	0	85	0	87	87	87	87	85	2
ADBE	87	34962	33570	34962	34078	33553	33553	0	0	18	18	0	0	0	0	0	12	0	87	87	87	87	85	2
AFRM	87	34962	33570	34962	34670	33001	33001	0	0	569	569	0	0	0	0	0	73	0	87	87	87	87	85	2
ALLY	87	34962	33570	34962	34736	14361	14361	0	0	19209	19209	0	0	0	0	0	87	0	87	87	87	87	85	2
AMD	87	34962	33570	34962	33965	33578	33578	0	0	0	0	0	0	0	0	0	0	0	87	87	87	87	85	2
AMGN	87	34962	33570	34962	34796	30447	30447	0	0	3123	3123	0	0	0	0	0	86	0	87	87	87	87	85	2
AMZN	87	34962	33570	34962	33984	33581	33581	0	0	0	0	0	0	0	0	0	0	0	87	87	87	87	85	2
AVGO	87	34962	33570	34962	33980	33576	33576	0	0	0	0	0	0	0	0	0	0	0	87	87	87	87	85	2
AXP	87	34962	33570	34962	34793	31804	31804	0	0	1766	1766	0	0	0	0	0	84	0	87	87	87	87	85	2
BA	87	34962	33570	34962	33978	33567	33567	0	0	4	4	0	0	0	0	0	4	0	87	87	87	87	85	2
BAC	87	34962	33570	34962	34042	33564	33564	0	0	8	8	0	0	0	0	0	6	0	87	87	87	87	85	2
BLK	87	34962	33570	34962	34841	20822	20822	0	0	12748	12748	0	0	0	0	0	87	0	87	87	87	87	85	2
BMY	87	34962	33570	34962	34747	32391	32391	0	0	1179	1179	0	0	0	0	0	79	0	87	87	87	87	85	2
C	87	34962	33570	34962	34666	33286	33286	0	0	285	285	0	0	0	0	0	71	0	87	87	87	87	85	2
CAT	87	34962	33570	34962	34392	33368	33368	0	0	202	202	0	0	0	0	0	44	0	87	87	87	87	85	2
CL	87	34962	33570	34962	34796	21158	21158	0	0	12412	12412	0	0	0	0	0	87	0	87	87	87	87	85	2
CME	87	34962	33570	34962	34826	15050	15050	0	0	18520	18520	0	0	0	0	0	87	0	87	87	87	87	85	2
CMG	87	34962	33570	34962	34687	33232	33232	0	0	338	338	0	0	0	0	0	77	0	87	87	87	87	85	2
COIN	87	34962	33570	34962	33933	33576	33576	0	0	0	0	0	0	0	0	0	0	0	87	87	87	87	85	2
COP	87	34962	33570	34962	34750	30566	30566	0	0	3004	3004	0	0	0	0	0	86	0	87	87	87	87	85	2
COST	87	34962	33570	34962	34013	33565	33565	0	0	8	8	0	0	0	0	0	7	0	87	87	87	87	85	2
CRM	87	34962	33570	34962	34217	33539	33539	0	0	33	33	0	0	0	0	0	17	0	87	87	87	87	85	2
CSCO	87	34962	33570	34962	34649	33277	33277	0	0	293	293	0	0	0	0	0	64	0	87	87	87	87	85	2
CVS	87	34962	33570	34962	34794	31198	31198	0	0	2372	2372	0	0	0	0	0	85	0	87	87	87	87	85	2
CVX	87	34962	33570	34962	34449	33363	33363	0	0	208	208	0	0	0	0	0	60	0	87	87	87	87	85	2
DE	87	34962	33570	34962	34780	28272	28272	0	0	5298	5298	0	0	0	0	0	86	0	87	87	87	87	85	2
DIS	87	34962	33570	34962	34603	33402	33402	0	0	171	171	0	0	0	0	0	55	0	87	87	87	87	85	2
EOG	87	34962	33570	34962	34796	21759	21759	0	0	11811	11811	0	0	0	0	0	87	0	87	87	87	87	85	2
ETN	87	34962	33570	34962	34841	24179	24179	0	0	9391	9391	0	0	0	0	0	87	0	87	87	87	87	85	2
GE	87	34962	33570	34962	34683	32420	32420	0	0	1150	1150	0	0	0	0	0	74	0	87	87	87	87	85	2
GILD	87	34962	33570	34962	34796	27903	27903	0	0	5667	5667	0	0	0	0	0	87	0	87	86	87	87	85	2
GIS	87	34962	33570	34962	34841	23884	23884	0	0	9686	9686	0	0	0	0	0	87	0	87	87	87	87	85	2
GOOGL	87	34962	33570	34962	33963	33578	33578	0	0	0	0	0	0	0	0	0	0	0	87	87	87	87	85	2
GS	87	34962	33570	34962	34091	33529	33529	0	0	44	44	0	0	0	0	0	16	0	87	87	87	87	85	2
HAL	87	34962	33570	34962	34794	29812	29813	0	0	3758	3758	0	0	0	0	0	85	0	87	87	87	87	85	2
HD	87	34962	33570	34962	34654	33174	33174	0	0	396	396	0	0	0	0	0	72	0	87	87	87	87	85	2
HON	87	34962	33570	34962	34811	24844	24844	0	0	8726	8726	0	0	0	0	0	87	0	87	87	87	87	85	2
HOOD	87	34962	33570	34962	33946	33573	33573	0	0	0	0	0	0	0	0	0	0	0	87	87	87	87	85	2
ICE	87	34962	33570	34962	34886	9074	8982	0	0	24496	24496	0	92	0	0	0	87	1	87	87	87	87	85	2
INTC	87	34962	33570	34962	33948	33573	33573	0	0	0	0	0	0	0	0	0	0	0	87	87	87	87	85	2
JNJ	87	34962	33570	34962	34730	32992	32992	0	0	578	578	0	0	0	0	0	77	0	87	87	87	87	85	2
JPM	87	34962	33570	34962	34028	33561	33561	0	0	10	10	0	0	0	0	0	8	0	87	87	87	87	85	2
KEY	87	34962	33570	34962	34886	14943	14943	0	0	18627	18627	0	0	0	0	0	87	0	87	87	87	87	85	2
KHC	87	34962	33570	34962	34826	29786	29786	0	0	3784	3784	0	0	0	0	0	87	0	87	87	87	87	85	2
KO	87	34962	33570	34962	34425	33414	33414	0	0	156	156	0	0	0	0	0	51	0	87	87	87	87	85	2
LLY	87	34962	33570	34962	34015	33553	33553	0	0	19	19	0	0	0	0	0	12	0	87	87	87	87	85	2
LMT	87	34962	33570	34962	34810	30941	30941	0	0	2629	2629	0	0	0	0	0	85	0	87	87	87	87	85	2
LOW	87	34962	33570	34962	34781	26531	26531	0	0	7039	7039	0	0	0	0	0	87	0	87	87	87	87	85	2
MA	87	34962	33570	34962	34796	31710	31710	0	0	1860	1860	0	0	0	0	0	87	0	87	87	87	87	85	2
MCD	87	34962	33570	34962	34705	32421	32421	0	0	1149	1149	0	0	0	0	0	86	0	87	87	87	87	85	2
META	87	34962	33570	34962	33968	33577	33577	0	0	0	0	0	0	0	0	0	0	0	87	87	87	87	85	2
MMM	87	34962	33570	34962	34856	26751	26751	0	0	6819	6819	0	0	0	0	0	87	0	87	87	87	87	85	2
MO	87	34962	33570	34962	34765	31583	31583	0	0	1987	1987	0	0	0	0	0	86	0	87	87	87	87	85	2
MPC	87	34962	33570	34962	34796	16083	16083	0	0	17487	17487	0	0	0	0	0	87	0	87	87	87	87	85	2
MRK	87	34962	33570	34962	34763	33221	33221	0	0	350	350	0	0	0	0	0	70	0	87	87	87	87	85	2
MS	87	34962	33570	34962	34705	31385	31385	0	0	2185	2185	0	0	0	0	0	86	0	87	87	87	87	85	2
MSFT	87	34962	33570	34962	33981	33578	33578	0	0	0	0	0	0	0	0	0	0	0	87	87	87	87	85	2
MU	87	34962	33570	34962	33911	33576	33576	0	0	0	0	0	0	0	0	0	0	0	87	87	87	87	85	2
NFLX	87	34962	33570	34962	33990	33581	33581	0	0	0	0	0	0	0	0	0	0	0	87	87	87	87	85	2
NKE	87	34962	33570	34962	33984	33558	33558	0	0	13	13	0	0	0	0	0	9	0	87	87	87	87	85	2
NOC	87	34962	33570	34962	34796	14007	14007	0	0	19563	19563	0	0	0	0	0	87	0	87	87	87	87	85	2
NOW	87	34962	33570	34962	34331	32513	32513	0	0	1057	1057	0	0	0	0	0	43	0	87	87	87	87	85	2
NVDA	87	34962	33570	34962	33970	33598	33598	0	0	0	0	0	0	0	0	0	0	0	87	87	87	87	85	2
ORCL	87	34962	33570	34962	34538	33450	33450	0	0	121	121	0	0	0	0	0	59	0	87	87	87	87	85	2
OXY	87	34962	33570	34962	34618	33242	33242	0	0	328	328	0	0	0	0	0	64	0	87	87	87	87	85	2
PEP	87	34962	33570	34962	34718	32796	32796	0	0	774	774	0	0	0	0	0	81	0	87	87	87	87	85	2
PFE	87	34962	33570	34962	34368	33475	33475	0	0	97	97	0	0	0	0	0	40	0	87	87	87	87	85	2
PG	87	34962	33570	34962	34718	32863	32864	0	0	707	707	0	0	0	0	0	82	0	87	87	87	87	85	2
PLTR	87	34962	33570	34962	33967	33577	33577	0	0	0	0	0	0	0	0	0	0	0	87	87	87	87	85	2
PM	87	34962	33570	34962	34781	27494	27494	0	0	6076	6076	0	0	0	0	0	87	0	87	87	87	87	85	2
PNC	87	34962	33570	34962	34766	20303	20303	0	0	13267	13267	0	0	0	0	0	87	0	87	87	87	87	85	2
PSX	87	34962	33570	34962	34766	20519	20519	0	0	13051	13051	0	0	0	0	0	87	0	87	87	87	87	85	2
PYPL	87	34962	33570	34962	33947	33566	33566	0	0	5	5	0	0	0	0	0	2	0	87	87	87	87	85	2
QCOM	87	34962	33570	34962	34365	33449	33449	0	0	121	121	0	0	0	0	0	42	0	87	87	87	87	85	2
QQQ	87	34962	33570	35188	36445	34319	34319	0	0	434	434	0	0	0	0	0	2	0	87	87	87	87	85	2
RBLX	87	34962	33570	34962	34685	32866	32867	0	0	704	704	0	0	0	0	0	78	0	87	87	87	87	85	2
RF	87	34962	33570	34962	34826	9287	9287	0	0	24283	24283	0	0	0	0	0	87	0	87	87	87	87	85	2
RTX	87	34962	33570	34962	34810	30625	30625	0	0	2945	2945	0	0	0	0	0	82	0	87	87	87	87	85	2
SBUX	87	34962	33570	34962	34541	33272	33272	0	0	298	298	0	0	0	0	0	61	0	87	87	87	87	85	2
SCHW	87	34962	33570	34962	34734	29980	29980	0	0	3590	3590	0	0	0	0	0	84	0	87	87	87	87	85	2
SHOP	87	34962	33570	34962	34416	33373	33374	0	0	198	198	0	0	0	0	0	47	0	87	87	87	87	85	2
SLB	87	34962	33570	34962	34718	31666	31666	0	0	1904	1904	0	0	0	0	0	84	0	87	87	87	87	85	2
SNOW	87	34962	33570	34962	34430	33404	33404	0	0	166	166	0	0	0	0	0	51	0	87	87	87	87	85	2
SOFI	87	34962	33570	34962	33946	33574	33574	0	0	0	0	0	0	0	0	0	0	0	87	87	87	87	85	2
SPGI	87	34962	33570	34962	34796	14143	14143	0	0	19427	19427	0	0	0	0	0	87	0	87	87	87	87	85	2
SPY	87	34962	33570	35100	36122	34760	34760	0	0	0	0	0	0	0	0	0	0	0	87	87	87	87	85	2
