symbol	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	tradeNoDataSlots	tradeIncompleteSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	tradeNoDataDays	enrichDaysMissing	stockAttemptedDays	quoteAttemptedDays	tradeAttemptedDays	enrichAttemptedDays	openSymbolDays	earlyCloseSymbolDays
AAPL	88	35368	33960	34962	33959	33579	33580	406	390	391	1	390	0	1	1	1	1	0	87	86	87	87	86	2
ABBV	88	35368	33960	34962	34824	32204	32204	406	390	1756	1366	390	0	1	1	1	83	0	87	87	87	87	86	2
ABNB	88	35368	33960	34962	34751	30529	30529	406	390	3432	3042	390	0	1	1	1	85	0	87	87	87	87	86	2
ADBE	88	35368	33960	34962	34078	33553	33553	406	390	408	18	390	0	1	1	1	12	0	87	87	87	87	86	2
AFRM	88	35368	33960	34962	34670	33001	33001	406	390	959	569	390	0	1	1	1	73	0	87	87	87	87	86	2
ALLY	88	35368	33960	34962	34736	14361	14361	406	390	19599	19209	390	0	1	1	1	87	0	87	87	87	87	86	2
AMD	88	35368	33960	34962	33965	33578	33578	406	390	390	0	390	0	1	1	1	0	0	87	87	87	87	86	2
AMGN	88	35368	33960	34962	34796	30447	30447	406	390	3513	3123	390	0	1	1	1	86	0	87	87	87	87	86	2
AMZN	88	35368	33960	34962	33984	33581	33581	406	390	390	0	390	0	1	1	1	0	0	87	87	87	87	86	2
AVGO	88	35368	33960	34962	33980	33576	33576	406	390	390	0	390	0	1	1	1	0	0	87	87	87	87	86	2
AXP	88	35368	33960	34962	34793	31804	31804	406	390	2156	1766	390	0	1	1	1	84	0	87	87	87	87	86	2
BA	88	35368	33960	34962	33978	33567	33567	406	390	394	4	390	0	1	1	1	4	0	87	87	87	87	86	2
BAC	88	35368	33960	34962	34042	33564	33564	406	390	398	8	390	0	1	1	1	6	0	87	87	87	87	86	2
BLK	88	35368	33960	34962	34841	20822	20822	406	390	13138	12748	390	0	1	1	1	87	0	87	87	87	87	86	2
BMY	88	35368	33960	34962	34747	32391	32391	406	390	1569	1179	390	0	1	1	1	79	0	87	87	87	87	86	2
C	88	35368	33960	34962	34666	33286	33286	406	390	675	285	390	0	1	1	1	71	0	87	87	87	87	86	2
CAT	88	35368	33960	34962	34392	33368	33368	406	390	592	202	390	0	1	1	1	44	0	87	87	87	87	86	2
CL	88	35368	33960	34962	34796	21158	21158	406	390	12802	12412	390	0	1	1	1	87	0	87	87	87	87	86	2
CME	88	35368	33960	34962	34826	15050	15050	406	390	18910	18520	390	0	1	1	1	87	0	87	87	87	87	86	2
CMG	88	35368	33960	34962	34687	33232	33232	406	390	728	338	390	0	1	1	1	77	0	87	87	87	87	86	2
