symbol	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	tradeNoDataSlots	tradeIncompleteSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	tradeNoDataDays	enrichDaysMissing	stockAttemptedDays	quoteAttemptedDays	tradeAttemptedDays	enrichAttemptedDays	openSymbolDays	earlyCloseSymbolDays
AAPL	86	34556	33180	34006	33150	33190	33190	550	0	0	0	0	0	35	0	0	0	0	86	85	86	86	84	2
ABBV	86	34556	33180	33580	34034	31825	31825	976	186	1355	1169	186	0	61	10	10	72	0	86	86	86	86	84	2
ABNB	86	34556	33180	33580	33803	30214	30214	976	369	2967	2598	369	0	61	9	9	75	0	86	86	86	86	84	2
ADBE	86	34556	33180	33900	33628	33163	33163	656	0	18	18	0	0	41	0	0	12	0	86	86	86	86	84	2
AFRM	86	34556	33180	33628	33953	32637	32637	928	91	543	452	91	0	58	12	12	60	0	86	86	86	86	84	2
ALLY	86	34556	33180	32640	31756	14235	14235	1916	2416	18945	16529	2416	0	61	22	22	77	0	86	86	86	86	84	2
AMD	86	34556	33180	34026	33537	33188	33188	530	0	0	0	0	0	35	0	0	0	0	86	86	86	86	84	2
AMGN	86	34556	33180	33580	34126	30121	30121	976	110	3059	2949	110	0	61	7	7	78	0	86	86	86	86	84	2
AMZN	86	34556	33180	34016	34107	33190	33190	540	0	0	0	0	0	35	0	0	0	0	86	86	86	86	84	2
AVGO	86	34556	33180	34016	33537	33186	33186	540	0	0	0	0	0	35	0	0	0	0	86	86	86	86	84	2
AXP	86	34556	33180	33596	33969	31420	31420	960	251	1760	1509	251	0	60	10	10	73	0	86	86	86	86	84	2
BA	86	34556	33180	33996	33564	33177	33177	560	0	4	4	0	0	35	0	0	4	0	86	86	86	86	84	2
BAC	86	34556	33180	33926	33580	33174	33174	630	1	8	7	1	0	40	1	1	5	0	86	86	86	86	84	2
BLK	86	34556	33180	33440	32514	20538	20538	1116	1706	12642	10936	1706	0	61	12	12	75	0	86	86	86	86	84	2
BMY	86	34556	33180	33612	33839	32086	32086	944	253	1094	841	253	0	59	14	14	64	0	86	86	86	86	84	2
C	86	34556	33180	33660	34052	32896	32896	896	40	285	245	40	0	56	8	8	63	0	86	86	86	86	84	2
CAT	86	34556	33180	33740	33928	32978	32978	816	4	202	198	4	0	51	2	2	42	0	86	86	86	86	84	2
CL	86	34556	33180	33510	33062	20924	20924	1046	1174	12256	11082	1174	0	61	10	10	78	0	86	86	86	86	84	2
CME	86	34556	33180	32940	31164	14755	14755	1616	2992	18425	15433	2992	0	61	16	16	72	0	86	86	86	86	84	2
CMG	86	34556	33180	33628	34078	32849	32849	928	62	331	269	62	0	58	7	7	69	0	86	86	86	86	84	2
COIN	86	34556	33180	34022	33527	33186	33186	534	0	0	0	0	0	34	0	0	0	0	86	86	86	86	84	2
COP	86	34556	33180	33622	34022	30213	30213	934	182	2967	2785	182	0	59	8	8	77	0	86	86	86	86	84	2
COST	86	34556	33180	33948	33531	33175	33175	608	2	8	6	2	0	38	2	2	5	0	86	86	86	86	84	2
CRM	86	34556	33180	33788	33735	33149	33149	768	6	33	27	6	0	48	2	2	15	0	86	86	86	86	84	2
CSCO	86	34556	33180	33580	34103	32888	32888	976	37	292	255	37	0	61	5	5	58	0	86	86	86	86	84	2
CVS	86	34556	33180	33606	34010	30864	30864	950	226	2316	2090	226	0	60	8	8	76	0	86	86	86	86	84	2
CVX	86	34556	33180	33676	33845	32974	32974	880	39	207	168	39	0	55	9	9	50	0	86	86	86	86	84	2
DE	86	34556	33180	33590	33521	27928	27928	966	651	5252	4601	651	0	61	11	11	74	0	86	86	86	86	84	2
DIS	86	34556	33180	33724	34042	33014	33014	832	30	169	139	30	0	52	8	8	46	0	86	86	86	86	84	2
EOG	86	34556	33180	33530	33264	21514	21514	1026	972	11666	10694	972	0	61	9	9	79	0	86	86	86	86	84	2
ETN	86	34556	33180	33580	32479	23871	23871	976	1709	9309	7600	1709	0	61	15	15	71	0	86	86	86	86	84	2
GE	86	34556	33180	33596	34066	32036	32036	960	58	1144	1086	58	0	60	8	8	65	0	86	86	86	86	84	2
GILD	86	34556	33180	33596	33127	27574	27574	960	687	5606	4842	764	0	60	9	10	76	0	86	85	86	86	84	2
GIS	86	34556	33180	33560	33327	23564	23564	996	989	9616	8627	989	0	61	7	7	79	0	86	86	86	86	84	2
GOOGL	86	34556	33180	34026	33522	33188	33188	530	0	0	0	0	0	35	0	0	0	0	86	86	86	86	84	2
GS	86	34556	33180	33916	33588	33139	33139	640	9	44	35	9	0	40	4	4	12	0	86	86	86	86	84	2
HAL	86	34556	33180	33590	33478	29454	29454	966	678	3726	3048	678	0	61	13	13	71	0	86	86	86	86	84	2
HD	86	34556	33180	33628	34063	32787	32787	928	29	393	364	29	0	58	7	7	64	0	86	86	86	86	84	2
HON	86	34556	33180	33564	33403	24530	24530	992	833	8650	7817	833	0	62	9	9	77	0	86	86	86	86	84	2
HOOD	86	34556	33180	33990	33517	33183	33183	566	0	0	0	0	0	36	0	0	0	0	86	86	86	86	84	2
ICE	86	34556	33180	30490	30995	8977	8977	4066	3289	24203	20914	3289	0	61	16	16	76	0	86	86	86	86	84	2
INTC	86	34556	33180	34006	33517	33183	33183	550	0	0	0	0	0	35	0	0	0	0	86	86	86	86	84	2
JNJ	86	34556	33180	33596	33982	32609	32609	960	110	571	461	110	0	60	13	13	63	0	86	86	86	86	84	2
JPM	86	34556	33180	33932	33563	33171	33171	624	1	10	9	1	0	39	1	1	7	0	86	86	86	86	84	2
KEY	86	34556	33180	32794	31232	14832	14832	1762	3036	18348	15312	3036	0	62	18	18	74	0	86	86	86	86	84	2
KHC	86	34556	33180	33548	33994	29454	29454	1008	274	3726	3452	274	0	63	7	7	79	0	86	86	86	86	84	2
KO	86	34556	33180	33708	33892	33029	33029	848	8	151	143	8	0	53	6	6	44	0	86	86	86	86	84	2
LLY	86	34556	33180	33932	33597	33163	33163	624	0	19	19	0	0	39	0	0	12	0	86	86	86	86	84	2
LMT	86	34556	33180	33564	33875	30582	30582	992	345	2598	2253	345	0	62	10	10	74	0	86	86	86	86	84	2
LOW	86	34556	33180	33534	33311	26262	26262	1022	813	6918	6105	813	0	62	14	14	72	0	86	86	86	86	84	2
