symbol	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	enrichDaysMissing	stockAttemptedDays	quoteAttemptedDays	tradeAttemptedDays	enrichAttemptedDays	openSymbolDays	earlyCloseSymbolDays
ABBV	1	406	390	406	406	374	374	0	0	16	0	0	0	1	0	1	1	1	1	1	0
ABNB	1	406	390	406	406	371	371	0	0	19	0	0	0	1	0	1	1	1	1	1	0
ALLY	2	812	780	812	812	375	375	0	0	405	0	0	0	2	0	2	2	2	2	2	0
AMGN	1	406	390	406	406	333	333	0	0	57	0	0	0	1	0	1	1	1	1	1	0
AXP	1	406	390	406	406	336	336	0	0	54	0	0	0	1	0	1	1	1	1	1	0
BLK	1	406	390	406	406	169	169	0	0	221	0	0	0	1	0	1	1	1	1	1	0
BMY	1	406	390	406	406	384	384	0	0	6	0	0	0	1	0	1	1	1	1	1	0
C	1	406	390	406	406	377	377	0	0	13	0	0	0	1	0	1	1	1	1	1	0
CAT	1	406	390	406	406	385	385	0	0	5	0	0	0	1	0	1	1	1	1	1	0
CL	1	406	390	406	406	261	261	0	0	129	0	0	0	1	0	1	1	1	1	1	0
CME	1	406	390	406	406	111	111	0	0	279	0	0	0	1	0	1	1	1	1	1	0
CMG	1	406	390	406	406	388	388	0	0	2	0	0	0	1	0	1	1	1	1	1	0
COP	1	406	390	406	406	307	307	0	0	83	0	0	0	1	0	1	1	1	1	1	0
CSCO	1	406	390	406	406	385	385	0	0	5	0	0	0	1	0	1	1	1	1	1	0
CVS	1	406	390	406	406	365	365	0	0	25	0	0	0	1	0	1	1	1	1	1	0
CVX	1	406	390	406	406	386	386	0	0	4	0	0	0	1	0	1	1	1	1	1	0
DE	1	406	390	406	406	322	322	0	0	68	0	0	0	1	0	1	1	1	1	1	0
DIS	1	406	390	406	406	388	388	0	0	2	0	0	0	1	0	1	1	1	1	1	0
EOG	1	406	390	406	406	208	208	0	0	182	0	0	0	1	0	1	1	1	1	1	0
ETN	2	812	780	812	812	493	493	0	0	287	0	0	0	2	0	2	2	2	2	2	0
GE	1	406	390	406	406	350	350	0	0	40	0	0	0	1	0	1	1	1	1	1	0
GILD	2	812	780	812	812	598	598	0	0	182	0	0	0	2	0	2	2	2	2	2	0
GIS	1	406	390	406	406	376	376	0	0	14	0	0	0	1	0	1	1	1	1	1	0
GS	1	406	390	406	406	389	389	0	0	1	0	0	0	1	0	1	1	1	1	1	0
HAL	1	406	390	406	406	360	360	0	0	30	0	0	0	1	0	1	1	1	1	1	0
JNJ	1	406	390	406	406	378	378	0	0	12	0	0	0	1	0	1	1	1	1	1	0
SCHW	1	406	390	406	406	331	331	0	0	59	0	0	0	1	0	1	1	1	1	1	0
SLB	1	406	390	406	406	369	369	0	0	21	0	0	0	1	0	1	1	1	1	1	0
SNOW	1	406	390	406	406	389	389	0	0	1	0	0	0	1	0	1	1	1	1	1	0
SPGI	1	406	390	406	406	127	127	0	0	263	0	0	0	1	0	1	1	1	1	1	0
TFC	1	406	390	406	406	147	147	0	0	243	0	0	0	1	0	1	1	1	1	1	0
UPST	1	406	390	406	406	387	387	0	0	3	0	0	0	1	0	1	1	1	1	1	0
USB	1	406	390	406	406	254	254	0	0	136	0	0	0	1	0	1	1	1	1	1	0
V	1	406	390	406	406	386	386	0	0	4	0	0	0	1	0	1	1	1	1	1	0
VLO	1	406	390	406	406	354	354	0	0	36	0	0	0	1	0	1	1	1	1	1	0
WFC	1	406	390	406	406	372	372	0	0	18	0	0	0	1	0	1	1	1	1	1	0
XOM	1	406	390	406	406	389	389	0	0	1	0	0	0	1	0	1	1	1	1	1	0
