symbol	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	tradeNoDataSlots	tradeIncompleteSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	tradeNoDataDays	enrichDaysMissing	stockAttemptedDays	quoteAttemptedDays	tradeAttemptedDays	enrichAttemptedDays	openSymbolDays	earlyCloseSymbolDays
AAPL	22	8752	8400	8752	8437	8404	8405	0	0	1	1	0	0	0	0	0	1	0	22	22	22	22	21	1
ABBV	22	8752	8400	8752	8675	7937	7937	0	45	463	418	45	0	0	1	1	20	0	22	22	22	22	21	1
ABNB	22	8752	8400	8752	8616	7596	7596	0	104	804	700	104	0	0	2	2	20	0	22	22	22	22	21	1
ADBE	22	8752	8400	8752	8512	8395	8395	0	0	5	5	0	0	0	0	0	5	0	22	22	22	22	21	1
AFRM	22	8752	8400	8752	8667	8244	8244	0	21	156	135	21	0	0	2	2	18	0	22	22	22	22	21	1
ALLY	22	8752	8400	8752	7847	4106	4106	0	841	4294	3453	841	0	0	4	4	18	0	22	22	22	22	21	1
AMD	22	8752	8400	8752	8434	8402	8402	0	0	0	0	0	0	0	0	0	0	0	22	22	22	22	21	1
AMGN	22	8752	8400	8752	8752	7161	7161	0	0	1239	1239	0	0	0	0	0	22	0	22	22	22	22	21	1
AMZN	22	8752	8400	8752	8435	8403	8403	0	0	0	0	0	0	0	0	0	0	0	22	22	22	22	21	1
AVGO	22	8752	8400	8752	8433	8401	8401	0	0	0	0	0	0	0	0	0	0	0	22	22	22	22	21	1
AXP	22	8752	8400	8752	8667	7832	7832	0	53	568	515	53	0	0	2	2	20	0	22	22	22	22	21	1
BA	22	8752	8400	8752	8448	8399	8399	0	0	1	1	0	0	0	0	0	1	0	22	22	22	22	21	1
BAC	22	8752	8400	8752	8463	8395	8395	0	1	5	4	1	0	0	1	1	2	0	22	22	22	22	21	1
BLK	22	8752	8400	8752	8063	4731	4731	0	641	3669	3028	641	0	0	3	3	19	0	22	22	22	22	21	1
BMY	22	8752	8400	8752	8637	8119	8119	0	35	281	246	35	0	0	3	3	17	0	22	22	22	22	21	1
C	22	8752	8400	8752	8672	8341	8341	0	0	59	59	0	0	0	0	0	17	0	22	22	22	22	21	1
CAT	22	8752	8400	8752	8672	8324	8324	0	0	76	76	0	0	0	0	0	16	0	22	22	22	22	21	1
CL	22	8752	8400	8752	8227	5007	5007	0	477	3393	2916	477	0	0	3	3	19	0	22	22	22	22	21	1
CME	22	8752	8400	8752	7701	2877	2877	0	987	5523	4536	987	0	0	4	4	18	0	22	22	22	22	21	1
CMG	22	8752	8400	8752	8685	8354	8354	0	3	46	43	3	0	0	2	2	18	0	22	22	22	22	21	1
COIN	22	8752	8400	8752	8416	8400	8400	0	0	0	0	0	0	0	0	0	0	0	22	22	22	22	21	1
COP	22	8752	8400	8752	8679	7341	7341	0	57	1059	1002	57	0	0	1	1	21	0	22	22	22	22	21	1
COST	22	8752	8400	8752	8433	8400	8400	0	0	1	1	0	0	0	0	0	1	0	22	22	22	22	21	1
CRM	22	8752	8400	8752	8507	8386	8386	0	6	15	9	6	0	0	2	2	6	0	22	22	22	22	21	1
CSCO	22	8752	8400	8752	8707	8283	8283	0	13	117	104	13	0	0	1	1	20	0	22	22	22	22	21	1
CVS	22	8752	8400	8752	8591	7488	7488	0	129	912	783	129	0	0	2	2	20	0	22	22	22	22	21	1
CVX	22	8752	8400	8752	8627	8296	8296	0	29	104	75	29	0	0	4	4	16	0	22	22	22	22	21	1
DE	22	8752	8400	8752	8618	6582	6582	0	118	1818	1700	118	0	0	1	1	21	0	22	22	22	22	21	1
DIS	22	8752	8400	8752	8641	8359	8359	0	1	43	42	1	0	0	1	1	14	0	22	22	22	22	21	1
EOG	22	8752	8400	8752	8623	5236	5236	0	113	3164	3051	113	0	0	1	1	21	0	22	22	22	22	21	1
ETN	22	8752	8400	8752	8062	5813	5813	0	610	2587	1977	610	0	0	5	5	17	0	22	22	22	22	21	1
GE	22	8752	8400	8752	8752	7930	7930	0	0	470	470	0	0	0	0	0	22	0	22	22	22	22	21	1
GILD	22	8752	8400	8752	8519	6681	6681	0	201	1719	1518	201	0	0	2	2	20	0	22	22	22	22	21	1
GIS	22	8752	8400	8752	8633	6227	6227	0	103	2173	2070	103	0	0	1	1	21	0	22	22	22	22	21	1
GOOGL	22	8752	8400	8752	8419	8403	8403	0	0	0	0	0	0	0	0	0	0	0	22	22	22	22	21	1
GS	22	8752	8400	8752	8477	8391	8391	0	3	9	6	3	0	0	1	1	4	0	22	22	22	22	21	1
HAL	22	8752	8400	8752	8183	6803	6803	0	489	1597	1108	489	0	0	5	5	17	0	22	22	22	22	21	1
HD	22	8752	8400	8752	8720	8271	8271	0	0	129	129	0	0	0	0	0	20	0	22	22	22	22	21	1
HON	22	8752	8400	8752	8381	5453	5453	0	339	2947	2608	339	0	0	2	2	20	0	22	22	22	22	21	1
HOOD	22	8752	8400	8752	8416	8400	8400	0	0	0	0	0	0	0	0	0	0	0	22	22	22	22	21	1
ICE	22	8752	8400	8752	8399	1612	1520	0	337	6788	6451	337	92	0	1	1	21	1	22	22	22	22	21	1
INTC	22	8752	8400	8752	8416	8400	8400	0	0	0	0	0	0	0	0	0	0	0	22	22	22	22	21	1
JNJ	22	8752	8400	8752	8632	8162	8162	0	56	238	182	56	0	0	3	3	18	0	22	22	22	22	21	1
JPM	22	8752	8400	8752	8463	8394	8394	0	1	6	5	1	0	0	1	1	3	0	22	22	22	22	21	1
KEY	22	8752	8400	8752	8535	4546	4546	0	201	3854	3653	201	0	0	1	1	21	0	22	22	22	22	21	1
KHC	22	8752	8400	8752	8622	7193	7193	0	98	1207	1109	98	0	0	2	2	20	0	22	22	22	22	21	1
KO	22	8752	8400	8752	8620	8342	8342	0	4	58	54	4	0	0	2	2	14	0	22	22	22	22	21	1
LLY	22	8752	8400	8752	8465	8397	8397	0	0	4	4	0	0	0	0	0	3	0	22	22	22	22	21	1
LMT	22	8752	8400	8752	8505	7352	7352	0	199	1048	849	199	0	0	3	3	19	0	22	22	22	22	21	1
LOW	22	8752	8400	8752	8670	5864	5864	0	66	2536	2470	66	0	0	1	1	21	0	22	22	22	22	21	1
MA	22	8752	8400	8752	8678	7826	7826	0	58	574	516	58	0	0	1	1	21	0	22	22	22	22	21	1
MCD	22	8752	8400	8752	8662	8105	8105	0	42	295	253	42	0	0	3	3	19	0	22	22	22	22	21	1
