symbol	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	tradeNoDataSlots	tradeIncompleteSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	tradeNoDataDays	enrichDaysMissing	stockAttemptedDays	quoteAttemptedDays	tradeAttemptedDays	enrichAttemptedDays	openSymbolDays	earlyCloseSymbolDays
AAPL	1	406	390	406	390	390	390	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
ABBV	1	406	390	406	390	390	390	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
ABNB	1	406	390	406	406	341	341	0	0	49	49	0	0	0	0	0	1	0	1	1	1	1	1	0
ADBE	1	406	390	406	390	390	390	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
AFRM	1	406	390	406	406	389	389	0	0	1	1	0	0	0	0	0	1	0	1	1	1	1	1	0
ALLY	1	406	390	406	406	187	187	0	0	203	203	0	0	0	0	0	1	0	1	1	1	1	1	0
AMD	1	406	390	406	391	391	391	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
AMGN	1	406	390	406	406	368	368	0	0	22	22	0	0	0	0	0	1	0	1	1	1	1	1	0
AMZN	1	406	390	406	390	390	390	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
AVGO	1	406	390	406	390	390	390	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
AXP	1	406	390	406	406	375	375	0	0	15	15	0	0	0	0	0	1	0	1	1	1	1	1	0
BA	1	406	390	406	390	390	390	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
BAC	1	406	390	406	390	390	390	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
BLK	1	406	390	406	406	300	300	0	0	90	90	0	0	0	0	0	1	0	1	1	1	1	1	0
BMY	1	406	390	406	406	389	389	0	0	1	1	0	0	0	0	0	1	0	1	1	1	1	1	0
C	1	406	390	406	390	390	390	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
CAT	1	406	390	406	390	390	390	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
CL	1	406	390	406	406	193	193	0	0	197	197	0	0	0	0	0	1	0	1	1	1	1	1	0
CME	1	406	390	406	406	116	116	0	0	274	274	0	0	0	0	0	1	0	1	1	1	1	1	0
CMG	1	406	390	406	406	389	389	0	0	1	1	0	0	0	0	0	1	0	1	1	1	1	1	0
COIN	1	406	390	406	390	390	390	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
COP	1	406	390	406	406	361	361	0	0	29	29	0	0	0	0	0	1	0	1	1	1	1	1	0
COST	1	406	390	406	390	390	390	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
CRM	1	406	390	406	391	391	391	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
CSCO	1	406	390	406	390	390	390	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
CVS	1	406	390	406	406	375	375	0	0	15	15	0	0	0	0	0	1	0	1	1	1	1	1	0
CVX	1	406	390	406	406	385	385	0	0	5	5	0	0	0	0	0	1	0	1	1	1	1	1	0
DE	1	406	390	406	406	339	339	0	0	51	51	0	0	0	0	0	1	0	1	1	1	1	1	0
DIS	1	406	390	406	406	387	387	0	0	3	3	0	0	0	0	0	1	0	1	1	1	1	1	0
EOG	1	406	390	406	406	227	227	0	0	163	163	0	0	0	0	0	1	0	1	1	1	1	1	0
ETN	1	406	390	406	406	268	268	0	0	122	122	0	0	0	0	0	1	0	1	1	1	1	1	0
GE	1	406	390	406	406	361	361	0	0	29	29	0	0	0	0	0	1	0	1	1	1	1	1	0
GILD	1	406	390	406	406	285	285	0	0	105	105	0	0	0	0	0	1	0	1	1	1	1	1	0
GIS	1	406	390	406	406	306	306	0	0	84	84	0	0	0	0	0	1	0	1	1	1	1	1	0
GOOGL	1	406	390	406	390	390	390	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
GS	1	406	390	406	390	390	390	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0
HAL	1	406	390	406	406	341	341	0	0	49	49	0	0	0	0	0	1	0	1	1	1	1	1	0
