symbol	expectedSymbolDays	expectedPaddedSlots	expectedCoreSlots	stockSlots	quoteSlots	tradeSlots	enrichSlots	stockMissingSlots	quoteMissingSlots	tradeMissingSlots	tradeNoDataSlots	tradeIncompleteSlots	enrichVsTradeMissingSlots	stockDaysMissing	quoteDaysMissing	tradeDaysMissing	tradeNoDataDays	enrichDaysMissing	stockAttemptedDays	quoteAttemptedDays	tradeAttemptedDays	enrichAttemptedDays	openSymbolDays	earlyCloseSymbolDays
AAPL	1	406	390	406	390	390	0	0	0	0	0	0	390	0	0	0	0	1	1	1	1	0	1	0
ABBV	1	406	390	406	390	379	379	0	0	11	11	0	0	0	0	0	1	0	1	1	1	1	1	0
ABNB	1	406	390	406	390	315	0	0	0	75	75	0	315	0	0	0	1	1	1	1	1	0	1	0
ADBE	1	406	390	406	390	390	0	0	0	0	0	0	390	0	0	0	0	1	1	1	1	0	1	0
AFRM	1	406	390	406	390	364	0	0	0	26	26	0	364	0	0	0	1	1	1	1	1	0	1	0
ALLY	1	406	390	406	390	126	0	0	0	264	264	0	126	0	0	0	1	1	1	1	1	0	1	0
AMD	1	406	390	406	390	390	0	0	0	0	0	0	390	0	0	0	0	1	1	1	1	0	1	0
AMGN	1	406	390	406	390	326	0	0	0	64	64	0	326	0	0	0	1	1	1	1	1	0	1	0
AMZN	1	406	390	406	390	391	0	0	0	0	0	0	391	0	0	0	0	1	1	1	1	0	1	0
AVGO	1	406	390	406	390	390	0	0	0	0	0	0	390	0	0	0	0	1	1	1	1	0	1	0
AXP	1	406	390	406	390	384	0	0	0	6	6	0	384	0	0	0	1	1	1	1	1	0	1	0
BA	1	406	390	406	390	390	0	0	0	0	0	0	390	0	0	0	0	1	1	1	1	0	1	0
BAC	1	406	390	406	390	390	0	0	0	0	0	0	390	0	0	0	0	1	1	1	1	0	1	0
BLK	1	406	390	406	390	284	0	0	0	106	106	0	284	0	0	0	1	1	1	1	1	0	1	0
BMY	1	406	390	406	390	305	0	0	0	85	85	0	305	0	0	0	1	1	1	1	1	0	1	0
C	1	406	390	406	390	390	0	0	0	0	0	0	390	0	0	0	0	1	1	1	1	0	1	0
