s.day_iso	s.symbol	expected_slots	stock_slots	quote_slots	trade_slots	enrich_slots
2025-11-03	AAPL	406	406	406	390	390
2025-11-03	ABBV	406	406	406	388	388
2025-11-03	ABNB	406	406	406	363	363
2025-11-03	ADBE	406	406	406	389	389
2025-11-03	AFRM	406	406	406	386	386
2025-11-03	ALLY	406	406	406	144	144
2025-11-03	AMD	406	406	406	390	390
2025-11-03	AMGN	406	406	406	324	324
2025-11-03	AMZN	406	406	406	391	391
2025-11-03	AVGO	406	406	406	390	390
2025-11-03	AXP	406	406	406	353	353
2025-11-03	BA	406	406	406	390	390
2025-11-03	BAC	406	406	406	390	390
2025-11-03	BLK	406	406	406	237	237
2025-11-03	BMY	406	406	406	386	386
2025-11-03	C	406	406	406	388	388
2025-11-03	CAT	406	406	406	388	388
2025-11-03	CL	406	406	406	328	328
2025-11-03	CME	406	406	406	112	112
2025-11-03	CMG	406	406	406	388	388
2025-11-03	COIN	406	406	406	390	390
2025-11-03	COP	406	406	406	326	326
2025-11-03	COST	406	406	406	390	390
2025-11-03	CRM	406	406	406	390	390
2025-11-03	CSCO	406	406	406	390	390
2025-11-03	CVS	406	406	406	365	365
2025-11-03	CVX	406	406	406	390	390
2025-11-03	DE	406	406	406	238	238
2025-11-03	DIS	406	406	406	389	389
2025-11-03	EOG	406	406	406	229	229
2025-11-03	ETN	406	406	406	359	359
2025-11-03	GE	406	406	406	357	357
2025-11-03	GILD	406	406	406	354	354
2025-11-03	GIS	406	406	406	245	245
2025-11-03	GOOGL	406	406	406	390	390
2025-11-03	GS	406	406	406	381	381
2025-11-03	HAL	406	406	406	344	344
2025-11-03	HD	406	406	406	385	385
2025-11-03	HON	406	406	406	248	248
2025-11-03	HOOD	406	406	406	390	390
2025-11-03	ICE	406	406	406	145	145
2025-11-03	INTC	406	406	406	390	390
2025-11-03	JNJ	406	406	406	374	374
2025-11-03	JPM	406	406	406	390	390
2025-11-03	KEY	406	406	406	193	193
2025-11-03	KHC	406	406	406	369	369
2025-11-03	KO	406	406	406	390	390
2025-11-03	LLY	406	406	406	390	390
2025-11-03	LMT	406	406	406	320	320
2025-11-03	LOW	406	406	406	315	315
2025-11-03	MA	406	406	406	372	372
2025-11-03	MCD	406	406	406	381	381
2025-11-03	META	406	406	406	390	390
2025-11-03	MMM	406	406	406	317	317
2025-11-03	MO	406	406	406	375	375
2025-11-03	MPC	406	406	406	150	150
2025-11-03	MRK	406	406	406	388	388
