s.day_iso	s.symbol	expected_slots	stock_slots
2026-02-03	ABBV	406	391
2026-02-03	ABNB	406	391
2026-02-03	ADBE	406	391
2026-02-03	AFRM	406	391
2026-02-03	ALLY	406	391
2026-02-03	AMD	406	391
2026-02-03	AMGN	406	391
2026-02-03	AMZN	406	391
2026-02-03	AVGO	406	391
2026-02-03	AXP	406	391
2026-02-03	BA	406	391
2026-02-03	BAC	406	391
2026-02-03	BLK	406	391
2026-02-03	BMY	406	391
2026-02-03	C	406	391
2026-02-03	CAT	406	391
2026-02-03	CL	406	391
2026-02-03	CME	406	391
2026-02-03	CMG	406	391
2026-02-03	COIN	406	391
2026-02-03	COP	406	391
2026-02-03	CRM	406	391
2026-02-03	CSCO	406	391
2026-02-03	CVS	406	391
2026-02-03	DE	406	391
2026-02-03	DIS	406	391
2026-02-03	EOG	406	391
2026-02-03	ETN	406	391
2026-02-03	GE	406	391
2026-02-03	GILD	406	391
2026-02-03	GIS	406	391
2026-02-03	GOOGL	406	391
2026-02-03	GS	406	391
2026-02-03	HAL	406	391
2026-02-03	HD	406	391
2026-02-03	HON	406	391
2026-02-03	INTC	406	391
2026-02-03	JPM	406	391
2026-02-03	KEY	406	391
2026-02-03	KO	406	391
2026-02-03	LOW	406	391
2026-02-03	MA	406	391
2026-02-03	MCD	406	391
2026-02-03	META	406	391
2026-02-03	MMM	406	391
2026-02-03	MS	406	391
2026-02-03	NKE	406	391
2026-02-03	PEP	406	391
2026-02-03	PFE	406	391
2026-02-03	PM	406	391
2026-02-03	PNC	406	391
2026-02-03	PSX	406	391
2026-02-03	RBLX	406	391
2026-02-03	SBUX	406	391
2026-02-03	SCHW	406	391
2026-02-03	SHOP	406	391
2026-02-03	UBER	406	391
2026-02-03	UNH	406	391
2026-02-03	V	406	391
2026-02-03	VLO	406	391
2026-02-03	WMT	406	391
2026-02-03	XOM	406	391
2026-02-04	AAPL	406	391
2026-02-04	AFRM	406	391
2026-02-04	AMZN	406	391
2026-02-04	AVGO	406	391
2026-02-04	AXP	406	391
2026-02-04	BA	406	391
2026-02-04	COIN	406	391
2026-02-04	COP	406	391
2026-02-04	CVS	406	391
2026-02-04	CVX	406	391
2026-02-04	DIS	406	391
2026-02-04	ETN	406	391
2026-02-04	GILD	406	391
2026-02-04	GIS	406	391
2026-02-04	GOOGL	406	391
2026-02-04	HOOD	406	391
2026-02-04	INTC	406	391
2026-02-04	JNJ	406	391
2026-02-04	LLY	406	391
2026-02-04	LMT	406	391
2026-02-04	MA	406	391
2026-02-04	MCD	406	391
2026-02-04	MO	406	391
2026-02-04	MRK	406	391
2026-02-04	MS	406	391
2026-02-04	MSFT	406	391
2026-02-04	NOC	406	391
2026-02-04	PEP	406	391
2026-02-04	PFE	406	391
2026-02-04	PLTR	406	391
2026-02-04	PYPL	406	391
2026-02-04	QCOM	406	391
2026-02-04	SCHW	406	391
2026-02-04	SNOW	406	391
2026-02-04	SOFI	406	391
2026-02-04	TSLA	406	391
2026-02-04	UBER	406	391
2026-02-04	USB	406	391
2026-02-04	V	406	391
2026-03-09	ABBV	406	0
2026-03-09	ABNB	406	0
2026-03-09	ADBE	406	0
2026-03-09	AFRM	406	0
2026-03-09	ALLY	406	0
2026-03-09	AMD	406	0
2026-03-09	AMGN	406	0
2026-03-09	AMZN	406	0
2026-03-09	AVGO	406	0
2026-03-09	AXP	406	0
2026-03-09	BA	406	0
2026-03-09	BAC	406	0
2026-03-09	BLK	406	0
2026-03-09	BMY	406	0
2026-03-09	C	406	0
2026-03-09	CAT	406	0
2026-03-09	CL	406	0
2026-03-09	CME	406	0
2026-03-09	CMG	406	0
2026-03-09	COIN	406	0
2026-03-09	COP	406	0
2026-03-09	COST	406	0
2026-03-09	CRM	406	0
2026-03-09	CSCO	406	0
2026-03-09	CVS	406	0
2026-03-09	CVX	406	0
2026-03-09	DE	406	0
2026-03-09	DIS	406	0
2026-03-09	EOG	406	0
2026-03-09	ETN	406	0
2026-03-09	GE	406	0
2026-03-09	GILD	406	0
2026-03-09	GIS	406	0
2026-03-09	GOOGL	406	0
2026-03-09	GS	406	0
2026-03-09	HAL	406	0
2026-03-09	HD	406	0
2026-03-09	HON	406	0
2026-03-09	HOOD	406	0
2026-03-09	ICE	406	0
2026-03-09	INTC	406	0
2026-03-09	JNJ	406	0
2026-03-09	JPM	406	0
2026-03-09	KEY	406	0
2026-03-09	KHC	406	0
2026-03-09	KO	406	0
2026-03-09	LLY	406	0
2026-03-09	LMT	406	0
2026-03-09	LOW	406	0
2026-03-09	MA	406	0
2026-03-09	MCD	406	0
2026-03-09	META	406	0
2026-03-09	MMM	406	0
2026-03-09	MO	406	0
2026-03-09	MPC	406	0
2026-03-09	MRK	406	0
2026-03-09	MS	406	0
2026-03-09	MSFT	406	0
2026-03-09	MU	406	0
2026-03-09	NFLX	406	0
2026-03-09	NKE	406	0
2026-03-09	NOC	406	0
2026-03-09	NOW	406	0
2026-03-09	NVDA	406	0
2026-03-09	ORCL	406	0
2026-03-09	OXY	406	0
2026-03-09	PEP	406	0
2026-03-09	PFE	406	0
2026-03-09	PG	406	0
2026-03-09	PLTR	406	0
2026-03-09	PM	406	0
2026-03-09	PNC	406	0
2026-03-09	PSX	406	0
2026-03-09	PYPL	406	0
2026-03-09	QCOM	406	0
2026-03-09	QQQ	406	0
2026-03-09	RBLX	406	0
2026-03-09	RF	406	0
2026-03-09	RTX	406	0
2026-03-09	SBUX	406	0
2026-03-09	SCHW	406	0
2026-03-09	SHOP	406	0
2026-03-09	SLB	406	0
2026-03-09	SNOW	406	0
2026-03-09	SOFI	406	0
2026-03-09	SPGI	406	0
2026-03-09	SPY	406	0
2026-03-09	TFC	406	0
2026-03-09	TGT	406	0
2026-03-09	TSLA	406	0
2026-03-09	UBER	406	0
2026-03-09	UNH	406	0
2026-03-09	UPST	406	0
2026-03-09	USB	406	0
2026-03-09	V	406	0
2026-03-09	VLO	406	0
2026-03-09	WFC	406	0
2026-03-09	WMT	406	0
2026-03-09	XOM	406	0
