symbol	month	scope_symbol_days	expected_1m_slots_calendar	early_close_days_in_scope	full_close_days_in_scope	trade_1m_slots	trade_slot_cov_pct	quote_1m_slots	quote_slot_cov_pct	stock_1m_slots	stock_slot_cov_pct	enrich_1m_slots	enrich_slot_cov_pct	enrich_vs_trade_slot_pct	trade_rows	quote_rows	stock_rows	enrich_rows
AAPL	2025-11-01	18	7308	0	0	7021	96.07	7308	100	7308	100	7021	96.07	100	2043821	18162549	7308	2043821
ABBV	2025-11-01	18	7308	0	0	6735	92.16	7308	100	7308	100	6735	92.16	100	72885	10743572	7308	72885
ABNB	2025-11-01	18	7308	0	0	6751	92.38	7308	100	7308	100	6751	92.38	100	91381	9789472	7308	91381
ADBE	2025-11-01	18	7308	0	0	7013	95.96	7308	100	7308	100	7013	95.96	100	166371	19791344	7308	166371
AFRM	2025-11-01	18	7308	0	0	6970	95.37	7308	100	7308	100	6970	95.37	100	129621	9294964	7308	129621
ALLY	2025-11-01	18	7308	0	0	3145	43.04	7308	100	7308	100	3145	43.04	100	9599	3628828	7308	9599
AMD	2025-11-01	18	7308	0	0	7023	96.1	7308	100	7308	100	7023	96.1	100	2820908	22404704	7308	2820908
AMGN	2025-11-01	18	7308	0	0	6470	88.53	7308	100	7308	100	6470	88.53	100	52548	12485312	7308	52548
AMZN	2025-11-01	18	7308	0	0	7025	96.13	7878	107.8	7293	99.79	7025	96.13	100	1943792	16066335	7293	1943792
AVGO	2025-11-01	18	7308	0	0	7021	96.07	7308	100	7308	100	7021	96.07	100	812701	23213781	7308	812701
AXP	2025-11-01	18	7308	0	0	6563	89.81	7308	100	7308	100	6563	89.81	100	57109	12983068	7308	57109
BA	2025-11-01	18	7308	0	0	7021	96.07	7308	100	7308	100	7021	96.07	100	312504	12120724	7308	312504
BAC	2025-11-01	18	7308	0	0	7020	96.06	7308	100	7308	100	7020	96.06	100	229641	7726992	7308	229641
BLK	2025-11-01	18	7308	0	0	4191	57.35	7308	100	7308	100	4191	57.35	100	15728	20256823	7308	15728
BMY	2025-11-01	18	7308	0	0	6923	94.73	7308	100	7308	100	6923	94.73	100	99864	6607244	7308	99864
C	2025-11-01	18	7308	0	0	6923	94.73	7308	100	7308	100	6923	94.73	100	146786	10099656	7308	146786
CAT	2025-11-01	18	7308	0	0	6938	94.94	7308	100	7308	100	6938	94.94	100	103324	21995456	7308	103324
CL	2025-11-01	18	7308	0	0	4495	61.51	7308	100	7308	100	4495	61.51	100	14788	6525232	7308	14788
CME	2025-11-01	18	7308	0	0	2770	37.9	7308	100	7308	100	2770	37.9	100	7645	8201200	7308	7645
CMG	2025-11-01	18	7308	0	0	6989	95.63	7308	100	7308	100	6989	95.63	100	173285	13795068	7308	173285
COIN	2025-11-01	18	7308	0	0	7024	96.11	7308	100	7308	100	7024	96.11	100	819068	25467579	7308	819068
COP	2025-11-01	18	7308	0	0	6185	84.63	7308	100	7308	100	6185	84.63	100	42621	8939308	7308	42621
COST	2025-11-01	18	7308	0	0	7020	96.06	7308	100	7308	100	7020	96.06	100	242207	23809466	7308	242207
CRM	2025-11-01	18	7308	0	0	7019	96.05	7308	100	7308	100	7019	96.05	100	188694	13033412	7308	188694
CSCO	2025-11-01	18	7308	0	0	6984	95.57	7308	100	7308	100	6984	95.57	100	220022	7186625	7308	220022
CVS	2025-11-01	18	7308	0	0	6470	88.53	7308	100	7308	100	6470	88.53	100	50437	8392832	7308	50437
CVX	2025-11-01	18	7308	0	0	6954	95.16	7308	100	7308	100	6954	95.16	100	109096	7917000	7308	109096
DE	2025-11-01	18	7308	0	0	5253	71.88	7308	100	7308	100	5253	71.88	100	31937	12625026	7308	31937
DIS	2025-11-01	18	7308	0	0	7005	95.85	7308	100	7308	100	7005	95.85	100	219694	9143120	7308	219694
EOG	2025-11-01	18	7308	0	0	4227	57.84	7308	100	7308	100	4227	57.84	100	16717	8292144	7308	16717
ETN	2025-11-01	18	7308	0	0	4984	68.2	7308	100	7308	100	4984	68.2	100	25981	11553136	7308	25981
GE	2025-11-01	18	7308	0	0	6600	90.31	7308	100	7308	100	6600	90.31	100	54787	11453260	7308	54787
GILD	2025-11-01	18	7308	0	0	6047	82.74	7308	100	7308	100	6047	82.74	100	35921	8777848	7308	35921
GIS	2025-11-01	18	7308	0	0	4508	61.69	7308	100	7308	100	4508	61.69	100	14740	3055556	7308	14740
GOOGL	2025-11-01	18	7308	0	0	7022	96.09	7308	100	7308	100	7022	96.09	100	1763079	22590798	7308	1763079
GS	2025-11-01	18	7308	0	0	6997	95.74	7308	100	7308	100	6997	95.74	100	208671	32698428	7308	208671
HAL	2025-11-01	18	7308	0	0	6099	83.46	7308	100	7308	100	6099	83.46	100	38961	6438348	7308	38961
HD	2025-11-01	18	7308	0	0	6967	95.33	7308	100	7308	100	6967	95.33	100	137893	14068360	7308	137893
HON	2025-11-01	18	7308	0	0	4836	66.17	7308	100	7308	100	4836	66.17	100	18066	6694844	7308	18066
HOOD	2025-11-01	18	7308	0	0	7022	96.09	7308	100	7308	100	7022	96.09	100	1137488	15907892	7308	1137488
ICE	2025-11-01	18	7308	0	0	2006	27.45	7308	100	7308	100	2006	27.45	100	4766	3986108	7308	4766
INTC	2025-11-01	18	7308	0	0	7022	96.09	7308	100	7308	100	7022	96.09	100	583383	9584036	7308	583383
JNJ	2025-11-01	18	7308	0	0	6865	93.94	7308	100	7308	100	6865	93.94	100	88374	9008592	7308	88374
JPM	2025-11-01	18	7308	0	0	7017	96.02	7308	100	7308	100	7017	96.02	100	205085	16656204	7308	205085
KEY	2025-11-01	18	7308	0	0	3406	46.61	7308	100	7308	100	3406	46.61	100	10140	5377064	7308	10140
KHC	2025-11-01	18	7308	0	0	6022	82.4	7308	100	7308	100	6022	82.4	100	32226	4394544	7308	32226
KO	2025-11-01	18	7308	0	0	6969	95.36	7308	100	7308	100	6969	95.36	100	124571	6759088	7308	124571
LLY	2025-11-01	18	7308	0	0	7015	95.99	7308	100	7308	100	7015	95.99	100	424625	26089367	7308	424625
LMT	2025-11-01	18	7308	0	0	6237	85.34	7308	100	7308	100	6237	85.34	100	41097	14326928	7308	41097
LOW	2025-11-01	18	7308	0	0	5889	80.58	7308	100	7308	100	5889	80.58	100	42098	9175062	7308	42098
MA	2025-11-01	18	7308	0	0	6450	88.26	7308	100	7308	100	6450	88.26	100	51514	18866820	7308	51514
MCD	2025-11-01	18	7308	0	0	6724	92.01	7308	100	7308	100	6724	92.01	100	77968	11407392	7308	77968
META	2025-11-01	18	7308	0	0	7022	96.09	7308	100	7308	100	7022	96.09	100	2754019	43538153	7308	2754019
MMM	2025-11-01	18	7308	0	0	5485	75.05	7308	100	7308	100	5485	75.05	100	26734	7781396	7308	26734
MO	2025-11-01	18	7308	0	0	6394	87.49	7308	100	7308	100	6394	87.49	100	41784	6109488	7308	41784
MPC	2025-11-01	18	7308	0	0	3064	41.93	7308	100	7308	100	3064	41.93	100	9029	5222784	7308	9029
MRK	2025-11-01	18	7308	0	0	6970	95.37	7308	100	7308	100	6970	95.37	100	153618	7377442	7308	153618
MS	2025-11-01	18	7308	0	0	6363	87.07	7308	100	7308	100	6363	87.07	100	50994	9506896	7308	50994
MSFT	2025-11-01	18	7308	0	0	7023	96.1	7308	100	7308	100	7023	96.1	100	1351747	23536806	7308	1351747
MU	2025-11-01	18	7308	0	0	7021	96.07	7308	100	7308	100	7021	96.07	100	822311	19048708	7308	822311
NFLX	2025-11-01	18	7308	0	0	7021	96.07	7308	100	7308	100	7021	96.07	100	833282	52071114	7308	833282
NKE	2025-11-01	18	7308	0	0	7014	95.98	7308	100	7308	100	7014	95.98	100	184586	9403772	7308	184586
NOC	2025-11-01	18	7308	0	0	1991	27.24	7308	100	7308	100	1991	27.24	100	5380	10068280	7308	5380
NOW	2025-11-01	18	7308	0	0	6552	89.66	7308	100	7308	100	6552	89.66	100	52062	23899002	7308	52062
NVDA	2025-11-01	18	7308	0	0	7030	96.2	7878	107.8	7293	99.79	7030	96.2	100	7669270	29970440	7293	7669270
ORCL	2025-11-01	18	7308	0	0	6984	95.57	7308	100	7308	100	6984	95.57	100	968778	17715404	7308	968778
OXY	2025-11-01	18	7308	0	0	6893	94.32	7308	100	7308	100	6893	94.32	100	93229	6387192	7308	93229
PEP	2025-11-01	18	7308	0	0	6883	94.18	7308	100	7308	100	6883	94.18	100	70045	8607200	7308	70045
PFE	2025-11-01	18	7308	0	0	7007	95.88	7308	100	7308	100	7007	95.88	100	307073	5688060	7308	307073
PG	2025-11-01	18	7308	0	0	6778	92.75	7308	100	7308	100	6778	92.75	100	67385	7904820	7308	67385
PLTR	2025-11-01	18	7308	0	0	7023	96.1	7308	100	7308	100	7023	96.1	100	2901673	19246836	7308	2901673
PM	2025-11-01	18	7308	0	0	5649	77.3	7308	100	7308	100	5649	77.3	100	27096	8356333	7308	27096
PNC	2025-11-01	18	7308	0	0	4400	60.21	7308	100	6902	94.44	4400	60.21	100	14003	8430184	6902	14003
PSX	2025-11-01	18	7308	0	0	4452	60.92	7308	100	7308	100	4452	60.92	100	15763	8744428	7308	15763
PYPL	2025-11-01	18	7308	0	0	7021	96.07	7308	100	7308	100	7021	96.07	100	309410	9174788	7308	309410
QCOM	2025-11-01	18	7308	0	0	7006	95.87	7308	100	7308	100	7006	95.87	100	224472	11212908	7308	224472
QQQ	2025-11-01	18	7308	0	0	7231	98.95	7308	100	7308	100	7231	98.95	100	14016884	63747523	7308	14016884
RBLX	2025-11-01	18	7308	0	0	6851	93.75	7308	100	7308	100	6851	93.75	100	105092	13323129	7308	105092
RF	2025-11-01	18	7308	0	0	1549	21.2	7308	100	7308	100	1549	21.2	100	3038	2543184	7308	3038
RTX	2025-11-01	18	7308	0	0	5928	81.12	7308	100	7308	100	5928	81.12	100	30895	7829257	7308	30895
SBUX	2025-11-01	18	7308	0	0	6984	95.57	7308	100	7308	100	6984	95.57	100	119380	7274708	7308	119380
SCHW	2025-11-01	18	7308	0	0	6199	84.82	7308	100	7308	100	6199	84.82	100	44121	7672588	7308	44121
SHOP	2025-11-01	18	7308	0	0	6982	95.54	7308	100	7308	100	6982	95.54	100	167700	11816224	7308	167700
