ts	in_mbps	out_mbps	done	delta_done	theta_conn
2026-03-13 10:55:59	11.838	1.161	1315	1	4
2026-03-13 10:56:29	6.486	1.040	1317	2	4
2026-03-13 10:57:00	9.516	1.079	1318	1	4
2026-03-13 10:57:30	4.801	0.985	1320	2	4
2026-03-13 10:58:00	14.177	0.995	1323	3	3
2026-03-13 10:58:30	10.171	0.826	1325	2	4
2026-03-13 10:59:00	8.528	0.818	1327	2	4
2026-03-13 10:59:30	6.711	1.082	1329	2	3
2026-03-13 11:00:00	14.499	1.256	1330	1	4
2026-03-13 11:00:30	6.963	1.201	1332	2	5
2026-03-13 11:01:00	28.563	1.398	1334	2	3
2026-03-13 11:01:30	12.958	1.128	1335	1	4
2026-03-13 11:02:00	9.350	1.046	1337	2	6
2026-03-13 11:02:30	26.246	1.492	1339	2	5
2026-03-13 11:03:00	14.669	0.882	1341	2	3
2026-03-13 11:03:30	17.436	0.966	1342	1	4
2026-03-13 11:04:00	8.344	0.741	1344	2	4
2026-03-13 11:04:30	18.539	1.159	1347	3	3
2026-03-13 11:05:00	10.375	0.951	1349	2	4
2026-03-13 11:05:30	12.020	0.850	1352	3	3
