day_iso	day_type	scope_symbols	expected_slots_per_symbol	expected_slots_total	stock_symbols	quote_symbols	trade_symbols	enrich_symbols	stock_slots_total	quote_slots_total	trade_slots_total	enrich_slots_total	stock_slot_cov_pct	quote_slot_cov_pct	trade_slot_cov_pct	enrich_slot_cov_pct
2025-11-03	open	100	406	40600	100	100	100	100	40600	40600	34304	34304	100	100	84.49	84.49
2025-11-04	open	100	406	40600	100	100	100	100	40600	40600	33698	33698	100	100	83	83
2025-11-05	open	100	406	40600	100	100	100	100	40600	40600	33729	33729	100	100	83.08	83.08
2025-11-06	open	100	406	40600	100	100	100	100	40570	41740	33565	33565	99.93	102.81	82.67	82.67
2025-11-07	open	100	406	40600	100	100	100	100	40600	40600	35044	35044	100	100	86.32	86.32
2025-11-10	open	100	406	40600	100	100	100	100	40600	40600	34677	34677	100	100	85.41	85.41
2025-11-11	open	100	406	40600	100	100	100	100	40600	40600	34291	34291	100	100	84.46	84.46
2025-11-12	open	100	406	40600	100	100	100	100	40600	40600	33823	33823	100	100	83.31	83.31
2025-11-13	open	100	406	40600	100	100	100	100	40600	40600	33932	33932	100	100	83.58	83.58
2025-11-14	open	100	406	40600	99	100	100	100	40194	40600	34685	34685	99	100	85.43	85.43
2025-11-17	open	100	406	40600	100	100	100	100	40600	40600	34925	34925	100	100	86.02	86.02
2025-11-18	open	100	406	40600	100	100	100	100	40600	40600	34490	34490	100	100	84.95	84.95
2025-11-19	open	100	406	40600	100	100	100	100	40600	40600	33643	33643	100	100	82.86	82.86
2025-11-20	open	100	406	40600	100	100	100	100	40600	40600	34665	34665	100	100	85.38	85.38
2025-11-21	open	100	406	40600	100	100	100	100	40600	40600	35779	35779	100	100	88.13	88.13
2025-11-24	open	100	406	40600	100	100	100	100	40600	40600	35061	35061	100	100	86.36	86.36
2025-11-25	open	100	406	40600	100	100	100	100	40600	40600	34464	34464	100	100	84.89	84.89
2025-11-26	open	100	406	40600	100	100	100	100	40600	40600	33973	33973	100	100	83.68	83.68
2025-11-28	early_close	100	226	22600	100	100	100	100	22600	22600	18871	18871	100	100	83.5	83.5
2025-12-01	open	100	406	40600	100	100	100	100	40600	35667	34681	34681	100	87.85	85.42	85.42
2025-12-02	open	100	406	40600	100	100	100	100	40600	33907	33907	33907	100	83.51	83.51	83.51
2025-12-03	open	100	406	40600	100	100	100	100	40600	34380	34380	34380	100	84.68	84.68	84.68
2025-12-04	open	100	406	40600	100	100	100	100	40600	34547	34547	34547	100	85.09	85.09	85.09
2025-12-05	open	100	406	40600	100	100	100	100	40600	34771	34771	34771	100	85.64	85.64	85.64
2025-12-08	open	100	406	40600	100	100	100	100	40600	34114	34114	34114	100	84.02	84.02	84.02
2025-12-09	open	100	406	40600	100	100	100	100	40600	34038	34038	34038	100	83.84	83.84	83.84
2025-12-10	open	100	406	40600	100	100	100	100	40600	34255	34255	34255	100	84.37	84.37	84.37
2025-12-11	open	100	406	40600	100	100	100	100	40600	34931	34931	34931	100	86.04	86.04	86.04
2025-12-12	open	100	406	40600	100	100	100	100	40600	34875	34875	34875	100	85.9	85.9	85.9
2025-12-15	open	100	406	40600	100	100	100	100	40600	34542	34542	34542	100	85.08	85.08	85.08
2025-12-16	open	100	406	40600	100	100	100	100	40600	34195	34195	34195	100	84.22	84.22	84.22
2025-12-17	open	100	406	40600	100	100	100	100	40600	34050	34050	34050	100	83.87	83.87	83.87
2025-12-18	open	100	406	40600	100	100	100	100	40600	34459	34459	34459	100	84.87	84.87	84.87
2025-12-19	open	100	406	40600	100	100	100	100	40600	35076	35076	35076	100	86.39	86.39	86.39
2025-12-22	open	100	406	40600	100	100	100	100	40600	34926	34926	34926	100	86.02	86.02	86.02
2025-12-23	open	100	406	40600	100	100	100	100	40600	33616	33616	33616	100	82.8	82.8	82.8
