symbol	scope_symbol_days	open_days_in_scope	early_close_days_in_scope	expected_1m_slots_calendar	stock_days_present	quote_days_present	trade_days_present	enrich_days_present	stock_1m_slots	quote_1m_slots	trade_1m_slots	enrich_1m_slots	stock_slot_cov_pct	quote_slot_cov_pct	trade_slot_cov_pct	enrich_slot_cov_pct	enrich_vs_trade_slot_pct	missing_stock_slots	missing_quote_slots	missing_trade_slots	missing_enrich_vs_trade_slots	stock_rows	quote_rows	trade_rows	enrich_rows
AAPL	86	84	2	34556	85	85	85	85	34120	33148	32800	32800	98.74	95.93	94.92	94.92	100	436	1408	1756	0	34120	40831628	10523868	7832701
ABBV	86	84	2	34556	85	85	85	85	34135	32271	31445	31445	98.78	93.39	91	91	100	421	2285	3111	0	34135	16969412	303400	231612
ABNB	86	84	2	34556	85	85	85	85	34135	31124	29866	29866	98.78	90.07	86.43	86.43	100	421	3432	4690	0	34135	19017278	269971	227098
ADBE	86	84	2	34556	85	85	85	85	34135	33177	32773	32773	98.78	96.01	94.84	94.84	100	421	1379	1783	0	34135	37934744	1009283	711903
AFRM	86	84	2	34556	85	85	85	85	34120	32839	32255	32255	98.74	95.03	93.34	93.34	100	436	1717	2301	0	34120	17542778	466049	366790
ALLY	86	84	2	34556	85	85	85	85	34135	22714	14057	14057	98.78	65.73	40.68	40.68	100	421	11842	20499	0	34135	6291039	45602	38156
AMD	86	84	2	34556	85	85	85	85	34135	33169	32798	32798	98.78	95.99	94.91	94.91	100	421	1387	1758	0	34135	36336500	9677534	7325673
AMGN	86	84	2	34556	85	85	85	85	34135	31288	29757	29757	98.78	90.54	86.11	86.11	100	421	3268	4799	0	34135	23056674	258299	195003
AMZN	86	84	2	34556	85	85	85	85	34105	33758	32800	32800	98.69	97.69	94.92	94.92	100	451	798	1756	0	34105	33040314	9998271	7810954
AVGO	86	84	2	34556	85	85	85	85	34120	33184	32796	32796	98.74	96.03	94.91	94.91	100	436	1372	1760	0	34120	36744968	5258705	3918170
AXP	86	84	2	34556	85	85	85	85	34120	32073	31034	31034	98.74	92.81	89.81	89.81	100	436	2483	3522	0	34120	20615227	323333	232535
BA	86	84	2	34556	85	85	85	85	34120	33148	32787	32787	98.74	95.93	94.88	94.88	100	436	1408	1769	0	34120	20845718	1473220	985277
BAC	86	84	2	34556	85	85	85	85	34135	33176	32784	32784	98.78	96.01	94.87	94.87	100	421	1380	1772	0	34135	13073449	1168951	866624
BLK	86	84	2	34556	85	85	85	85	34135	25131	20195	20195	98.78	72.73	58.44	58.44	100	421	9425	14361	0	34135	33179222	74267	54820
BMY	86	84	2	34556	85	85	85	85	34135	32380	31742	31742	98.78	93.7	91.86	91.86	100	421	2176	2814	0	34135	10984513	362271	299414
C	86	84	2	34556	85	85	85	85	34135	33032	32511	32511	98.78	95.59	94.08	94.08	100	421	1524	2045	0	34135	18821918	872436	631819
CAT	86	84	2	34556	85	85	85	85	34135	33034	32588	32588	98.78	95.6	94.3	94.3	100	421	1522	1968	0	34135	34117209	673901	506292
CL	86	84	2	34556	85	85	85	85	34135	25652	20697	20697	98.78	74.23	59.89	59.89	100	421	8904	13859	0	34135	11243707	69638	55731
CME	86	84	2	34556	85	85	85	85	34135	21221	14460	14460	98.78	61.41	41.85	41.85	100	421	13335	20096	0	34135	13260201	50065	39054
CMG	86	84	2	34556	85	85	85	85	34135	32955	32464	32464	98.78	95.37	93.95	93.95	100	421	1601	2092	0	34135	23593175	592718	489588
COIN	86	84	2	34556	85	85	85	85	34120	33137	32796	32796	98.74	95.89	94.91	94.91	100	436	1419	1760	0	34120	43556282	3505616	2689136
COP	86	84	2	34556	85	85	85	85	34120	31414	29838	29838	98.74	90.91	86.35	86.35	100	436	3142	4718	0	34120	16984150	253185	184407
COST	86	84	2	34556	85	85	85	85	34150	33166	32785	32785	98.83	95.98	94.87	94.87	100	406	1390	1771	0	34150	42421384	1180337	836540
CRM	86	84	2	34556	85	85	85	85	34135	33134	32759	32759	98.78	95.88	94.8	94.8	100	421	1422	1797	0	34135	20548867	1085614	877075
CSCO	86	84	2	34556	85	85	85	85	34135	32919	32499	32499	98.78	95.26	94.05	94.05	100	421	1637	2057	0	34135	12169066	705390	590463
CVS	86	84	2	34556	85	85	85	85	34120	31741	30509	30509	98.74	91.85	88.29	88.29	100	436	2815	4047	0	34120	13130074	280720	196022
CVX	86	84	2	34556	85	85	85	85	34135	33021	32585	32585	98.78	95.56	94.3	94.3	100	421	1535	1971	0	34135	15651744	818983	460877
