symbol	scope_symbol_days	open_days_in_scope	early_close_days_in_scope	expected_1m_slots_calendar	stock_days_present	quote_days_present	trade_days_present	enrich_days_present	stock_1m_slots	quote_1m_slots	trade_1m_slots	enrich_1m_slots	stock_slot_cov_pct	quote_slot_cov_pct	trade_slot_cov_pct	enrich_slot_cov_pct	enrich_vs_trade_slot_pct	missing_stock_slots	missing_quote_slots	missing_trade_slots	missing_enrich_vs_trade_slots	stock_rows	quote_rows	trade_rows	enrich_rows
PNC	86	84	2	34556	84	85	85	85	33729	24775	19937	19937	97.61	71.7	57.69	57.69	100	827	9781	14619	0	33729	15529748	72330	53852
AMZN	86	84	2	34556	85	85	85	85	34105	33758	32800	32800	98.69	97.69	94.92	94.92	100	451	798	1756	0	34105	33040314	9998271	7810954
AAPL	86	84	2	34556	85	85	85	85	34120	33148	32800	32800	98.74	95.93	94.92	94.92	100	436	1408	1756	0	34120	40831628	10523868	7832701
AFRM	86	84	2	34556	85	85	85	85	34120	32839	32255	32255	98.74	95.03	93.34	93.34	100	436	1717	2301	0	34120	17542778	466049	366790
AVGO	86	84	2	34556	85	85	85	85	34120	33184	32796	32796	98.74	96.03	94.91	94.91	100	436	1372	1760	0	34120	36744968	5258705	3918170
AXP	86	84	2	34556	85	85	85	85	34120	32073	31034	31034	98.74	92.81	89.81	89.81	100	436	2483	3522	0	34120	20615227	323333	232535
BA	86	84	2	34556	85	85	85	85	34120	33148	32787	32787	98.74	95.93	94.88	94.88	100	436	1408	1769	0	34120	20845718	1473220	985277
COIN	86	84	2	34556	85	85	85	85	34120	33137	32796	32796	98.74	95.89	94.91	94.91	100	436	1419	1760	0	34120	43556282	3505616	2689136
COP	86	84	2	34556	85	85	85	85	34120	31414	29838	29838	98.74	90.91	86.35	86.35	100	436	3142	4718	0	34120	16984150	253185	184407
CVS	86	84	2	34556	85	85	85	85	34120	31741	30509	30509	98.74	91.85	88.29	88.29	100	436	2815	4047	0	34120	13130074	280720	196022
