symbol	scope_symbol_days	open_days_in_scope	early_close_days_in_scope	expected_1m_slots_calendar	stock_days_present	quote_days_present	trade_days_present	enrich_days_present	stock_1m_slots	quote_1m_slots	trade_1m_slots	enrich_1m_slots	stock_slot_cov_pct	quote_slot_cov_pct	trade_slot_cov_pct	enrich_slot_cov_pct	enrich_vs_trade_slot_pct	missing_stock_slots	missing_quote_slots	missing_trade_slots	missing_enrich_vs_trade_slots	stock_rows	quote_rows	trade_rows	enrich_rows
ICE	86	84	2	34556	85	85	85	85	34150	16409	8896	8896	98.83	47.49	25.74	25.74	100	406	18147	25660	0	34150	5478656	26488	22278
RF	86	84	2	34556	85	85	85	85	34150	18125	9156	9156	98.83	52.45	26.5	26.5	100	406	16431	25400	0	34150	4406916	23198	18947
NOC	86	84	2	34556	85	85	85	85	34135	21486	13655	13655	98.78	62.18	39.52	39.52	100	421	13070	20901	0	34135	16605997	42155	30358
SPGI	86	84	2	34556	85	85	85	85	34150	20826	13799	13799	98.83	60.27	39.93	39.93	100	406	13730	20757	0	34150	21433040	47077	43230
TFC	86	84	2	34556	85	85	85	85	34150	21065	14025	14025	98.83	60.96	40.59	40.59	100	406	13491	20531	0	34150	4818730	43571	37146
ALLY	86	84	2	34556	85	85	85	85	34135	22714	14057	14057	98.78	65.73	40.68	40.68	100	421	11842	20499	0	34135	6291039	45602	38156
CME	86	84	2	34556	85	85	85	85	34135	21221	14460	14460	98.78	61.41	41.85	41.85	100	421	13335	20096	0	34135	13260201	50065	39054
KEY	86	84	2	34556	85	85	85	85	34135	20332	14670	14670	98.78	58.84	42.45	42.45	100	421	14224	19886	0	34135	6405596	44502	38634
MPC	86	84	2	34556	85	85	85	85	34150	22359	15649	15649	98.83	64.7	45.29	45.29	100	406	12197	18907	0	34150	8950361	49063	43314
PNC	86	84	2	34556	84	85	85	85	33729	24775	19937	19937	97.61	71.7	57.69	57.69	100	827	9781	14619	0	33729	15529748	72330	53852
