ef.symbol	expected_symbol_days	expected_1m_slots_fixed_406	expected_1m_slots_market	trade_1m_slots	trade_slot_cov_pct_vs_market	quote_1m_slots	quote_slot_cov_pct_vs_market	stock_1m_slots	stock_slot_cov_pct_vs_market	enrich_1m_slots	enrich_slot_cov_pct_vs_market	enrich_vs_trade_slot_pct	trade_rows	quote_rows	stock_rows	enrich_rows
AAPL	84	34104	33972	32379	95.31	32696	96.24	33668	99.11	32379	95.31	100	10372842	39547044	33668	7681675
ABBV	84	34104	33972	31040	91.37	31819	93.66	33683	99.15	31040	91.37	100	300374	16300000	33683	228586
ABNB	84	34104	33972	29495	86.82	30672	90.29	33683	99.15	29495	86.82	100	267324	18384026	33683	224451
ADBE	84	34104	33972	32353	95.23	32725	96.33	33683	99.15	32353	95.23	100	997714	36718412	33683	700334
AFRM	84	34104	33972	31836	93.71	32387	95.33	33668	99.11	31836	93.71	100	459011	16953822	33668	359752
ALLY	84	34104	33972	13923	40.98	22262	65.53	33683	99.15	13923	40.98	100	45228	6099391	33683	37782
AMD	84	34104	33972	32378	95.31	32717	96.31	33683	99.15	32378	95.31	100	9578235	34967844	33683	7226374
AMGN	84	34104	33972	29401	86.54	30836	90.77	33683	99.15	29401	86.54	100	256264	22273810	33683	192968
AMZN	84	34104	33972	32380	95.31	33306	98.04	33653	99.06	32380	95.31	100	9878778	32036422	33653	7691461
AVGO	84	34104	33972	32376	95.3	32732	96.35	33668	99.11	32376	95.3	100	5171388	35287720	33668	3830853
AXP	84	34104	33972	30631	90.17	31621	93.08	33668	99.11	30631	90.17	100	320151	19782643	33668	229353
BA	84	34104	33972	32367	95.28	32696	96.24	33668	99.11	32367	95.28	100	1453215	20115286	33668	965272
BAC	84	34104	33972	32364	95.27	32724	96.33	33683	99.15	32364	95.27	100	1151922	12596137	33683	849595
BLK	84	34104	33972	19901	58.58	24679	72.65	33683	99.15	19901	58.58	100	73047	31889214	33683	53600
BMY	84	34104	33972	31330	92.22	31928	93.98	33683	99.15	31330	92.22	100	356936	10567769	33683	294079
C	84	34104	33972	32092	94.47	32580	95.9	33683	99.15	32092	94.47	100	853759	18148890	33683	613142
CAT	84	34104	33972	32168	94.69	32582	95.91	33683	99.15	32168	94.69	100	666073	32824941	33683	498464
CL	84	34104	33972	20445	60.18	25200	74.18	33683	99.15	20445	60.18	100	68906	10843687	33683	54999
CME	84	34104	33972	14307	42.11	20769	61.14	33683	99.15	14307	42.11	100	49549	12745373	33683	38538
CMG	84	34104	33972	32046	94.33	32503	95.68	33683	99.15	32046	94.33	100	582740	22789067	33683	479610
COIN	84	34104	33972	32376	95.3	32685	96.21	33668	99.11	32376	95.3	100	3432256	41991910	33668	2615776
COP	84	34104	33972	29453	86.7	30962	91.14	33668	99.11	29453	86.7	100	250305	16430902	33668	181527
COST	84	34104	33972	32365	95.27	32714	96.3	33698	99.19	32365	95.27	100	1155541	40879612	33698	811744
CRM	84	34104	33972	32339	95.19	32682	96.2	33683	99.15	32339	95.19	100	1073045	19732555	33683	864506
CSCO	84	34104	33972	32081	94.43	32467	95.57	33683	99.15	32081	94.43	100	699110	11668702	33683	584183
CVS	84	34104	33972	30126	88.68	31289	92.1	33668	99.11	30126	88.68	100	278698	12623834	33668	194000
CVX	84	34104	33972	32168	94.69	32569	95.87	33683	99.15	32168	94.69	100	812740	15160420	33683	454634
DE	84	34104	33972	27227	80.15	29614	87.17	33683	99.15	27227	80.15	100	193498	22641976	33683	153920
DIS	84	34104	33972	32204	94.8	32539	95.78	33668	99.11	32204	94.8	100	727103	13323785	33668	573481
EOG	84	34104	33972	20931	61.61	25503	75.07	33683	99.15	20931	61.61	100	83189	13763306	33683	67601
ETN	84	34104	33972	23292	68.56	26434	77.81	33668	99.11	23292	68.56	100	109122	16676254	33668	86229
GE	84	34104	33972	31245	91.97	32080	94.43	33683	99.15	31245	91.97	100	381249	18055705	33683	247308
GILD	84	34104	33972	26921	79.24	29196	85.94	33668	99.11	26921	79.24	100	158852	15396094	33668	121723
