ex.symbol	expected_symbol_days	expected_1m_slots	trade_1m_slots	trade_slot_cov_pct	quote_1m_slots	quote_slot_cov_pct	stock_1m_slots	stock_slot_cov_pct	enrich_1m_slots	enrich_slot_cov_pct	enrich_vs_trade_slot_pct	trade_rows	quote_rows	stock_rows	enrich_rows
AAPL	84	34104	32379	94.94	32696	95.87	33668	98.72	32379	94.94	100	10372842	39547044	33668	7681675
ABBV	84	34104	31040	91.02	31819	93.3	33683	98.77	31040	91.02	100	300374	16300000	33683	228586
ABNB	84	34104	29495	86.49	30672	89.94	33683	98.77	29495	86.49	100	267324	18384026	33683	224451
ADBE	84	34104	32353	94.87	32725	95.96	33683	98.77	32353	94.87	100	997714	36718412	33683	700334
AFRM	84	34104	31836	93.35	32387	94.97	33668	98.72	31836	93.35	100	459011	16953822	33668	359752
ALLY	84	34104	13923	40.83	22262	65.28	33683	98.77	13923	40.83	100	45228	6099391	33683	37782
AMD	84	34104	32378	94.94	32717	95.93	33683	98.77	32378	94.94	100	9578235	34967844	33683	7226374
AMGN	84	34104	29401	86.21	30836	90.42	33683	98.77	29401	86.21	100	256264	22273810	33683	192968
AMZN	84	34104	32380	94.94	33306	97.66	33653	98.68	32380	94.94	100	9878778	32036422	33653	7691461
AVGO	84	34104	32376	94.93	32732	95.98	33668	98.72	32376	94.93	100	5171388	35287720	33668	3830853
AXP	84	34104	30631	89.82	31621	92.72	33668	98.72	30631	89.82	100	320151	19782643	33668	229353
BA	84	34104	32367	94.91	32696	95.87	33668	98.72	32367	94.91	100	1453215	20115286	33668	965272
BAC	84	34104	32364	94.9	32724	95.95	33683	98.77	32364	94.9	100	1151922	12596137	33683	849595
BLK	84	34104	19901	58.35	24679	72.36	33683	98.77	19901	58.35	100	73047	31889214	33683	53600
BMY	84	34104	31330	91.87	31928	93.62	33683	98.77	31330	91.87	100	356936	10567769	33683	294079
C	84	34104	32092	94.1	32580	95.53	33683	98.77	32092	94.1	100	853759	18148890	33683	613142
CAT	84	34104	32168	94.32	32582	95.54	33683	98.77	32168	94.32	100	666073	32824941	33683	498464
CL	84	34104	20445	59.95	25200	73.89	33683	98.77	20445	59.95	100	68906	10843687	33683	54999
