HorizonYears,Mode,ETFCount,AvgETFCalmar,AvgSPYCalmarMatched,AvgQQQCalmarMatched,CountBeatSPY,CountBeatQQQ,CountBeatEither,CountBeatBoth
1,full,84,1.3096910923864529,1.5746141629839951,1.7556154793354994,29,14,29,14
1,partial,25,0.15153193171491852,1.2831759294959215,1.0342930740950749,7,9,9,7
2,full,59,0.9298475286977065,0.7881148600265849,0.7412536418798603,26,33,33,26
2,partial,25,0.6223722072458117,0.6987931766630786,0.691168236327952,10,9,10,9
3,full,29,1.0409756897771691,1.1444313445276213,1.2192125553699857,8,4,8,4
3,partial,30,1.1117992549803093,1.0054599944289777,0.9266367135814111,8,16,16,8
4,full,17,0.6337052771929501,0.629358360934667,0.5991392186650019,6,7,7,6
4,partial,12,0.7150648171483908,0.9019843560380297,0.9844782321969098,4,3,4,3
5,full,14,0.5270330010839048,0.5061461271750662,0.3981433791587623,6,10,10,6
5,partial,3,0.2362315375249534,0.5146105619947737,0.4231258806882481,0,1,1,0
