Ticker,Reason,Name
1499.T,non-US-like symbol/exchange=JPX,MAXIS Japan Equity High Dividend 70 Market Neutral ETF
AAA,not hedge/alternative target area,Alternative Access First Priority CLO Bond ETF
AAUM,not hedge/alternative target area,Tema Alternative Asset Managers
ABNY,single-stock option wrapper,YieldMax ABNB Option Income Str
AETH,not hedge/alternative target area,Bitwise Trendwise Ethereum & Treasuries Rotation Strategy ETF
AGRH,not hedge/alternative target area,iShares Interest Rate Hedged U.S. Aggregate Bond ETF
AGZD,not hedge/alternative target area,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund
AIYY,single-stock option wrapper,YieldMax AI Option Income Strategy ETF
AMAX,not hedge/alternative target area,Adaptive Hedged Multi-Asset Income ETF
AMDY,single-stock option wrapper,YieldMax AMD Option Income Strategy ETF
AMZY,single-stock option wrapper,YieldMax AMZN Option Income Strategy ETF
APLY,single-stock option wrapper,YieldMax AAPL Option Income Strategy ETF
ARMH,not hedge/alternative target area,Arm Holdings PLC ADRhedged
ASMH,not hedge/alternative target area,ASML Holding NV ADRhedged
BABO,single-stock option wrapper,YieldMax BABA Option Income Strategy ETF
BITC,not hedge/alternative target area,Bitwise Trendwise Bitcoin and Treasuries Rotation Strategy ETF
BPH,not hedge/alternative target area,Precidian ETFs Trust - BP p.l.c. ADRhedged
BRKC,single-stock option wrapper,YieldMax BRK.B Option Income Strategy ETF
BTOP,not hedge/alternative target area,Bitwise Trendwise BTC/ETH and Treasuries Rotation Strategy ETF
BTRN,not hedge/alternative target area,Global X Bitcoin Trend Strategy ETF
CFIT,not hedge/alternative target area,Cambria Fixed Income Trend ETF
CGIB,not hedge/alternative target area,Capital Group International Bond ETF (USD-Hedged)
CONY,single-stock option wrapper,YieldMax COIN Option Income Strategy ETF
CRCO,quoteType=EQUITY,YieldMax CRCL Option Income Strategy ETF
CRSH,single-stock option wrapper,YieldMax Short TSLA Option Inco
CSM,not hedge/alternative target area,ProShares Large Cap Core Plus
CTAP,quoteType=EQUITY,Simplify US Equity PLUS Managed Futures Strategy ETF
CVNY,single-stock option wrapper,YieldMax CVNA Option Income Strategy ETF
CVRT,not hedge/alternative target area,Calamos Convertible Equity Alternative ETF
DANC.NE,No/insufficient price history,DESJARDINS MARKET NEUTRAL ETF
DANC.TO,non-US-like symbol/exchange=TOR,Desjardins Market Neutral ETF CA$ Unhedged
DGLM.TO,non-US-like symbol/exchange=TOR,Desjardins Global Macro ETF
DIPS,single-stock option wrapper,YieldMax Short NVDA Option Income Strategy ETF
DISO,single-stock option wrapper,YieldMax DIS Option Income Strategy ETF
DRAY,quoteType=EQUITY,YieldMax DKNG Option Income Strategy ETF
ETCO,quoteType=EQUITY,Grayscale Ethereum Covered Call ETF
EUHY,not hedge/alternative target area,"iShares, Inc. - iShares Euro High Yield Corporate Bond USD Hedged ETF"
EUIG,not hedge/alternative target area,iShares Euro Investment Grade Corporate Bond USD Hedged ETF
FBY,single-stock option wrapper,YieldMax META Option Income Strategy ETF
FCTE,not hedge/alternative target area,SMI 3Fourteen Full-Cycle Trend ETF
FGLS.NE,non-US-like symbol/exchange=NEO,Fidelity Global Value Long/Short ETF
FIAT,single-stock option wrapper,YieldMax Short COIN Option Income Strategy ETF
FIAX,not hedge/alternative target area,Nicholas Fixed Income Alternative ETF
FLAG,not hedge/alternative target area,Global X S&P 500 U.S. Market Leaders TOP 50 ETF
FLJH,not hedge/alternative target area,Franklin FTSE Japan Hedged ETF
FLSE.TO,non-US-like symbol/exchange=TOR,Fidelity Global Opportunities Long/Short ETF Series
GGOV,not hedge/alternative target area,iShares Global Government Bond USD Hedged Active ETF
GLDI,ETN instrument,UBS ETRACS Gold Shares Covered Call ETN
GMEY,quoteType=EQUITY,Yieldmax Gme Option Income Strategy ETF
GOOY,single-stock option wrapper,YieldMax GOOGL Option Income Strategy ETF
GPZ,not hedge/alternative target area,VanEck Alternative Asset Manager ETF
GSKH,not hedge/alternative target area,Precidian ETFs Trust - GSK plc ADRhedged
GVIP,not hedge/alternative target area,Goldman Sachs Hedge Industry VIP ETF
HAWX,not hedge/alternative target area,iShares Currency Hedged MSCI ACWI ex U.S. ETF
HBTC,not hedge/alternative target area,Fortuna Hedged Bitcoin Fund
HECA,not hedge/alternative target area,Hedgeye Capital Allocation ETF
HECO,not hedge/alternative target area,State Street Galaxy Hedged Digital Asset Ecosystem ETF
HEEM,not hedge/alternative target area,iShares Currency Hedged MSCI Emerging Markets ETF
HEFA,not hedge/alternative target area,iShares Currency Hedged MSCI EAFE ETF
HEFT,quoteType=EQUITY,Hedgeye Fourth Turning ETF
HELS,quoteType=EQUITY,Hedgeye 130/30 Equity ETF
HEWJ,not hedge/alternative target area,iShares Currency Hedged MSCI Japan ETF
HEZU,not hedge/alternative target area,iShares Currency Hedged MSCI Eurozone ETF
HFEQ,quoteType=EQUITY,Unlimited HFEQ Equity Long/Short ETF
HFMF,quoteType=EQUITY,Unlimited HFMF Managed Futures ETF
HGRO,not hedge/alternative target area,Hedgeye Quality Growth ETF
HIYY,quoteType=EQUITY,YieldMax HIMS Option Income Strategy ETF
HOOY,single-stock option wrapper,YieldMax HOOD Option Income Strategy ETF
HSBH,not hedge/alternative target area,HSBC Holdings PLC ADRhedged
HSCZ,not hedge/alternative target area,iShares Currency Hedged MSCI EAFE Small-Cap ETF
HYGH,not hedge/alternative target area,iShares Interest Rate Hedged High Yield Bond ETF
HYHG,not hedge/alternative target area,ProShares High Yield—Interest Rate Hedged
HYIN,not hedge/alternative target area,WisdomTree Private Credit & Alternative Income Fund
HYKE,not hedge/alternative target area,Vest 2 Year Interest Rate Hedge ETF
HYTR,not hedge/alternative target area,Counterpoint High Yield Trend ETF
HYZD,not hedge/alternative target area,WisdomTree Interest Rate Hedged High Yield Bond Fund
ICOI,single-stock option wrapper,Bitwise COIN Option Income Strategy ETF
ICRC,single-stock option wrapper,Bitwise CRCL Option Income Strategy ETF
IETH,single-stock option wrapper,Bitwise Ethereum Option Income Strategy ETF
IGBH,not hedge/alternative target area,iShares Interest Rate Hedged Long-Term Corporate Bond ETF
IGHG,not hedge/alternative target area,ProShares Investment Grade—Interest Rate Hedged
IGME,single-stock option wrapper,Bitwise GME Option Income Strategy ETF
IHDG,not hedge/alternative target area,WisdomTree International Hedged Quality Dividend Growth Fund
IMRA,single-stock option wrapper,Bitwise MARA Option Income Strategy ETF
IMST,single-stock option wrapper,Bitwise MSTR Option Income Strategy ETF
IRVH,not hedge/alternative target area,Global X Interest Rate Volatility & Inflation Hedge ETF
IVV,not hedge/alternative target area,iShares Core S&P 500 ETF
JPO,quoteType=EQUITY,YieldMax JP Option Income Strategy ETF
KWIN,not hedge/alternative target area,KraneShares Wahed Alternative Income Index ETF
LFEQ,not hedge/alternative target area,VanEck Long/Flat Trend ETF
LQDH,not hedge/alternative target area,iShares Interest Rate Hedged Corporate Bond ETF
LQDI,not hedge/alternative target area,iShares Inflation Hedged Corporate Bond ETF
MARO,single-stock option wrapper,YieldMax MARA Option Income Strategy ETF
MATE,not hedge/alternative target area,Man Active Trend Enhanced ETF
MEMA,not hedge/alternative target area,Man Active Emerging Markets Alternative ETF
MINY,quoteType=EQUITY,YieldMax Strategic Metals & Mining Portfolio Option Income ETF
MJ,not hedge/alternative target area,Amplify Alternative Harvest ETF
MKTN,quoteType=EQUITY,Federated Hermes MDT Market Neutral ETF
MRNY,single-stock option wrapper,YieldMax MRNA Option Income Strategy ETF
MSFO,single-stock option wrapper,YieldMax MSFT Option Income Strategy ETF
MSTY,single-stock option wrapper,Yieldmax MSTR Option Income Strategy ETF
NALT.NE,No/insufficient price history,NBI LIQUID ALTERNATIVES ETF
NALT.TO,non-US-like symbol/exchange=TOR,NBI Liquid Alternatives ETF
NFLY,single-stock option wrapper,YieldMax NFLX Option Income Strategy ETF
NVDY,single-stock option wrapper,YieldMax NVDA Option Income Strategy ETF
NVOH,not hedge/alternative target area,Precidian ETFs Trust - Novo Nordisk A/S (B Shares) ADRhedged
OARK,single-stock option wrapper,YieldMax Innovation Option Income Strategy ETF
