Ticker,FromStockAnalysisKeyword,FromYahooSearch,FromETFDBPages,FromSeeds,NameHint
1499.T,False,True,False,False,MITSUBISHI UFJ ASSET MANAGEMENT
AAA,True,False,False,False,Alternative Access First Priority CLO Bond ETF
AAUM,True,False,False,False,Tema Alternative Asset Managers ETF
ABNY,True,False,False,False,YieldMax ABNB Option Income Strategy ETF
ACIO,True,False,False,False,Aptus Collared Investment Opportunity ETF
AETH,True,False,False,False,Bitwise Trendwise Ether and Treasuries Rotation Strategy ETF
AGRH,True,False,False,False,iShares Interest Rate Hedged U.S. Aggregate Bond ETF
AGZD,True,False,False,False,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund
AHLT,True,False,False,False,American Beacon AHL Trend ETF
AIPI,True,True,False,False,REX AI Equity Premium Income ETF
AIYY,True,False,False,False,YieldMax AI Option Income Strategy ETF
ALTY,True,False,False,False,Global X Alternative Income ETF
AMAX,True,False,False,False,Adaptive Hedged Multi-Asset Income ETF
AMDY,True,False,False,False,YieldMax AMD Option Income Strategy ETF
AMZY,True,False,False,False,YieldMax AMZN Option Income Strategy ETF
APLY,True,False,False,False,YieldMax AAPL Option Income Strategy ETF
APRH,True,False,False,False,Innovator Premium Income 20 Barrier ETF - April
APRJ,True,False,False,False,Innovator Premium Income 30 Barrier ETF - April
ARB,True,True,False,False,AltShares Merger Arbitrage ETF
ARMH,True,False,False,False,Arm Holdings PLC ADRhedged
ARP,True,False,False,False,PMV Adaptive Risk Parity ETF
ASGM,True,True,False,False,Virtus AlphaSimplex Global Macro ETF
ASMF,True,False,False,False,Virtus Alphasimplex Managed Futures ETF
ASMH,True,False,False,False,ASML Holding NV ADRhedged
ATTR,True,True,False,False,Arin Tactical Tail Risk ETF
BABO,True,False,False,False,YieldMax BABA Option Income Strategy ETF
BAGY,True,False,False,False,Amplify Bitcoin Max Income Covered Call ETF
BALI,True,False,False,False,iShares U.S. Large Cap Premium Income Active ETF
BALQ,True,False,False,False,iShares Nasdaq Premium Income Active ETF
BCCC,True,False,False,False,Global X Bitcoin Covered Call ETF
BIGY,True,False,False,False,YieldMax Target 12 Big 50 Option Income ETF
BITC,True,False,False,False,Bitwise Trendwise Bitcoin and Treasuries Rotation Strategy ETF
BITK,True,False,False,False,Tuttle Capital Bitcoin 0DTE Covered Call ETF
BITY,True,False,False,False,Amplify Bitcoin 2% Monthly Option Income ETF
BPH,True,False,False,False,BP p.l.c. ADRhedged
BPI,True,False,False,False,Grayscale Bitcoin Premium Income ETF
BRKC,True,False,False,False,YieldMax BRK.B Option Income Strategy ETF
BTAL,True,False,True,True,AGF U.S. Market Neutral Anti-Beta Fund
BTCC,True,False,False,False,Grayscale Bitcoin Covered Call ETF
BTOP,True,False,False,False,Bitwise Trendwise BTC/ETH and Treasuries Rotation Strategy ETF
BTRN,True,False,False,False,Global X Bitcoin Trend Strategy ETF
BUCK,True,False,False,False,Simplify Treasury Option Income ETF
BUYW,True,False,False,False,Main BuyWrite ETF
CAOS,True,True,False,True,Alpha Architect Tail Risk ETF
CBLS,True,False,True,False,Clough Hedged Equity ETF
CCEF,True,False,False,False,Calamos CEF Income & Arbitrage ETF
CCOR,True,False,False,False,Core Alternative ETF
CEPI,True,False,False,False,REX Crypto Equity Premium Income ETF
CFIT,True,False,False,False,Cambria Fixed Income Trend ETF
CGIB,True,False,False,False,Capital Group International Bond ETF (USD-Hedged)
CHPY,True,True,False,False,YieldMax Semiconductor Portfolio Option Income ETF
CLIX,False,False,True,False,ProShares Long Online/Short Stores ETF
CLSE,True,False,True,False,Convergence Long/Short Equity ETF
CONY,True,False,False,False,YieldMax COIN Option Income Strategy ETF
CRCO,True,False,False,False,YieldMax CRCL Option Income Strategy ETF
CRSH,True,False,False,False,YieldMax Short TSLA Option Income Strategy ETF
CSM,False,False,True,False,ProShares Large Cap Core Plus
CTA,True,False,True,True,Simplify Managed Futures Strategy ETF
CTAP,True,False,False,False,Simplify US Equity PLUS Managed Futures Strategy ETF
CVNY,True,False,False,False,YieldMax CVNA Option Income Strategy ETF
CVRD,True,False,False,False,Madison Covered Call ETF
CVRT,True,False,False,False,Calamos Convertible Equity Alternative ETF
DANC.NE,False,True,False,False,DESJARDINS MARKET NEUTRAL ETF
DANC.TO,False,True,False,False,DESJARDINS MARKET NEUTRAL ETF
DBAW,True,False,False,True,Xtrackers MSCI All World ex US Hedged Equity ETF
DBEF,True,False,False,False,Xtrackers MSCI EAFE Hedged Equity ETF
DBEH,False,False,False,True,
DBEM,True,False,False,False,Xtrackers MSCI Emerging Markets Hedged Equity ETF
DBEU,True,False,False,False,Xtrackers MSCI Europe Hedged Equity ETF
DBEZ,True,False,False,False,Xtrackers MSCI Eurozone Hedged Equity ETF
DBJP,True,False,False,False,Xtrackers MSCI Japan Hedged Equity ETF
DBMF,True,False,False,True,iMGP DBi Managed Futures Strategy ETF
DBND,False,False,False,True,DoubleLine Opportunistic Core Bond ETF
DGLM.TO,False,True,False,False,DESJARDINS GLOBAL MACRO ETF
DIPS,True,False,False,False,YieldMax Short NVDA Option Income Strategy ETF
DISO,True,False,False,False,YieldMax DIS Option Income Strategy ETF
DIVO,False,False,False,True,Amplify CWP Enhanced Dividend Income ETF
DJIA,True,False,False,False,Global X Dow 30 Covered Call ETF
DRAY,True,False,False,False,YieldMax DKNG Option Income Strategy ETF
DXJ,True,False,False,False,WisdomTree Japan Hedged Equity Fund
DYLG,True,False,False,False,Global X Dow 30 Covered Call & Growth ETF
EHLS,True,True,False,False,Even Herd Long Short ETF
EHY,True,False,False,False,Amplify Ethereum Max Income Covered Call ETF
EQLS,False,False,False,True,
ETCO,True,False,False,False,Grayscale Ethereum Covered Call ETF
ETTY,True,False,False,False,Amplify Ethereum 3% Monthly Option Income ETF
EUHY,True,False,False,False,iShares Euro High Yield Corporate Bond USD Hedged ETF
EUIG,True,False,False,False,iShares Euro Investment Grade Corporate Bond USD Hedged ETF
EVNT,False,False,True,False,AltShares Event-Driven ETF
FAAR,True,False,False,False,First Trust Alternative Absolute Return Strategy ETF
FARX,True,True,False,False,Frontier Asset Absolute Return ETF
FBY,True,False,False,False,YieldMax META Option Income Strategy ETF
FCTE,True,False,False,False,SMI 3Fourteen Full-Cycle Trend ETF
FEPI,True,True,False,False,REX FANG & Innovation Equity Premium Income ETF
FFLS,True,True,False,False,Future Fund Long/Short ETF
FFUT,True,True,False,False,Fidelity Managed Futures ETF
FGLS.NE,False,True,False,False,FIDELITY GLOBAL VALUE LONG/SHOR
FHEQ,True,False,False,False,Fidelity Hedged Equity ETF
FIAT,True,False,False,False,YieldMax Short COIN Option Income Strategy ETF
FIAX,True,False,False,False,Nicholas Fixed Income Alternative ETF
FLAG,False,True,True,False,Global X S&P 500 U.S. Market Le
FLJH,True,False,False,False,Franklin FTSE Japan Hedged ETF
FLSE.TO,False,True,False,False,FIDELITY GLOBAL OPPRT LONG SHRT
FLSP,False,False,True,False,Franklin Systematic Style Premia ETF
FMF,True,False,False,True,First Trust Managed Futures Strategy Fund
FTHI,True,False,False,False,First Trust BuyWrite Income ETF
FTKI,True,False,False,False,First Trust Small Cap BuyWrite Income ETF
FTLS,True,False,True,True,First Trust Long/Short Equity ETF
