Universe,HorizonYears,Mode,Ticker,Name,Provider,Manager,Start,End,TradingDays,AnnualizedReturn,MaxDrawdown,Calmar,SPYCalmarSameWindow,QQQCalmarSameWindow,BeatsSPY,BeatsQQQ,BeatsEither
ManagerComposite,1,full,MGR::Virtus AlphaSimplex,Virtus AlphaSimplex,,Virtus AlphaSimplex,2025-03-13,2026-03-13,251,0.13198396112524335,-0.05998876914427698,2.2001445105135122,1.5746147767076384,1.7556154793354999,True,True,True
ManagerComposite,1,full,MGR::YieldMax,YieldMax,,YieldMax,2025-03-13,2026-03-13,251,0.3422571385883699,-0.1592861656961555,2.148693435443971,1.5746147767076384,1.7556154793354999,True,True,True
ManagerComposite,1,full,MGR::First Trust,First Trust,,First Trust,2025-03-13,2026-03-13,251,0.14037320412486087,-0.07163424317501932,1.9595824273859652,1.5746147767076384,1.7556154793354999,True,True,True
ManagerComposite,1,full,MGR::Return Stacked,Return Stacked,,Return Stacked,2025-03-13,2026-03-13,251,0.18597904713098923,-0.09834161966000521,1.891152980538366,1.5746147767076384,1.7556154793354999,True,True,True
ManagerComposite,1,full,MGR::WisdomTree,WisdomTree,,WisdomTree,2025-03-13,2026-03-13,251,0.1871343414107487,-0.09976054688382774,1.8758351598520075,1.5746147767076384,1.7556154793354999,True,True,True
ManagerComposite,1,full,MGR::BlackRock/iShares,BlackRock/iShares,,BlackRock/iShares,2025-03-13,2026-03-13,251,0.1274112604600106,-0.07146314329745185,1.7828947144080312,1.5746147767076384,1.7556154793354999,True,True,True
ManagerComposite,1,full,MGR::Xtrackers MSCI,Xtrackers MSCI,,Xtrackers MSCI,2025-03-13,2026-03-13,251,0.2540716566666599,-0.14769125015194773,1.7202891600231283,1.5746147767076384,1.7556154793354999,True,False,True
ManagerComposite,1,full,MGR::Goldman Sachs,Goldman Sachs,,Goldman Sachs,2025-03-13,2026-03-13,251,0.237605699722083,-0.13916354412950993,1.7073846545684388,1.5746147767076384,1.7556154793354999,True,False,True
ManagerComposite,1,full,MGR::JPMorgan,JPMorgan,,JPMorgan,2025-03-13,2026-03-13,251,0.152605466141307,-0.09898163303103225,1.5417553890373061,1.5746147767076384,1.7556154793354999,False,False,False
ManagerComposite,1,full,MGR::NEOS,NEOS,,NEOS,2025-03-13,2026-03-13,251,0.1961714359518354,-0.12825229404200744,1.5295744798731,1.5746147767076384,1.7556154793354999,False,False,False
ManagerComposite,1,full,MGR::Global X,Global X,,Global X,2025-03-13,2026-03-13,251,0.14301347417972288,-0.1108858327858151,1.289736214147076,1.5746147767076384,1.7556154793354999,False,False,False
ManagerComposite,1,full,MGR::Innovator,Innovator,,Innovator,2025-03-13,2026-03-13,251,0.0666118614757667,-0.05518016046521146,1.2071704923323374,1.5746147767076384,1.7556154793354999,False,False,False
ManagerComposite,1,full,MGR::Invesco,Invesco,,Invesco,2025-03-13,2026-03-13,251,0.09301582353056936,-0.10081237152916667,0.9226627855258654,1.5746147767076384,1.7556154793354999,False,False,False
ManagerComposite,1,full,MGR::REX,REX,,REX,2025-03-13,2026-03-13,251,0.14746651032325286,-0.21198162688556232,0.6956570363659971,1.5746147767076384,1.7556154793354999,False,False,False
ManagerComposite,1,full,MGR::Roundhill,Roundhill,,Roundhill,2025-03-13,2026-03-13,251,0.0973191770695383,-0.19212101968102435,0.5065514290477735,1.5746147767076384,1.7556154793354999,False,False,False
ManagerComposite,1,full,MGR::Defiance,Defiance,,Defiance,2025-03-13,2026-03-13,251,0.035929675824682095,-0.2623350396651065,0.13696102461398008,1.5746147767076384,1.7556154793354999,False,False,False
ManagerComposite,1,full,MGR::Simplify,Simplify,,Simplify,2025-03-13,2026-03-13,251,-0.017928736385272703,-0.0658662693588512,-0.2721990566612137,1.5746147767076384,1.7556154793354999,False,False,False
ManagerComposite,1,full,MGR::Amplify,Amplify,,Amplify,2025-03-13,2026-03-13,251,-0.10216383825478104,-0.2704626473620373,-0.3777373299094645,1.5746147767076384,1.7556154793354999,False,False,False
ManagerComposite,1,partial,MGR::T. Rowe,T. Rowe,,T. Rowe,2025-03-28,2026-03-13,240,0.06687659944305469,-0.07614553766561372,0.8782733892659247,1.7705810868743137,2.265637151505484,False,False,False
ManagerComposite,1,partial,MGR::Grayscale Bitcoin,Grayscale Bitcoin,,Grayscale Bitcoin,2025-04-03,2026-03-13,236,-0.1716912757223995,-0.45553801231413293,-0.3768978023375215,4.159087739031637,4.408842733475491,False,False,False
ManagerComposite,1,partial,MGR::Sterling,Sterling,,Sterling,2025-12-12,2026-03-13,61,-0.025489605946829585,-0.02181745029659854,-1.16831277717193,-2.135284768352625,-1.966576572340978,True,True,True
ManagerComposite,1,partial,MGR::Tuttle Capital,Tuttle Capital,,Tuttle Capital,2025-09-25,2026-03-13,116,-0.7717369588031849,-0.627295589574868,-1.2302604571573794,0.4056311878718555,0.0443946335979026,False,False,False
ManagerComposite,2,full,MGR::NEOS,NEOS,,NEOS,2024-03-13,2026-03-13,501,0.3332910581426376,-0.17375779260001079,1.9181358899388834,0.7881154448457747,0.7412538228397494,True,True,True
ManagerComposite,2,full,MGR::Xtrackers MSCI,Xtrackers MSCI,,Xtrackers MSCI,2024-03-13,2026-03-13,501,0.17762109148180616,-0.1476912501519474,1.2026514184087846,0.7881154448457747,0.7412538228397494,True,True,True
ManagerComposite,2,full,MGR::WisdomTree,WisdomTree,,WisdomTree,2024-03-13,2026-03-13,501,0.10878835231528305,-0.10627664172603957,1.0236337030268436,0.7881154448457747,0.7412538228397494,True,True,True
ManagerComposite,2,full,MGR::Innovator,Innovator,,Innovator,2024-03-13,2026-03-13,501,0.05845220309827592,-0.058118884207797095,1.0057351219835378,0.7881154448457747,0.7412538228397494,True,True,True
ManagerComposite,2,full,MGR::First Trust,First Trust,,First Trust,2024-03-13,2026-03-13,501,0.08720796876940717,-0.09076136142933289,0.9608490595120436,0.7881154448457747,0.7412538228397494,True,True,True
