Ticker,Manager,Name,Exchange,QuoteType,SourceTag,FromSeedList,FromYahooSearch,Inception,LastDate
AMG,Affiliated Managers Group,"Affiliated Managers Group, Inc.",NYQ,EQUITY,Publicly traded asset manager,True,False,1997-11-21,2026-03-13
AB,AllianceBernstein,AllianceBernstein Holding L.P.,NYQ,EQUITY,Publicly traded asset manager,True,False,1988-04-14,2026-03-13
APO,Apollo Global Management,"Apollo Global Management, Inc.",NYQ,EQUITY,Publicly traded alternative asset manager,True,False,2011-03-30,2026-03-13
ARES,Ares Management,Ares Management Corporation,NYQ,EQUITY,Publicly traded alternative asset manager,True,False,2014-05-02,2026-03-13
BX,Blackstone,Blackstone Inc.,NYQ,EQUITY,Publicly traded alternative asset manager,True,False,2007-06-22,2026-03-13
OWL,Blue Owl Capital,Blue Owl Capital Inc.,NYQ,EQUITY,Publicly traded alternative asset manager,True,False,2020-12-14,2026-03-13
BHMG.L,Brevan Howard,BH Macro Limited,LSE,EQUITY,Listed hedge fund vehicle (BH Macro),True,False,2007-03-09,2026-03-13
BAM,Brookfield Asset Management,Brookfield Asset Management Ltd.,NYQ,EQUITY,Publicly traded alternative asset manager,True,False,2022-12-01,2026-03-13
BN,Brookfield Corporation,Brookfield Corporation,NYQ,EQUITY,Publicly traded alternative asset manager,True,False,1983-12-30,2026-03-13
CG,Carlyle Group,The Carlyle Group Inc.,NMS,EQUITY,Publicly traded alternative asset manager,True,False,2012-05-03,2026-03-13
GCMG,GCM Grosvenor,GCM Grosvenor Inc.,NGM,EQUITY,Publicly traded alternative asset manager,True,False,2019-02-06,2026-03-13
KKR,KKR,KKR & Co. Inc.,NYQ,EQUITY,Publicly traded alternative asset manager,True,False,2010-07-15,2026-03-13
EMG.L,Man Group,Man Group Plc,LSE,EQUITY,Publicly traded hedge fund manager,True,False,1994-10-13,2026-03-13
MNGPF,Man Group,Man Group Plc,PNK,EQUITY,US OTC listing of Man Group,True,False,2013-04-18,2026-03-13
PSHZF,Pershing Square,"Pershing Square Holdings, Ltd.",PNK,EQUITY,US OTC listing of Pershing Square Holdings,True,False,2015-06-09,2026-03-13
STEP,StepStone Group,StepStone Group Inc.,NMS,EQUITY,Publicly traded alternative asset manager,True,False,2020-09-16,2026-03-13
TPG,TPG,TPG Inc.,NMS,EQUITY,Publicly traded alternative asset manager,True,False,2022-01-13,2026-03-13
TFG.L,Tetragon,Tetragon Financial Group Limited,LSE,EQUITY,Listed alternative investments vehicle,True,False,2009-05-27,2026-03-13
