Person,FundsUsed,AssignmentsUsed,SectionsAvailable,SectionsBeatEither,BeatEitherRate,AvgCalmarAcrossSections,MedianCalmarAcrossSections,OneYFullCalmar
Matt Brandt,2,2,1,1,1.0,31.826049957074286,31.826049957074286,
Giuliana Bordigoni,1,1,1,1,1.0,9.008745160661103,9.008745160661103,
Tansu Demirbilek,1,1,1,1,1.0,6.031534761444448,6.031534761444448,
Greg Stoner,1,1,2,2,1.0,5.868390557045963,5.868390557045963,5.690189321341416
Zachary Wainwright,1,1,2,2,1.0,5.868390557045963,5.868390557045963,5.690189321341416
David Orr,1,1,2,2,1.0,3.767550672938719,3.767550672938719,3.5906680363530734
Ali Toyran,1,1,2,2,1.0,3.1063724147482272,3.1063724147482272,3.821607339009783
Clifford Stanton,1,1,2,2,1.0,3.1063724147482272,3.1063724147482272,3.821607339009783
Paul Wright,1,1,2,2,1.0,3.1063724147482272,3.1063724147482272,3.821607339009783
Daniel Snover,1,1,4,4,1.0,2.6432444202282097,2.232553616905271,4.226971181972935
Jeffrey W. Kernagis,1,1,4,4,1.0,2.6432444202282097,2.232553616905271,4.226971181972935
Matthew Osowiecki,1,1,1,1,1.0,2.1625141712979707,2.1625141712979707,
Daniel J. Lindquist,1,1,4,4,1.0,2.12152535038772,1.6199091213834849,3.840884730253284
Francis J. Ok,2,2,3,3,1.0,2.1092900825751104,2.052503713365619,2.2949508808704593
Jeff Greco,1,1,1,1,1.0,2.057802045784773,2.057802045784773,
Rebekah Lipp,1,1,1,1,1.0,2.057802045784773,2.057802045784773,
Christopher W. Floyd,1,1,3,3,1.0,1.9033592140512923,1.6846778358075956,2.5890472314289648
Eric Becker,2,2,5,5,1.0,1.7516491632780717,1.996210386547597,2.8574570812846547
John S. Orrico,2,2,5,5,1.0,1.7516491632780717,1.996210386547597,2.8574570812846547
Aron Kershner,2,2,2,2,1.0,1.6683081250075684,1.6683081250075684,1.7073847589838627
John Sienkiewicz,2,2,2,2,1.0,1.6683081250075684,1.6683081250075684,1.7073847589838627
Christopher Plunkett,1,1,5,5,1.0,1.6301891736364262,1.4349234755671798,3.0832570300826396
Ryland Matthews,1,1,4,4,1.0,1.5978303569528776,1.4374277679804197,2.2044277037145252
Sundaram Chettiappan,1,1,5,5,1.0,1.5072287619363034,1.436352574917302,2.5890472314289172
Vaneet Chadha,1,1,5,5,1.0,1.5072287619363034,1.436352574917302,2.5890472314289172
Kevin G. Simpson,2,2,5,5,1.0,1.4544845814298812,1.4153816968377853,2.266483064046667
Ashif Shaikh,6,6,4,4,1.0,1.40320822893865,1.3449461926422053,1.7202890436366598
Jeffrey A. Schwarte,1,1,2,2,1.0,1.390045687447624,1.390045687447624,1.9964767610910512
Marlene Walker-Smith,2,2,5,5,1.0,1.3537254577030011,1.38097885852398,1.6943137165624629
Josh L. Smith,1,1,5,5,1.0,1.3025679995381194,1.2443364177150829,2.281883978754611
Raj Garigipati,2,2,3,3,1.0,1.2188938651978782,1.154189003978738,1.7073847589838762
Patrick Dwyer,6,6,5,5,1.0,1.2122220253478928,1.202651486833534,1.7202890436366691
Shlomo Bassous,6,6,5,5,1.0,1.2122220253478886,1.202651486833532,1.7202890436366665
Matthew A. Heimann,1,1,3,3,1.0,1.2028686230922083,0.9592391814251657,1.740350868004335
Robert T. Cummings,1,1,2,2,1.0,1.1814037929806709,1.1814037929806709,1.6875179280368628
Andrew Serowik,2,2,5,5,1.0,1.1208454057211932,0.9721123280207931,1.661749088318506
Derek Devens,1,1,3,3,1.0,1.1072556700471934,0.8894675577154416,1.5792315759335191
Eric Zhou,1,1,3,3,1.0,1.1072556700471934,0.8894675577154416,1.5792315759335191
Rory Ewing,1,1,3,3,1.0,1.1072556700471934,0.8894675577154416,1.5792315759335191
Scott Snyder,6,6,1,1,1.0,0.7928449309119435,0.7928449309119435,
Nicholas Quinn,4,4,1,1,1.0,-0.7211975794758213,-0.7211975794758213,
John S. McNamara III,1,1,1,1,1.0,-2.331078032329496,-2.331078032329496,
Andrew Hicks,2,2,1,1,1.0,-14.617890403610506,-14.617890403610506,
Kimberly Chan,2,2,1,1,1.0,-14.617890403610506,-14.617890403610506,
Brian Murphy,1,1,5,4,0.8,1.5936539542227768,1.1027822254536808,3.123356369183712
Michael Grayson,1,1,5,4,0.8,1.5936539542227768,1.1027822254536808,3.123356369183712
Michael Peck,1,1,5,4,0.8,1.5936539542227768,1.1027822254536808,3.123356369183712
Greg Barrato,2,2,5,4,0.8,1.4286157571158666,1.9482179253496432,2.294950880870484
David France,3,3,5,4,0.8,1.4033009727507206,1.5581320812940225,1.5581320812940225
Todd Frysinger,3,3,5,4,0.8,1.4033009727507206,1.5581320812940225,1.5581320812940225
Ammie Weidner,1,1,5,4,0.8,1.2319447524844742,1.2578768647166294,1.5560400245389596
Andrew Mies,1,1,5,4,0.8,1.2319447524844742,1.2578768647166294,1.5560400245389596
Charles Collins,1,1,5,4,0.8,1.1170247396775903,0.7915947151502504,2.5896510268257305
Jason A. Graffius,1,1,5,4,0.8,1.1170247396775903,0.7915947151502504,2.5896510268257305
Randall D. Schroeder,1,1,5,4,0.8,1.1170247396775903,0.7915947151502504,2.5896510268257305
James H Stavena,3,3,5,4,0.8,1.1044611616326152,0.8272639776952577,2.4220463267883807
Torrey Zaches,3,3,5,4,0.8,1.092454914609969,0.8272639776952556,2.4220463267883883
John W. Gambla,7,7,5,4,0.8,1.0658058444022185,0.8707988555299647,2.1553903745015077
Rob A. Guttschow,7,7,5,4,0.8,1.0658058444022185,0.8707988555299647,2.1553903745015077
Dustin Lewellyn,3,3,5,4,0.8,1.0272779456029757,0.880711953059289,1.6495545799385822
Michael Green,1,1,5,4,0.8,0.9410511681014209,0.7043182911927601,0.7043182911927601
Ken Miller,2,2,4,3,0.75,1.4165446596335838,1.6583578544289093,1.793639385038324
Christopher Day,1,1,3,2,0.6666666666666666,1.5395476890975734,1.3723230811854765,2.576900640409465
Alex Zweber,2,2,3,2,0.6666666666666666,1.1249843789118446,1.118205903497573,1.4270192685553529
Larry Berman,2,2,3,2,0.6666666666666666,1.1249843789118446,1.118205903497573,1.4270192685553529
Michael Zaslavsky,2,2,3,2,0.6666666666666666,1.1249843789118446,1.118205903497573,1.4270192685553529
R. Matthew Freund,1,1,3,2,0.6666666666666666,1.0811175332942475,1.1090343255463722,1.1090343255463722
Shaheen Iqubal,1,1,3,2,0.6666666666666666,1.0811175332942475,1.1090343255463722,1.1090343255463722
Shailesh Gupta,1,1,3,2,0.6666666666666666,0.8384556159123306,0.8820679644430235,0.6171151118948901
Andrew Beer,1,1,5,3,0.6,1.7095826563960377,0.6506322019133887,6.327276170091981
Mathias Mamou-Mani,1,1,5,3,0.6,1.7095826563960377,0.6506322019133887,6.327276170091981
Kenneth R. Hyman,1,1,5,3,0.6,0.9040295389595043,0.9090158198471238,1.7403508680043331
Michael J. Venuto,3,3,5,3,0.6,0.8546813068267219,0.823007599959093,1.7841040340983618
Sam Jurrens,1,1,2,1,0.5,1.7598077117346735,1.7598077117346735,2.9300515900098816
Christopher P. Mullen,2,2,2,1,0.5,1.2856507343402188,1.2856507343402188,1.8433130984001567
Jeffrey E. Gundlach,1,1,4,2,0.5,1.0570587546545573,0.9622406658901295,2.0114857850632912
Jeffrey J. Sherman,1,1,4,2,0.5,1.0570587546545573,0.9622406658901295,2.0114857850632912
Brian Cooper,1,1,2,1,0.5,1.055163740322795,1.055163740322795,1.6326145695618786
Todd Alberico,1,1,2,1,0.5,1.055163740322795,1.055163740322795,1.6326145695618786
Alexander D. Healy,1,1,2,1,0.5,0.953106948871582,0.953106948871582,1.8347174621331366
Kathryn M. Kaminski,1,1,2,1,0.5,0.953106948871582,0.953106948871582,1.8347174621331366
Jason England,1,1,2,1,0.5,0.7423260326761387,0.7423260326761387,0.6171151118948958
Charles A. Ragauss,6,6,5,2,0.4,1.001226976116071,0.9789335987107125,2.3221132931405783
Jay Pestrichelli,7,7,5,2,0.4,0.9840497311393639,0.8120602893424421,2.537651037200742
Garrett Paolella,2,2,5,2,0.4,0.9022405622876921,0.8959817423475775,1.6227439103760157
Troy Cates,2,2,5,2,0.4,0.9022405622876921,0.8959817423475775,1.6227439103760157
Hamilton Reiner,3,3,5,2,0.4,0.8979298314835239,0.7188253362644265,1.3463845620674506
Raffaele Zingone,2,2,5,2,0.4,0.8256699885423844,0.7091794548125228,1.1217049044729241
Jerry Ralph Parker,1,1,3,1,0.3333333333333333,1.3799589838505737,0.34498754712209967,3.517840441416721
Jon Robinson,1,1,3,1,0.3333333333333333,1.3799589838505737,0.34498754712209967,3.517840441416721
Qiao Duan,6,6,3,1,0.3333333333333333,1.0874728186441966,0.683308402633225,1.9661138187201421
Russell Korgaonkar,1,1,3,1,0.3333333333333333,1.081998748732958,0.5996198602908601,2.3040079009043186
Rafael Zayas,4,4,3,1,0.3333333333333333,0.9923762895999086,0.7737066555600627,1.657165756115362
Eric Moreau,1,1,4,1,0.25,1.062970648434448,0.9522584176628996,1.6209759839751205
Nam To,1,1,5,1,0.2,0.9019241185015202,1.1325477710519856,1.4192835608411654
Vincent M. Lorusso,1,1,5,1,0.2,0.6991092417001471,0.8040965380910859,1.3691789764075357
Michael J. Winter,1,1,5,1,0.2,0.5004142030547646,0.3298449042392512,1.279969320685223
Robert J. Pascarella,1,1,2,0,0.0,1.077009061058005,1.077009061058005,1.4872286080035644
Matthew P Bensen,3,3,2,0,0.0,0.9756804950477735,0.9756804950477735,1.3463845620674464
Bob Elliott,1,1,4,0,0.0,0.8601622174253387,0.6589474488945136,1.5282154690205079
Bruce McNevin,1,1,4,0,0.0,0.8601622174253387,0.6589474488945136,1.5282154690205079
Yin Bhuyan,2,2,2,0,0.0,0.8272754557158202,0.8272754557158202,1.4782644307744441
James Maund,2,2,4,0,0.0,0.8224379305420346,0.8108588654859985,0.8602222556884938
Jonathan Shelon,2,2,4,0,0.0,0.8224379305420346,0.8108588654859985,0.8602222556884938
Wayne Xie,15,15,5,0,0.0,0.8047938762071167,0.6851550330091691,1.5067957839453578
Vanessa Yang,15,15,5,0,0.0,0.8047938762071152,0.6851550330091691,1.5067957839453598
Austin Wen,4,4,3,0,0.0,0.7623464899301219,0.6365332448328258,1.2593623754815808
Tarak Davé,2,2,5,0,0.0,0.6006128069475335,0.7404371954331166,1.14662464508241
Michael Neches,2,2,5,0,0.0,0.6006128069475325,0.7404371954331176,1.1466246450824096
Andrew F. Ngim,1,1,3,0,0.0,0.5200684926986691,0.5669972133814831,0.63272573910182
Darius Coby,1,1,3,0,0.0,0.5200684926986691,0.5669972133814831,0.63272573910182
Seth Lancaster,1,1,3,0,0.0,0.5200684926986691,0.5669972133814831,0.63272573910182
Drew Justman,1,1,3,0,0.0,0.4422088494655525,0.3048254458750405,0.810646719195613
Ray DiBernardo,1,1,3,0,0.0,0.4422088494655525,0.3048254458750405,0.810646719195613
Peter Hubbard,1,1,5,0,0.0,0.42352717702934833,0.3034752549874728,0.7936803732052293
Theodore Samulowitz,1,1,5,0,0.0,0.42352717702934833,0.3034752549874728,0.7936803732052293
David Hemming,1,1,5,0,0.0,0.4235271770293452,0.3034752549874715,0.7936803732052284
David P. Kalis,1,1,3,0,0.0,0.40137563369042906,0.5141623951128375,-0.06361599432835054
Gary D. Black,1,1,3,0,0.0,0.40137563369042906,0.5141623951128375,-0.06361599432835054
Gerry O’Donnell,1,1,3,0,0.0,0.38217550465049605,0.3095797518817206,0.6974163594941593
Kevin Kelly,1,1,3,0,0.0,0.38217550465049605,0.3095797518817206,0.6974163594941593
Jacob Hemmer,1,1,3,0,0.0,0.32950046838612485,0.4056548078659015,0.4056548078659015
Vlasta Sheremeta,1,1,2,0,0.0,0.23155261112224462,0.23155261112224462,0.3503147575037336
David Aspell,1,1,5,0,0.0,0.2210021715984906,0.017559853550915192,0.9343606881941801
Gerald L. Prior,1,1,5,0,0.0,0.2210021715984906,0.017559853550915192,0.9343606881941801
Timothy J. Rudderow,1,1,5,0,0.0,0.2210021715984906,0.017559853550915192,0.9343606881941801
Nancy Davis,1,1,5,0,0.0,0.1451583036255053,-0.10409142809243584,0.9302316690704362
David Berns,4,4,5,0,0.0,0.12466004878422512,0.27200215068771044,-0.6975915622160387
Kyler Kring,1,1,1,0,0.0,0.0012854397156187836,0.0012854397156187836,
David C. Pursell,1,1,5,0,0.0,-0.02100051148971225,-0.02818815211517611,0.11971231245647268
Peter simasek,1,1,5,0,0.0,-0.031159458531946137,-0.06614295025631299,0.1197123124564858
Josh Belko,1,1,5,0,0.0,-0.2761446115484003,-0.20741072593123114,-0.8078509139454515
William H. DeRoche,1,1,5,0,0.0,-0.27614461154840103,-0.20741072593123147,-0.807850913945455
Philip Lee,1,1,5,0,0.0,-0.276144611548402,-0.20741072593123297,-0.807850913945454
David Jackson,1,1,3,0,0.0,-0.618250717609197,-0.545215341837045,-0.9091391614485864
Paisley Nardini,1,1,2,0,0.0,-0.8201341104346036,-0.8201341104346036,-0.9091391614485899
