PersonId,Person,FundsUsed,AssignmentsUsed,Inception,LastDate,FundsList
PM::Alex Zweber,Alex Zweber,2,2,2023-10-20,2026-03-13,"PAPI, PHEQ"
PM::Alexander D. Healy,Alexander D. Healy,1,1,2024-05-17,2026-03-13,ASMF
PM::Ali Toyran,Ali Toyran,1,1,2024-12-23,2026-03-13,FARX
PM::Ammie Weidner,Ammie Weidner,1,1,2020-05-12,2026-03-13,SIXH
PM::Andrew Beer,Andrew Beer,1,1,2019-05-09,2026-03-13,DBMF
PM::Andrew F. Ngim,Andrew F. Ngim,1,1,2023-05-05,2026-03-13,USE
PM::Andrew Hicks,Andrew Hicks,2,2,2026-03-02,2026-03-13,"YMAG, YMAX"
PM::Andrew Mies,Andrew Mies,1,1,2020-05-12,2026-03-13,SIXH
PM::Andrew Serowik,Andrew Serowik,2,2,2020-05-12,2026-03-13,"SHUS, SIXH"
PM::Aron Kershner,Aron Kershner,2,2,2025-03-11,2026-03-13,"GPIQ, GPIX"
PM::Ashif Shaikh,Ashif Shaikh,6,6,2022-10-04,2026-03-13,"DBAW, DBEF, DBEM, DBEU, DBEZ, DBJP"
PM::Austin Wen,Austin Wen,4,4,2023-10-12,2026-03-13,"AIPI, CEPI, FEPI, SRHR"
PM::Bob Elliott,Bob Elliott,1,1,2022-10-12,2026-03-13,HFND
PM::Brian Cooper,Brian Cooper,1,1,2024-09-30,2026-03-13,SHUS
PM::Brian Murphy,Brian Murphy,1,1,2020-02-06,2026-03-13,MARB
PM::Bruce McNevin,Bruce McNevin,1,1,2022-10-12,2026-03-13,HFND
PM::Charles A. Ragauss,Charles A. Ragauss,6,6,2019-12-16,2026-03-13,"EHLS, HF, HFND, LBAY, NDIV, RPAR"
PM::Charles Collins,Charles Collins,1,1,2020-06-26,2026-03-13,MRSK
PM::Christopher Day,Christopher Day,1,1,2023-08-04,2026-03-13,HF
PM::Christopher P. Mullen,Christopher P. Mullen,2,2,2024-05-17,2026-03-13,"WEEL, ZHDG"
PM::Christopher Plunkett,Christopher Plunkett,1,1,2020-05-12,2026-03-13,ARB
PM::Christopher W. Floyd,Christopher W. Floyd,1,1,2023-10-03,2026-03-13,FLSP
PM::Clifford Stanton,Clifford Stanton,1,1,2024-12-23,2026-03-13,FARX
PM::Daniel J. Lindquist,Daniel J. Lindquist,1,1,2023-02-03,2026-03-13,LALT
PM::Daniel Snover,Daniel Snover,1,1,2022-12-23,2026-03-13,ARP
PM::Darius Coby,Darius Coby,1,1,2023-05-05,2026-03-13,USE
PM::David Aspell,David Aspell,1,1,2020-12-03,2026-03-13,KMLM
PM::David Berns,David Berns,4,4,2021-11-03,2026-03-13,"BUCK, CTA, HEQT, QIS"
PM::David C. Pursell,David C. Pursell,1,1,2017-05-26,2026-03-13,CCOR
PM::David France,David France,3,3,2021-07-01,2026-03-13,"DXJ, HEDJ, INDH"
PM::David Hemming,David Hemming,1,1,2016-09-22,2026-03-13,PHDG
PM::David Jackson,David Jackson,1,1,2023-07-12,2026-03-13,QIS
PM::David Orr,David Orr,1,1,2025-01-16,2026-03-13,ORR
PM::David P. Kalis,David P. Kalis,1,1,2023-06-22,2026-03-13,FFLS
PM::Derek Devens,Derek Devens,1,1,2024-01-30,2026-03-13,NBOS
PM::Drew Justman,Drew Justman,1,1,2023-08-23,2026-03-13,CVRD
PM::Dustin Lewellyn,Dustin Lewellyn,3,3,2016-12-16,2026-03-13,"DIVO, HCOW, IDVO"
PM::Eric Becker,Eric Becker,2,2,2020-05-12,2026-03-13,"ARB, EVNT"
PM::Eric Moreau,Eric Moreau,1,1,2022-05-05,2026-03-13,JEPQ
PM::Eric Zhou,Eric Zhou,1,1,2024-01-30,2026-03-13,NBOS
PM::Francis J. Ok,Francis J. Ok,2,2,2023-10-03,2026-03-13,"MNA, QAI"
PM::Garrett Paolella,Garrett Paolella,2,2,2019-12-23,2026-03-13,"QQQH, QQQI"
PM::Gary D. Black,Gary D. Black,1,1,2023-06-22,2026-03-13,FFLS
PM::Gerald L. Prior,Gerald L. Prior,1,1,2020-12-03,2026-03-13,KMLM
PM::Gerry O’Donnell,Gerry O’Donnell,1,1,2023-09-21,2026-03-13,HCOW
PM::Giuliana Bordigoni,Giuliana Bordigoni,1,1,2025-08-14,2026-03-13,AHLT
PM::Greg Barrato,Greg Barrato,2,2,2011-03-01,2026-03-13,"MNA, QAI"
PM::Greg Stoner,Greg Stoner,1,1,2024-08-21,2026-03-13,TOAK
PM::Hamilton Reiner,Hamilton Reiner,3,3,2020-05-22,2026-03-13,"HELO, JEPI, JEPQ"
PM::Jacob Hemmer,Jacob Hemmer,1,1,2023-11-03,2026-03-13,SRHR
PM::James H Stavena,James H Stavena,3,3,2011-01-06,2026-03-13,"GTR, WTMF, WTPI"
PM::James Maund,James Maund,2,2,2023-01-13,2026-03-13,"KLIP, KSPY"
PM::Jason A. Graffius,Jason A. Graffius,1,1,2020-06-26,2026-03-13,MRSK
PM::Jason England,Jason England,1,1,2024-11-04,2026-03-13,BUCK
PM::Jay Pestrichelli,Jay Pestrichelli,7,7,2021-07-08,2026-03-13,"BIGY, GDXY, GPTY, LFGY, SOXY, USOY, ZHDG"
PM::Jeff Greco,Jeff Greco,1,1,2025-07-21,2026-03-13,QHDG
PM::Jeffrey A. Schwarte,Jeffrey A. Schwarte,1,1,2024-11-04,2026-03-13,HEQT
PM::Jeffrey E. Gundlach,Jeffrey E. Gundlach,1,1,2022-04-11,2026-03-13,DBND
PM::Jeffrey J. Sherman,Jeffrey J. Sherman,1,1,2022-04-11,2026-03-13,DBND
PM::Jeffrey W. Kernagis,Jeffrey W. Kernagis,1,1,2022-12-23,2026-03-13,ARP
PM::Jerry Ralph Parker,Jerry Ralph Parker,1,1,2023-07-13,2026-03-13,TFPN
PM::John S. McNamara III,John S. McNamara III,1,1,2026-01-21,2026-03-13,KSPY
PM::John S. Orrico,John S. Orrico,2,2,2020-05-12,2026-03-13,"ARB, EVNT"
PM::John Sienkiewicz,John Sienkiewicz,2,2,2025-03-11,2026-03-13,"GPIQ, GPIX"
PM::John W. Gambla,John W. Gambla,7,7,2013-08-05,2026-03-13,"FAAR, FMF, FTHI, FTKI, FTLS, FTQI, LALT"
PM::Jon Robinson,Jon Robinson,1,1,2023-07-13,2026-03-13,TFPN
PM::Jonathan Shelon,Jonathan Shelon,2,2,2023-01-13,2026-03-13,"KLIP, KSPY"
PM::Josh Belko,Josh Belko,1,1,2018-01-03,2026-03-13,BTAL
PM::Josh L. Smith,Josh L. Smith,1,1,2016-12-16,2026-03-13,DIVO
PM::Kathryn M. Kaminski,Kathryn M. Kaminski,1,1,2024-05-17,2026-03-13,ASMF
