Ticker,Reason,Name
ABNY,likely single-stock option ETF,YieldMax ABNB Option Income Str
AIYY,likely single-stock option ETF,YieldMax AI Option Income Strategy ETF
AMDY,likely single-stock option ETF,YieldMax AMD Option Income Strategy ETF
AMZY,likely single-stock option ETF,YieldMax AMZN Option Income Strategy ETF
APLY,likely single-stock option ETF,YieldMax AAPL Option Income Strategy ETF
BABO,likely single-stock option ETF,YieldMax BABA Option Income Strategy ETF
BKCL.TO,non-US-like exchange=TOR,Global X Enhanced Equal Weight Canadian Banks Covered Call ETF
BRKC,likely single-stock option ETF,YieldMax BRK.B Option Income Strategy ETF
CONY,likely single-stock option ETF,YieldMax COIN Option Income Strategy ETF
CRCO,quoteType=EQUITY,YieldMax CRCL Option Income Strategy ETF
CRSH,likely single-stock option ETF,YieldMax Short TSLA Option Inco
CVNY,likely single-stock option ETF,YieldMax CVNA Option Income Strategy ETF
DIPS,likely single-stock option ETF,YieldMax Short NVDA Option Income Strategy ETF
DISO,likely single-stock option ETF,YieldMax DIS Option Income Strategy ETF
DRAY,quoteType=EQUITY,YieldMax DKNG Option Income Strategy ETF
EDGQ,quoteType=EQUITY,Global X Nasdaq-100 Income Edge ETF
EDGX,quoteType=EQUITY,Global X U.S. 500 Income Edge ETF
ETCO,quoteType=EQUITY,Grayscale Ethereum Covered Call ETF
FBY,likely single-stock option ETF,YieldMax META Option Income Strategy ETF
FIAT,likely single-stock option ETF,YieldMax Short COIN Option Income Strategy ETF
GLDI,ETN/Note instrument (not ETF),UBS ETRACS Gold Shares Covered Call ETN
GMEY,quoteType=EQUITY,Yieldmax Gme Option Income Strategy ETF
GOOY,likely single-stock option ETF,YieldMax GOOGL Option Income Strategy ETF
HIYY,quoteType=EQUITY,YieldMax HIMS Option Income Strategy ETF
HOOY,likely single-stock option ETF,YieldMax HOOD Option Income Strategy ETF
HYLD.TO,non-US-like exchange=TOR,Hamilton Enhanced U.S. Covered Call ETF
ICOI,likely single-stock option ETF,Bitwise COIN Option Income Strategy ETF
ICRC,likely single-stock option ETF,Bitwise CRCL Option Income Strategy ETF
IETH,likely single-stock option ETF,Bitwise Ethereum Option Income Strategy ETF
IGME,likely single-stock option ETF,Bitwise GME Option Income Strategy ETF
IMRA,likely single-stock option ETF,Bitwise MARA Option Income Strategy ETF
IMST,likely single-stock option ETF,Bitwise MSTR Option Income Strategy ETF
IWMY,not in option/derivative-income area,Defiance R2000 Target 30 Weekly Distribution ETF
JPO,quoteType=EQUITY,YieldMax JP Option Income Strategy ETF
MARO,likely single-stock option ETF,YieldMax MARA Option Income Strategy ETF
MINY,quoteType=EQUITY,YieldMax Strategic Metals & Mining Portfolio Option Income ETF
MRNY,likely single-stock option ETF,YieldMax MRNA Option Income Strategy ETF
MSFO,likely single-stock option ETF,YieldMax MSFT Option Income Strategy ETF
MSTY,likely single-stock option ETF,Yieldmax MSTR Option Income Strategy ETF
